profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
bats361_ctd12	sn209_bats_361	xx	joshua stone(stone@sc.edu)	HDR20190715212026	uvp5	10361010	2019-07-15 21:20:26	31.17047	-64.31987	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd12.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd12.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd13	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190716091852	uvp5	10361011	2019-07-16 09:18:52	31.3524	-63.9548	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd13.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd13.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd14	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190716153955	uvp5	10361012	2019-07-16 15:39:55	31.67047	-64.1548	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd14.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd14.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd15	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190716201616	uvp5	10361013	2019-07-16 20:16:16	31.48553	-64.52587	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd15.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd15.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd16	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190717040849	uvp5	10361014	2019-07-17 04:08:49	31.7554	-63.98733	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd16.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd16.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd17	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190717062127	uvp5	10361015	2019-07-17 06:21:27	31.66687	-64.16867	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd17.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd17.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd18	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190717153343	uvp5	10361016	2019-07-17 15:33:43	31.72047	-64.203	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd18.tsv	no data available	uvp5_sn209_ae1917_bats_361
bats361_ctd19	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190717221259	uvp5	10361018	2019-07-17 22:12:59	31.73973	-64.22467	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd19.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd19.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd20	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190718011932	uvp5	10361019	2019-07-18 01:19:32	31.6584	-64.16687	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd20.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd20.tsv	uvp5_sn209_ae1917_bats_361
bats361_ctd21	sn209_bats_361	gf	joshua stone(stone@sc.edu)	HDR20190718060334	uvp5	10361020	2019-07-18 06:03:34	31.53613	-63.6012	0.00279	1.2236	0.092	export_detailed_20240422_11_04_PAR_bats361_ctd21.tsv	export_detailed_20240422_11_04_ZOO_bats361_ctd21.tsv	uvp5_sn209_ae1917_bats_361
