Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	47.5	138.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.955266955266957	9.725829725829726	10.634920634920636	4.805194805194805	4.336219336219337	3.059163059163059	1.4502164502164503	0.5988455988455988	0.2813852813852814	0.07936507936507937	0.03607503607503608	0.007215007215007215	0.01443001443001443	0.01443001443001443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008685989125258024	0.008098509910784406	0.01764452936782942	0.016073912462092728	0.02649911267130566	0.03605424225849967	0.03492476613815568	0.02860784118721387	0.02756430203800029	0.014720923699958666	0.012322250342465908	0.005157815082968913	0.02509114378049282	0.036394811089612567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	52.5	195.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.745658835546475	8.406537282941777	9.662921348314606	4.545454545454545	3.9070480081716035	3.089887640449438	1.8232890704800817	0.7354443309499489	0.2553626149131767	0.11235955056179775	0.035750766087844735	0.005107252298263534	0.005107252298263534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008207441403878784	0.006999960663559174	0.01613177733953316	0.015283952278412134	0.02408256079484765	0.036779080648297637	0.04404847188188708	0.03570286990917835	0.02411826723634377	0.02092176999668657	0.013782578160291081	0.0034289585388628282	0.006875274991293144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	57.5	250.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.38755980861244	8.373205741626794	10.259170653907496	4.688995215311005	3.8317384370015946	2.93859649122807	1.8460925039872407	0.8492822966507176	0.45454545454545453	0.15151515151515152	0.03987240829346092	0.003987240829346092	0.003987240829346092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008461391623792006	0.006972206135124009	0.017154321536360713	0.015979538667399512	0.023422437017294816	0.034436076721039814	0.04507132580568452	0.04163298954704318	0.044101784999563916	0.02936220083498739	0.014582804759051535	0.002806563089064715	0.007324154710252205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	62.5	237.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.132154882154882	8.998316498316498	9.768518518518519	4.852693602693603	3.602693602693603	3.1144781144781146	1.9444444444444444	0.7028619528619529	0.3493265993265993	0.10942760942760943	0.07154882154882156	0.03787878787878788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008360347786872708	0.0074927237465875	0.01654675394544189	0.01653464896242326	0.022210128737137135	0.036724608718211905	0.04723037416125547	0.034021071441289824	0.03388221967418612	0.020358176706728893	0.03090165173921551	0.023785756994601212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	67.5	204.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.019550342130987	8.284457478005866	9.1544477028348	3.6999022482893453	2.9227761485826003	2.3313782991202348	1.358748778103617	0.7038123167155426	0.3812316715542522	0.20527859237536658	0.06842619745845553	0.009775171065493646	0.0	0.0	0.009775171065493646	0.004887585532746823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007920176826754098	0.006898307176088133	0.015254435446906757	0.012386184360510496	0.017503776005416218	0.02731691611511658	0.03373037330975127	0.03422431885514952	0.037906763909797	0.040205460045157744	0.023840666559289334	0.005701091157908281	0.0	0.0	0.07869306957274491	0.05476455905626693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	72.5	235.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.475785896346643	7.9566694987255735	9.201359388275275	4.124893797790994	3.3135089209855564	2.548853016142736	1.6185216652506371	0.6711979609175871	0.3653355989804588	0.19541206457094307	0.08496176720475786	0.008496176720475786	0.0	0.0	0.004248088360237893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00810067370117368	0.006625364478789269	0.015331570645767144	0.014028420302785482	0.02032501324527672	0.030204320862003205	0.039680450893695395	0.03278190271320877	0.03569526107728477	0.038351888106384874	0.0327082063049191	0.006214987167230068	0.0	0.0	0.021880912796108296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	77.5	239.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.448707256046706	8.953294412010008	9.895746455379482	4.403669724770642	3.2527105921601334	2.3769808173477895	1.3219349457881568	0.7547956630525438	0.3085904920767306	0.16680567139282734	0.06255212677231026	0.03336113427856547	0.01251042535446205	0.004170141784820684	0.016680567139282735	0.0	0.004170141784820684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009276827134115987	0.0074552347279191016	0.016575944817624488	0.014836490907174621	0.019741354800866688	0.02780988015210311	0.032714264354111955	0.038165127203142246	0.02932823394027207	0.03195031593857092	0.021428322677989678	0.021051708759028776	0.01832307140179774	0.015193324967956789	0.10730299734524443	0.0	0.09981786169360796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	82.5	222.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.83078307830783	10.585058505850586	11.44014401440144	4.594959495949595	3.712871287128713	2.956795679567957	2.083708370837084	0.7605760576057606	0.4770477047704771	0.19351935193519354	0.07650765076507651	0.009000900090009001	0.004500450045004501	0.0	0.0	0.0	0.004500450045004501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012988583804191763	0.008813973062699343	0.019004525415102978	0.015477987294109008	0.02264707402191028	0.03511765967740985	0.050824206388426434	0.037777746697780015	0.04615379830461615	0.03945264970954704	0.027710335424378285	0.007968723151201375	0.007159334975169197	0.0	0.0	0.0	0.12159923276417862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	87.5	206.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.44970986460348	12.127659574468085	12.41779497098646	5.058027079303675	4.081237911025145	2.867504835589942	1.702127659574468	0.7591876208897486	0.3191489361702127	0.11121856866537717	0.08220502901353964	0.07736943907156672	0.014506769825918761	0.014506769825918761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014024689155675722	0.01009846707449633	0.020611084673512338	0.017055623205369925	0.024754592982815394	0.03381430013799046	0.04235641759077327	0.03740105420804782	0.03101084877934991	0.021805171013478807	0.02791495220370525	0.0684995545324142	0.020925849387584756	0.03895442284621416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bats361_ctd14	HDR20190716153955	2019-07-16 15:39:55	92.5	217.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.19467401285583	11.418732782369146	11.33149678604224	4.559228650137741	3.613406795224977	2.520661157024793	1.4921946740128558	0.5922865013774105	0.3627180899908172	0.12396694214876032	0.07346189164370982	0.02295684113865932	0.009182736455463728	0.004591368227731864	0.004591368227731864	0.004591368227731864	0.0	0.004591368227731864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012736924991012604	0.009508157474834484	0.018839858420671075	0.015359573561471765	0.02206974093358069	0.029660121525773533	0.03643710646206714	0.02874470693993538	0.0355206441230471	0.02384164521375612	0.026837728921751965	0.017574263284291514	0.013511430929851229	0.013103871762090241	0.02645703083360361	0.05305111550836957	0.0	0.231311626463659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
