Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	2.5	117.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.55055225148683	0.0	17.434154630416312	13.99320305862362	5.335598980458793	3.4579439252336446	2.404418011894647	0.5522514868309261	0.1784197111299915	0.13593882752761258	0.07646559048428207	0.04248088360237893	0.07646559048428207	0.025488530161427356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02260071551297226	0.0	0.011461681345401703	0.022247127104074626	0.017815829196203035	0.02087296114356413	0.028858909386983843	0.013650491832903342	0.008886680940493429	0.013278188867870277	0.014927172784006446	0.01709358522999388	0.060369999376083845	0.039263156135683534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	7.5	195.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.3064351378958	0.0	13.283963227783453	8.774259448416752	3.2431052093973443	1.8130745658835545	1.052093973442288	0.3319713993871297	0.1378958120531154	0.08682328907048008	0.061287027579162406	0.056179775280898875	0.04085801838610827	0.035750766087844735	0.005107252298263534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01915513346871259	0.0	0.008733234088405699	0.01386260182708117	0.010845511378460102	0.010992648559613368	0.01240413539338196	0.008133112994227656	0.00688623396888278	0.008293347797440911	0.013155112648160399	0.021132734748592934	0.034193918484805325	0.05101459259301169	0.014519305757615251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	12.5	194.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.85156651258346	0.0	9.265536723163843	5.906522855675399	1.9517205957883925	1.2326656394453006	0.7755521314843349	0.23626091422701592	0.13353877760657423	0.0359527478171546	0.056497175141242945	0.02568053415511043	0.02568053415511043	0.0	0.005136106831022086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018422312274589795	0.0	0.006091412613132566	0.009353243739622347	0.006501862737147238	0.007385002022658827	0.009591680806401343	0.005945284349040408	0.006455562696813691	0.0037469471403840642	0.011336443068213228	0.01089783950731771	0.020383226964794415	0.0	0.01798163137219805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	17.5	196.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.5205688166582	0.0	9.994921279837481	5.937023869984763	2.026409344845099	1.2138141188420517	0.7465718638902996	0.2691721686135094	0.17775520568816658	0.06094464195022854	0.015236160487557136	0.025393600812595226	0.02031488065007618	0.05078720162519045	0.01015744032503809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018139990882176656	0.0	0.0065709296040089215	0.009491891602851866	0.0067793256627924426	0.007491197043405223	0.009097511547998996	0.006441336165287652	0.008592204762638602	0.0059461351318807944	0.0034078610441160956	0.008900980131789336	0.015731397122082085	0.0832159082431547	0.026011159372103482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	22.5	210.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.47310804378867	0.0	10.3998096144693	7.23465016658734	2.793907663017611	1.7134697762970015	1.1756306520704427	0.4569252736792004	0.28557829604950025	0.07615421227986673	0.0333174678724417	0.00951927653498334	0.01903855306996668	0.014278914802475012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01834203646178577	0.0	0.006837114066083381	0.011522054930505862	0.009427620021934438	0.010493780350499362	0.014247422114278848	0.011728496974124184	0.012903534558638905	0.007139492570327371	0.00593448986863866	0.004141932300419697	0.018545807936852118	0.018919393101589535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	27.5	193.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.49070247933885	0.0	15.526859504132231	10.717975206611571	4.116735537190083	3.0165289256198347	2.050619834710744	0.9917355371900827	0.5681818181818182	0.18078512396694216	0.07231404958677687	0.025826446280991736	0.005165289256198347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021315344974221676	0.0	0.010207774320224435	0.016775902532179997	0.013769365930920137	0.018073943231788927	0.025151953065029455	0.024472240717117885	0.027778561957976688	0.017028088353472203	0.01388306221022261	0.010026835501367086	0.0037315132777510822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	32.5	178.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.64870931537598	0.0	13.630751964085299	10.067340067340067	3.7205387205387206	2.7441077441077444	2.037037037037037	0.9652076318742986	0.521885521885522	0.23007856341189675	0.05611672278338945	0.011223344556677891	0.011223344556677891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01859139631337173	0.0	0.008961222314616091	0.01612219846986697	0.012485866156754339	0.016798161809168485	0.025355566755732004	0.023401535531733193	0.025442251627145484	0.022596731330220308	0.010220747557495562	0.003895115016183304	0.00946037428206859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	37.5	182.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.2803943044907	0.0	13.302300109529025	9.68236582694414	3.866374589266156	2.9627601314348304	2.404162102957284	0.9967141292442497	0.8324205914567361	0.2792990142387733	0.15334063526834613	0.04381161007667032	0.0	0.0	0.00547645125958379	0.0	0.00547645125958379	0.00547645125958379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019785947703375266	0.0	0.008745289246794016	0.015389221712883566	0.013087158384078755	0.018156835506134603	0.029838869472625186	0.02527832353409296	0.0414623825084615	0.02591338819336029	0.029824885328799403	0.015340193998990831	0.0	0.0	0.015870708520416565	0.0	0.08904995638136397	0.10586245955028593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	42.5	195.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.8314606741573	0.0	11.154239019407559	8.329928498467824	3.4576098059244122	2.5485188968335035	2.114402451481103	1.0061287027579162	0.515832482124617	0.2400408580183861	0.056179775280898875	0.025536261491317668	0.020429009193054137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017993822356934516	0.0	0.007333096212640541	0.013327641293009873	0.011770497023216737	0.015820156659390957	0.02650484654489998	0.024341586031572746	0.024850157325793935	0.024492700738232145	0.01128221793604331	0.007780494544145027	0.01475811547148091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
bs2114c12	HDR20210807210055	2021-08-07 21:00:55	47.5	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.51515151515152	0.0	11.828282828282829	7.944444444444445	3.297979797979798	2.2525252525252526	1.9494949494949494	0.8434343434343434	0.5959595959595959	0.32323232323232326	0.09595959595959595	0.06565656565656566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01750250398047766	0.0	0.007776230710064963	0.012594238413652087	0.011196955258172889	0.013841066524352096	0.024204242338021837	0.020840585334671778	0.02923644830076962	0.03082273256437121	0.017994480801562053	0.02574074214314442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
