Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	2.5	108.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.81450872359963	0.0	22.58953168044077	12.378328741965104	3.5812672176308538	1.9742883379247014	1.1111111111111112	0.3948576675849403	0.19283746556473827	0.055096418732782364	0.027548209366391182	0.055096418732782364	0.055096418732782364	0.11937557392102846	0.018365472910927456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02923219485405009	0.0	0.014850964635323198	0.019529897118149248	0.01201518673665452	0.012315562688552552	0.013789803216911853	0.009798356130444072	0.008946837637989454	0.005854481970764268	0.006125992405630139	0.02150353493693799	0.03800244613813091	0.1892185243186331	0.057873790892629305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	7.5	206.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.32688588007736	0.0	21.499032882011605	10.933268858800773	3.4429400386847195	2.011605415860735	1.1411992263056092	0.32398452611218564	0.17891682785299806	0.043520309477756286	0.029013539651837523	0.05319148936170213	0.01934235976789168	0.03868471953578336	0.024177949709864602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027219750429785444	0.0	0.014134041446324264	0.01721291632430122	0.011404863441549784	0.012218416947689603	0.013304344449084357	0.007715217069062793	0.00831334095445388	0.004078458711558383	0.0052949266719041444	0.02202442071624978	0.012573788723849006	0.06737381465197115	0.06689435475155699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	12.5	189.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.66701902748414	0.0	19.698731501057082	10.512684989429177	3.6575052854122623	2.082452431289641	1.1046511627906976	0.3488372093023256	0.1744186046511628	0.11627906976744187	0.031712473572938694	0.005285412262156448	0.021141649048625793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02856457260621773	0.0	0.012950474982012444	0.01669582234753062	0.012300801423162925	0.012497076617078636	0.013177053052392529	0.008097516954916955	0.008497774658145942	0.01075189701061802	0.0057518698948642024	0.002848292558516543	0.015427886014069768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	17.5	174.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.36878216123498	0.0	23.441966838193252	13.550600343053173	4.396798170383076	2.4070897655803316	1.5323041738136076	0.5546026300743282	0.23441966838193254	0.0743281875357347	0.045740423098913664	0.0	0.005717552887364208	0.005717552887364208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032955677572980686	0.0	0.015411378395146712	0.021312337675621254	0.01469068569354736	0.01485424093376001	0.018573139029251146	0.013572599740063359	0.011537713924123392	0.006806813812661547	0.008219592629081483	0.0	0.0062945159528884536	0.007187187507885936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	22.5	174.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.17552887364207	0.0	29.87993138936535	17.158376214979988	5.866209262435677	3.499142367066895	2.126929674099485	0.8747855917667238	0.32018296169239563	0.045740423098913664	0.017152658662092625	0.005717552887364208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04394454172580243	0.0	0.019643869144643097	0.026769210113702833	0.019749851472892148	0.021340194866489574	0.025043422184651654	0.02175480156909472	0.014567575765595461	0.003921038937097433	0.0025699085660132715	0.001611094003627762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	27.5	221.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.36047037539575	0.0	31.524197195838987	18.50293984622343	6.8385345997286295	4.685662596110357	2.718227046585256	0.9090909090909091	0.43419267299864317	0.09045680687471733	0.004522840343735866	0.004522840343735866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047377571876710246	0.0	0.020724853632876402	0.029228603292172355	0.022947664879469865	0.028565568638993726	0.03320621519659143	0.02202246586338319	0.020137734394287087	0.008006071432918063	0.0006839440899782479	0.0018197562571949056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	32.5	162.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.24815724815724	0.0	36.03194103194103	21.406633906633907	7.518427518427518	5.135135135135135	3.458230958230958	0.8906633906633906	0.5098280098280098	0.13513513513513511	0.06756756756756756	0.006142506142506142	0.03071253071253071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05244445143637681	0.0	0.023688365459596183	0.03423985096328021	0.025215465794502224	0.03128333128118443	0.04171241088016755	0.02183975329424976	0.024667258582770336	0.013459460861517085	0.011474941808520451	0.0033545728285414777	0.021904297170671737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	37.5	183.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.64452912357106	0.0	31.154055525313012	19.118127381600438	6.673924877517693	4.616222101252042	3.1627653783342407	1.0615133369624388	0.522591181273816	0.15242242787152968	0.03810560696788242	0.01633097441480675	0.0	0.005443658138268917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05061951343732984	0.0	0.02048151256070179	0.030294679003749405	0.022417300706121086	0.028207747322127	0.03857305200621966	0.025738784174840587	0.024843579793589723	0.015645586634994386	0.008024478184443042	0.006494265248323792	0.0	0.00909237886746414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	42.5	191.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.78474399164054	0.0	31.21212121212121	18.970741901776385	6.8652037617554855	4.858934169278997	2.8369905956112853	0.877742946708464	0.438871473354232	0.14106583072100312	0.03657262277951933	0.01567398119122257	0.0	0.01044932079414838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04725545305200577	0.0	0.02051968650222095	0.029987791296740857	0.023001945020318406	0.029702574415756126	0.0344602578882289	0.02194732407373416	0.020245059926154475	0.013771346787609218	0.006708444473762817	0.005192847934588302	0.0	0.018113329743592435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf379bc5	HDR20210325213226	2021-03-25 21:32:26	47.5	207.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.84896584896583	0.0	32.318422318422314	18.508898508898508	6.45021645021645	4.232804232804233	2.121212121212121	0.7263107263107262	0.4377104377104377	0.08177008177008177	0.06253006253006253	0.00481000481000481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045784287062234995	0.0	0.021246998552692645	0.029393118028534043	0.02157683483829028	0.025585188445505287	0.025180369673119256	0.01806949868237654	0.02130729562379384	0.008101218424133416	0.011798328668287086	0.0016064512342808732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
