Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	2.5	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.3896103896104	0.0	84.53246753246754	79.45454545454545	37.83116883116883	30.194805194805195	26.68831168831169	10.571428571428571	4.779220779220779	1.0649350649350648	0.3116883116883117	0.11688311688311688	0.07792207792207792	0.03896103896103896	0.0	0.012987012987012988	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04674741501737147	0.0	0.0555739137765421	0.1285453287139514	0.12713493646615392	0.18596725310201032	0.32900603692716096	0.2608676920486682	0.22197524867496862	0.10338894387652822	0.05894855583915332	0.045261520743819686	0.06033589440599877	0.05342615396146765	0.0	0.06566538926373888	0.12683595774488934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	7.5	199.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.40733299849322	0.0	47.57910597689603	35.308890005022604	12.014063284781518	7.870416875941738	5.575087895529885	2.4158714213962833	0.9040683073832245	0.23103967855349072	0.11049723756906078	0.03515821195379207	0.020090406830738324	0.010045203415369162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03381230512327361	0.0	0.0312797817253992	0.05606782853538894	0.04014598637252463	0.04825515541572363	0.06860424129379739	0.05977967631423281	0.04306699245535227	0.023669516974889795	0.020461664331371546	0.014768354755793644	0.014677813686244904	0.012634806603356275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	12.5	160.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.80074719800749	0.0	48.39975093399751	35.1307596513076	11.594022415940225	6.8555417185554175	4.389788293897883	1.5566625155666252	0.6662515566625156	0.18057285180572852	0.08094645080946451	0.031133250311332503	0.031133250311332503	0.006226650062266501	0.006226650062266501	0.006226650062266501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03389575323512383	0.0	0.03181929575377646	0.055805901649001705	0.03867373298078915	0.04139193328206222	0.054265860603607996	0.03857360385273327	0.03158314225052687	0.019141035004016243	0.014672554319809848	0.011615775953893442	0.025577793365223235	0.010750242899309741	0.023970606275331673	0.028342428456006975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	17.5	249.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.93712454945936	0.0	48.82659191029235	36.503804565478575	11.670004004805767	6.784140969162996	4.549459351221466	1.329595514617541	0.8850620744893873	0.20024028834601523	0.03604325190228274	0.05206247496996396	0.012014417300760914	0.028033640368442133	0.004004805766920304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03625791927787899	0.0	0.03209991247188887	0.057913781425509105	0.03893142275299993	0.041242169667371126	0.055332895267445135	0.03266082192553912	0.041901593432346486	0.018782075245748583	0.006775136794242958	0.02019698323421558	0.009994442523443114	0.04294146088440436	0.009320588202601664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	22.5	155.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.321083172147	0.0	49.477756286266924	35.286911669890394	11.682785299806577	7.427466150870407	4.745325596389426	1.8439716312056738	0.8897485493230174	0.3610573823339781	0.1160541586073501	0.05802707930367505	0.006447453255963895	0.01289490651192779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038672600429747184	0.0	0.03252800541583218	0.055864846320760525	0.03871304963885817	0.04507110628087012	0.05893658736458727	0.04593731754795789	0.041045679918848936	0.03542745819042109	0.020876518930643496	0.02303729328161311	0.0038539869236088042	0.01916657622633313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	27.5	112.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.16221033868092	0.0	52.13903743315508	37.361853832442065	12.50445632798574	7.834224598930481	5.071301247771836	1.7736185383244207	0.9714795008912656	0.37433155080213903	0.12477718360071301	0.09803921568627451	0.035650623885918005	0.0	0.008912655971479501	0.008912655971479501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044365941912450566	0.0	0.034277603094800844	0.05918682083162855	0.04162841351710562	0.047978645127649974	0.061693183126320154	0.043705997675658186	0.04559165780726673	0.035849085476692154	0.02616151793128283	0.03595491246680268	0.02679965247181058	0.0	0.03294577542611559	0.04100990644793902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	32.5	226.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.80494263018537	0.0	52.224183583406884	38.658428949691086	12.815533980582524	7.334510150044131	4.788172992056487	1.6328331862312446	0.9399823477493381	0.29567519858781993	0.1059135039717564	0.017652250661959402	0.01323918799646955	0.0044130626654898504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04386593571124496	0.0	0.03433358046007391	0.06145419879346099	0.04268999645153813	0.04448050970084918	0.05764909789703263	0.04077338885187982	0.04477265311238692	0.028039391540926002	0.02051428362628321	0.006182671285827811	0.010909970274454887	0.005950341018846776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	37.5	96.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.11157024793388	0.0	51.50826446280992	38.336776859504134	12.644628099173554	7.5929752066115705	4.865702479338843	1.4979338842975207	0.847107438016529	0.26859504132231404	0.09297520661157026	0.04132231404958678	0.05165289256198347	0.010330578512396695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046476326589898906	0.0	0.033862916008409204	0.060828190562469006	0.041987836703445545	0.04600003448477858	0.059003517990947565	0.036550964855512624	0.040260936640345926	0.026578457669464	0.01660708172700644	0.015825378658459812	0.0392073602363467	0.016115782801899962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	42.5	147.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.6797829036635	0.0	52.09633649932157	37.87652645861601	12.781546811397558	7.924016282225237	4.80325644504749	1.6282225237449117	0.8073270013568521	0.39348710990502034	0.17639077340569878	0.05427408412483039	0.020352781546811395	0.020352781546811395	0.0	0.006784260515603799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04723318948190525	0.0	0.034249530354417045	0.060055169034602396	0.04260926376910742	0.047736327192235084	0.058617303411388835	0.040052888868315956	0.038654164630603435	0.03964940733165822	0.03449369962536308	0.022257813848123795	0.01895065702402608	0.033055851493337576	0.0	0.045513404103884395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
hs1399c1	HDR20210126090526	2021-01-26 09:05:26	47.5	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.72727272727272	0.0	50.625	36.625	12.261363636363637	7.8977272727272725	4.5	1.5454545454545454	0.7613636363636364	0.2840909090909091	0.06818181818181818	0.045454545454545456	0.03409090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044061573553497754	0.0	0.03328223423570182	0.05768486442450611	0.040845941041616325	0.04786772499153839	0.05469069262674846	0.03874992811689143	0.03647332552547203	0.028472880220047993	0.013254058782561962	0.021316856494227068	0.021359614313238018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
