Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
p0460	HDR20140405073459	2014-04-05 07:34:59	2.5	23.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.425531914893618	0.0	4.0	1.4042553191489362	1.5319148936170213	0.5957446808510638	0.5957446808510638	0.0425531914893617	0.0851063829787234	0.0	0.0	0.0	0.0425531914893617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0167712645758573	0.0	0.0134050192265959	0.00943166582592852	0.0192499672938207	0.0137005925989596	0.02474315462485	0.00307890741177266	0.0142081738419016	0.0	0.0	0.0	0.11476101798026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
p0460	HDR20140405073459	2014-04-05 07:34:59	7.5	150.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.127659574468083	0.0	5.252659574468085	1.675531914893617	1.928191489361702	0.6449468085106382	0.43218085106382975	0.1529255319148936	0.07978723404255318	0.04654255319148936	0.006648936170212766	0.006648936170212766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0174881709631673	0.0	0.0176030006466269	0.0112536921786647	0.0233224228086577	0.0159470502657385	0.019803560012802	0.0143958647751408	0.0145183116244359	0.015856912581022	0.00379114762309423	0.0132539638786839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6406	51.808255		9.187000000000001		25.5821			4.773925	0.081743			36.6912	9.25	0E-20	5.9525	21.72605											2.0655									
p0460	HDR20140405073459	2014-04-05 07:34:59	12.5	125.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.60876468720229	0.0	5.136551286122579	1.7942203874245792	1.7704033026357575	0.6668783740870118	0.5954271197205462	0.26198793267704035	0.055573197840584315	0.007939028262940616	0.02381708478882185	0.007939028262940616	0.007939028262940616	0.0	0.0	0.007939028262940616	0.007939028262940616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0179794026125452	0.0	0.0172138921872172	0.0120508620344858	0.0222004448905453	0.0165013422482651	0.0275536286536484	0.0239756387316708	0.0107166544760319	0.0029239978179816	0.0166495923505421	0.0145405223385214	0.0252514929760229	0.0	0.0	0.224689430926734	0.481098483637903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6748199999999998	51.811835499999994		12.1664		25.581970000000005			4.772912	0.0767122			36.69162999999999	12.25	0E-20	5.9525	21.72763											20.3725									
p0460	HDR20140405073459	2014-04-05 07:34:59	17.5	114.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.724799441925356	0.0	4.438437391001046	1.7701430066271362	1.9445413324032088	0.6103941402162539	0.5057551447506103	0.25287757237530517	0.1307987443320544	0.02615974886641088	0.04359958144401813	0.0	0.008719916288803626	0.017439832577607253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0170768312327435	0.0	0.0148743346406027	0.0118891465639809	0.0245629208862248	0.0149679900111461	0.0230409247258928	0.0245679402205751	0.022482803186454	0.0116005460600668	0.0342823271102999	0.0	0.0207380292030892	0.0981690581196384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6453400000000002	51.817177599999994		17.1322		25.581470000000003			4.7702160000000005				36.691900000000004	17.25	0E-20	5.9525	21.7302											37.8673									
p0460	HDR20140405073459	2014-04-05 07:34:59	22.5	121.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.633679696519874	0.0	4.494474682500412	1.5916213095827147	1.6658419924129968	0.5690252350321623	0.5360382648853702	0.24740227610094012	0.10720765297707405	0.024740227610094014	0.016493485073396007	0.0	0.0	0.008246742536698003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169837935541954	0.0	0.0150621298830916	0.0106901074959138	0.0208600722385026	0.0141389778886549	0.0246065035803409	0.0232070441896552	0.0216878677818178	0.00912748682102785	0.0152897951938106	0.0	0.0	0.0680132715775999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67963	51.8105955		22.0976		25.58295			4.773075	0.07522666666666666			36.69115	22.25	0E-20	5.9525	21.72284											104.66690000000001									
p0460	HDR20140405073459	2014-04-05 07:34:59	27.5	124.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.11057382333978	0.0	4.730818826563508	1.7166344294003868	1.8778207607994841	0.4754996776273372	0.5480335267569311	0.15312701482914248	0.10477111540941328	0.024177949709864605	0.016118633139909737	0.008059316569954868	0.024177949709864605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0164496770917426	0.0	0.0158541793319064	0.0115297567775641	0.0236298886361967	0.0118259871902427	0.0253109813055328	0.0146450526048785	0.0217342501597457	0.00859562193840171	0.012789687405942	0.0163987241647835	0.0624551640308046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6334399999999998	51.7979881		27.063100000000002		25.58482			4.768497000000001	0.0752424			36.689280000000004	27.25	0E-20	5.9525	21.711109999999998											188.75300000000001									
p0460	HDR20140405073459	2014-04-05 07:34:59	32.5	105.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0661094224924	0.0	4.94870820668693	1.6337386018237081	1.8427051671732522	0.4749240121580547	0.4939209726443769	0.21846504559270516	0.09498480243161093	0.056990881458966566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0184463737643878	0.0	0.0165843821643627	0.0109729878386073	0.023093117298608	0.0117998592569447	0.0216023437296429	0.021413887830668	0.0176525540065312	0.0196738148480774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5865	51.790587200000004		32.0285		25.586239999999997			4.774078000000001	0.075218			36.68827	32.25	0E-20	5.9525	21.70328											202.3536									
p0460	HDR20140405073459	2014-04-05 07:34:59	37.5	110.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.426974395961054	0.0	4.25531914893617	1.6137756941940138	1.9293184276956366	0.6040389469888208	0.5409304002884963	0.18932564010097366	0.04507753335737468	0.009015506671474936	0.018031013342949872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0177937859099917	0.0	0.0142606587516977	0.0108389071831099	0.024271967291023	0.0148791481592308	0.0243701248838124	0.0184442231229157	0.00785500269961322	0.00389033349178162	0.0154882845915293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6925000000000001	51.77492810000001		36.9937		25.58885			4.77729	0.0752265			36.68636	37.25	0E-20	5.9525	21.688760000000002											215.4576									
p0460	HDR20140405073459	2014-04-05 07:34:59	42.5	103.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.094777562862667	0.0	5.174081237911025	1.7988394584139265	1.9825918762088974	0.6479690522243713	0.5899419729206963	0.38684719535783363	0.06769825918762089	0.029013539651837523	0.01934235976789168	0.03868471953578336	0.00967117988394584	0.0	0.0	0.0	0.00967117988394584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0184756453258532	0.0	0.0173396646185415	0.012081885975363	0.0250302242304397	0.0160257684267714	0.0265684747404125	0.035603966357706	0.012413309935528	0.0122018733951643	0.0164907321642248	0.0673801300826491	0.0317350271827125	0.0	0.0	0.0	0.396365575136686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76479	51.69641130000001		41.9587		25.60169			4.785279000000001				36.67871	42.25	0E-20	5.9525	21.62211											228.59250000000003									
p0460	HDR20140405073459	2014-04-05 07:34:59	47.5	125.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.332906734922414	0.0	6.047032474804031	2.1996480563109904	2.087665973444249	0.7918733002719565	0.5599104143337066	0.2959526475763878	0.10398336266197408	0.08798592225243962	0.007998720204767237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0197398352486692	0.0	0.0202651466471494	0.0147739126345998	0.0264898136615315	0.0192170023305628	0.0253379658270735	0.0265040444752023	0.0208226529223755	0.0308249474187897	0.00516289818498188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9106399999999997	51.606651799999995		46.9236		25.61422			4.792446				36.668150000000004	47.25	0E-20	5.9525	21.548319999999997											240.89639999999994									
