Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	2.5	32.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.87469287469287	0.0	28.16339066339066	10.657248157248157	12.346437346437346	6.4496314496314495	3.992628992628992	2.119164619164619	1.904176904176904	1.4127764127764126	0.5835380835380835	0.2764127764127764	0.03071253071253071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018341589778966	0.0	0.0194484366669754	0.0153061388927966	0.0342294758232546	0.0409495738543523	0.0535878742952192	0.0551410455377815	0.0912393816851526	0.143544021510307	0.115549022165585	0.113583332773978	0.0201119203838978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.286242		3.953	1.549593	25.8761						20.398	36.59985	4.0			20.3987	0.000309	0.000469		0.0431			213.1285													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	7.5	62.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.19872813990462	0.0	22.496025437201908	7.233704292527822	8.473767885532592	2.7344992050874404	1.192368839427663	0.397456279809221	0.2066772655007949	0.09538950715421304	0.04769475357710652	0.06359300476947535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168256827868078	0.0	0.0155347959059066	0.0103891812386434	0.0235098823210032	0.0172475843878341	0.014766097622341	0.0108047012185378	0.010923308604179	0.00920082410336131	0.0111943220701877	0.020717027227139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.2853576		7.1076999999999995	1.7299352	25.876299999999997						20.395770000000002	36.59933	7.0			20.39711	0.0003024	0.0004228		0.042031			212.30149999999998													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	12.5	55.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.84684684684684	0.0	20.9009009009009	6.882882882882883	8.36036036036036	2.6486486486486487	1.0990990990990992	0.6306306306306306	0.21621621621621623	0.05405405405405406	0.07207207207207207	0.036036036036036036	0.036036036036036036	0.018018018018018018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0167561906342268	0.0	0.0144332709194101	0.0098853249763737	0.0228219610509455	0.0167735133329244	0.0139784334447851	0.0153255051325528	0.00936373646963287	0.00538904495326313	0.0155116311079331	0.0119307355346608	0.0271090991545891	0.0363715499995711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.286982		11.9363	1.6709490000000002	25.875440000000005						20.3956	36.59814	12.0			20.397840000000002	0.000307	0.0004536		0.0411054			212.03360000000004													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	17.5	53.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0975975975976	0.0	21.884384384384383	7.957957957957958	8.314564564564565	3.566066066066066	1.2387387387387387	0.6006006006006006	0.4316816816816817	0.243993993993994	0.09384384384384384	0.03753753753753754	0.03753753753753754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168057107700645	0.0	0.0151124226760346	0.0114293678828055	0.0225512304399655	0.021847220088831	0.0154109246592385	0.0153831728900768	0.0210033325592958	0.0247271594789663	0.0181369576051994	0.0167235180082628	0.0292544924959126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.291765399999996		16.9399	1.6830364	25.875670000000003						20.396440000000002	36.59871999999999	17.0			20.399639999999998	0.0003046	0.0004382		0.040874			212.4078													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	22.5	45.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.45422842197036	0.0	20.510026155187443	7.040104620749782	8.086312118570183	2.7027027027027026	1.2859633827375763	0.5666957279860505	0.15257192676547515	0.15257192676547515	0.13077593722755013	0.0	0.0	0.021795989537925022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0162836784321581	0.0	0.0141633494874495	0.0101111297733767	0.021876726085265	0.0167726605429928	0.016247264390911	0.0141486601054002	0.00685695799660238	0.0142212143023141	0.0222858506890563	0.0	0.0	0.0256026434044939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.2944114		21.8577	1.7009253999999998	25.875760000000003						20.39594	36.59866	22.0			20.400079999999996	0.000298	0.000392		0.0406602			212.2002													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	27.5	65.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.95293045854844	0.0	22.15305192833283	7.561494078348011	7.591861524445794	3.5226237473428483	1.290616459155785	0.31885818402672333	0.33404190707561493	0.19738839963559066	0.07591861524445793	0.030367446097783177	0.030367446097783177	0.0	0.0	0.0	0.015183723048891588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0167771408202019	0.0	0.0152979530255371	0.0108599590525195	0.0206792632977774	0.0220961178435551	0.0167854507848771	0.00828982559557928	0.015852984768358	0.0182728839548999	0.0127723081143164	0.00992783872407542	0.0245602195664187	0.0	0.0	0.0	0.272855266964322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.297805		26.802500000000002	1.6893216	25.875890000000005						20.39598	36.59883	27.0			20.40102	0.0003001999999999999	0.00040739999999999993		0.0400188			212.3838													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	32.5	50.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.185835470507	0.0	21.739988163345828	8.305385677648452	8.75912408759124	3.4129019530479385	1.144209903333991	0.39455513908068657	0.2959163543105149	0.1380942986782403	0.05918327086210298	0.05918327086210298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0162306741824218	0.0	0.015012708803036	0.0119283500641648	0.0239638974144686	0.0207827468888341	0.0144815561878973	0.008832590678102	0.0133309064891472	0.0147156336845723	0.0123378458269497	0.0190476402334907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.301711		31.844599999999996	1.6709489999999998	25.876120000000004						20.39606	36.59916	32.0			20.4021	0.0003072	0.0004548		0.0406602			212.40810000000002													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	37.5	54.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.27302813017099	0.0	21.787093215664644	8.126493840779554	8.365508365508365	3.530060672917816	1.323772752344181	0.42287185144328	0.20224305938591652	0.11031439602868175	0.14708586137157564	0.07354293068578782	0.018385732671446955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168403561052314	0.0	0.0150452375435441	0.0116714222661534	0.0231745922904183	0.0221073915065043	0.017157800075845	0.0102623960371997	0.0105785557946647	0.00959965306743057	0.0265358180517167	0.0260865437553532	0.0132889121413532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.3058074		36.8776	1.6946401999999998	25.8762						20.39658	36.59946000000001	37.0			20.40356	0.0003001999999999999	0.00040739999999999993		0.0402326			212.1612													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	42.5	37.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.55686379448757	0.0	22.665239496922666	8.001070377308002	8.563018464008564	3.906877174203907	1.2041744715012042	0.6154669521006155	0.4013914905004014	0.13379716350013382	0.10703773080010705	0.026759432700026762	0.026759432700026762	0.053518865400053524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0172913850731978	0.0	0.0156516479200328	0.0114912867448645	0.0232104058915736	0.0252081665579489	0.0152822584346888	0.0161761918310496	0.0190430096762368	0.0120491163722087	0.0205565683957504	0.00966000876575028	0.03006199635821	0.067631613083853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.3083794		41.6957	1.6419394	25.87584						20.3966	36.59895	42.0			20.40454	0.0002936	0.0003612		0.039805			212.14619999999996													
tara_148_00_a	HDR20120224114633	2012-02-24 11:46:33	47.5	38.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.54185253214379	0.0	21.93649960640252	8.055628443977959	8.527945421149305	3.2537391760692733	1.2857517711886643	0.44607714510627133	0.26239832065074786	0.1574389923904487	0.05247966413014957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168934455610449	0.0	0.0151484112260966	0.0115696440594218	0.0229507379778511	0.020646388268392	0.0168096304964511	0.0109448889794261	0.0126490292101313	0.0157657114854703	0.00924156625848085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066731	50.31133620000001		46.702099999999994	1.6888382	25.87572						20.396480000000004	36.59878	47.0			20.40536	0.0003014	0.000415		0.04001880000000001			211.7203													
