Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	2.5	28.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.63987363987364	0.0	17.234117234117235	5.545805545805546	6.037206037206038	2.2113022113022116	0.9477009477009477	0.35100035100035104	0.0702000702000702	0.0351000351000351	0.0	0.0	0.0	0.0351000351000351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0145429536493843	0.0	0.0119011464757563	0.00796498952675789	0.0167232141328898	0.0138478298566809	0.0114163802193484	0.00850246852705098	0.00256388933592683	0.00383074560086079	0.0	0.0	0.0	0.0461996936813946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122161	50.383185499999996		3.4385	1.646272	25.84735						20.494075000000002	36.5963	3.5			20.494725	0.000298	0.000392		0.064869	0.40282799999999996		213.61075													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	7.5	53.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.04804804804805	0.0	18.656156156156158	6.118618618618618	5.536786786786787	1.8956456456456456	0.6193693693693694	0.33783783783783783	0.2627627627627628	0.09384384384384384	0.09384384384384384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144260755000201	0.0	0.0128831459176487	0.00878767436272313	0.0151015201492434	0.0119991801290366	0.00796224771861451	0.00822225521307054	0.0117597352824648	0.00752677195242661	0.0179091473233562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11211299999999999	50.3725324		6.845400000000001	1.6830166000000002	25.85177						20.480829999999997	36.59715	7.0			20.48213	0.000309	0.00046899999999999996		0.065747	0.3118132		213.6202													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	12.5	65.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.57800982800983	0.0	19.057125307125308	6.142506142506142	6.418918918918918	2.334152334152334	0.691031941031941	0.23034398034398032	0.09213759213759214	0.1382063882063882	0.04606879606879607	0.015356265356265355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0155181737597502	0.0	0.0131600381154398	0.00882198207077615	0.0175792037775267	0.0147463931272764	0.00882879584805119	0.00551418216046332	0.00408274137069797	0.013910413291418	0.00733286703970131	0.00554352775761806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0939494	50.3302628		12.0348	1.6796322	25.86363						20.4377	36.59754	12.0			20.439970000000002	0.0003068	0.0004536		0.0679698	0.2601059999999999		213.715													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	17.5	62.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.67567567567568	0.0	20.11834319526627	6.300975531744762	6.492883415960339	2.238925315848393	0.847593155285463	0.5277466815928354	0.39980809211578444	0.11194626579241963	0.127938589477051	0.04797697105389413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0149449990791575	0.0	0.0138928699372204	0.0090495787679867	0.0175947895953988	0.0142965997262223	0.0107204833845379	0.0132597027979613	0.0186004114471955	0.0108872932781711	0.0208152867880234	0.017495651379393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0978716	50.2895532		16.8834	1.7241128	25.87593						20.39486	36.59836	17.0			20.39806	0.0003104	0.00047660000000000004		0.07012179999999998	0.14825000000000005		213.6002													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	22.5	71.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.84009009009009	0.0	21.874999999999996	7.277590090090089	7.094594594594594	2.744932432432432	1.02759009009009	0.4926801801801801	0.36599099099099097	0.08445945945945946	0.0563063063063063	0.07038288288288287	0.02815315315315315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165573687714773	0.0	0.0151059422203416	0.0104522108409383	0.0189699710217727	0.0171385419640862	0.0130676651375345	0.0125600455256564	0.0177480608039614	0.00844955831007649	0.00991879419948237	0.0297215106484649	0.0252813953523241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111689	50.283766199999995		21.920099999999998	1.7241129999999998	25.878929999999997						20.3853	36.59908	22.0			20.38946	0.000309	0.00046899999999999996		0.0701218	0.2448048		213.777													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	27.5	63.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.85103708359522	0.0	20.757385292269014	6.961030798240101	7.4324324324324325	2.749842866121936	1.2570710245128849	0.3928346951602765	0.23570081709616594	0.10999371464487744	0.09428032683846638	0.03142677561282212	0.0	0.01571338780641106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0161645556900605	0.0	0.014334165159789	0.0099975624723005	0.020112540573542	0.0170180597663309	0.0171150615007987	0.00976032016533116	0.0107851341288481	0.00988169415567319	0.0190094054141921	0.0104352349666257	0.0	0.0248450586563587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12471600000000001	50.282758		26.899400000000004	1.7893836	25.880540000000003						20.38074	36.59960000000001	27.0			20.3858	0.000309	0.00046899999999999996		0.0670738	-0.0353626		213.179													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	32.5	50.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.02663247188795	0.0	20.852239100414284	6.727165121325705	7.259814559084632	2.840797001380943	1.1047543894259224	0.39455513908068657	0.19727756954034328	0.1380942986782403	0.019727756954034326	0.019727756954034326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0167916960456645	0.0	0.0143996671549991	0.00966168021824272	0.0198470596541919	0.0175318555109873	0.0144942832351107	0.00980386955341782	0.00985599963548116	0.0142621858621684	0.00472594901643542	0.00858993488854155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14357119999999998	50.283691		31.8063	1.6830165999999998	25.88138						20.37838	36.599779999999996	32.0			20.38444	0.0003068	0.0004536		0.06248720000000001	-0.196815		213.32019999999997													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	37.5	52.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.54437416139544	0.0	22.445850105424572	6.6705002875215635	7.18803910293272	3.2202415181138586	0.7858922752539773	0.4025301897642323	0.26835345984282155	0.11500862564692352	0.09584052137243626	0.019168104274487254	0.019168104274487254	0.019168104274487254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0159065061121124	0.0	0.0155001469613254	0.00958029712537052	0.0195161313757243	0.0199779565098912	0.010086703761427	0.00987199734343607	0.0118110482410809	0.0123845400098481	0.0207391587680103	0.00615828674432649	0.0149373322581111	0.0303074474389624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15447760000000002	50.2848228		36.7271	1.6832584000000002	25.88202						20.3763	36.5999	37.0			20.383259999999996	0.0003048	0.0004382		0.05788800000000001	-0.2284726		213.01860000000002													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	42.5	39.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.68268268268268	0.0	20.27027027027027	7.357357357357357	7.382382382382382	2.8278278278278277	1.001001001001001	0.22522522522522523	0.2502502502502503	0.07507507507507508	0.12512512512512514	0.07507507507507508	0.025025025025025023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0163287952901906	0.0	0.0139977842968416	0.0105667740803296	0.0200753795506669	0.0173810647284332	0.0127154341620817	0.00555414152473892	0.0117343985210373	0.00912661706390632	0.0194126685450501	0.0257589746681851	0.0170585793625234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579708	50.287611600000005		41.7754	1.6182294000000002	25.882179999999998						20.375759999999996	36.59994	42.0			20.383640000000003	0.0003068	0.0004536		0.05679719999999999	-0.167796		212.8402													
tara_148_00_b	HDR20120224162039	2012-02-24 16:20:39	47.5	33.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.20720720720722	0.0	22.612612612612615	6.756756756756757	6.876876876876877	2.9429429429429432	1.1411411411411412	0.3603603603603604	0.21021021021021022	0.12012012012012013	0.030030030030030033	0.060060060060060066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017222332272172	0.0	0.01561530603781	0.00970418027785376	0.0189807039093756	0.018740330898445	0.0145655654085233	0.00906295825619041	0.00988516665652071	0.0119973623496038	0.00443157426958808	0.0268243252057599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16983300000000004	50.290700799999996		46.696999999999996	1.6835002000000003	25.88234						20.37553	36.60006	47.0			20.38438	0.0003024	0.0004228		0.055885399999999995	-0.2741122		212.67860000000002													
