Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	2.5	13.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.35435435435436	0.0	17.26726726726727	5.405405405405405	6.081081081081081	1.951951951951952	0.45045045045045046	0.15015015015015015	0.15015015015015015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0156714920899499	0.0	0.0119240384750873	0.00776334422228301	0.0168431798581726	0.0109216701797515	0.00537608551344877	0.00443308486018515	0.00992533129396828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.146372	50.456010500000005		3.49175	1.6982315	25.82695						20.564475	36.594300000000004	3.5			20.5652	0.000309	0.000469		0.080195	2.2218080000000002		213.321													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	7.5	34.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.93537015276146	0.0	18.74265569917744	6.169212690951822	5.493537015276146	1.8213866039952997	0.5287896592244419	0.44065804935370156	0.11750881316098707	0.11750881316098707	0.05875440658049354	0.02937720329024677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0157862354403678	0.0	0.0129428788136014	0.00886033851456213	0.014814209927057	0.0114956494836893	0.00664341651671998	0.0114728976451469	0.0064517360971082	0.0137468506236385	0.011462834313756	0.00833254390542598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15242119999999998	50.44267979999999		7.025800000000001	1.7187796	25.83163						20.549190000000003	36.59492	7.0			20.55055	0.00031340000000000003	0.0004998000000000001		0.07933180000000001	1.2462334		213.2937													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	12.5	34.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.3516419645452	0.0	21.447253705318225	6.015693112467306	6.625980819529207	2.5283347863993026	0.8427782621331009	0.6393490264458007	0.20342923568730023	0.11624527753560013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178433187930494	0.0	0.0148105588689163	0.00863985082802464	0.0185072141350465	0.015600117385001	0.0108811890954501	0.015541974022235	0.0105534881043076	0.0112595986949203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1380824	50.3535172		11.932800000000002	1.5974252	25.85668						20.46043	36.59644	12.0			20.462670000000003	0.0003114	0.0004844		0.0817056	0.8431295999999999		213.5016													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	17.5	38.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.39910784570979	0.0	20.309630018367884	6.271319863552874	7.215953817895565	2.781422198897927	0.8921542902125427	0.4985568092364209	0.20991865652059827	0.20991865652059827	0.07871949619522435	0.05247966413014957	0.05247966413014957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0176552052228466	0.0	0.0140249644605248	0.00900698674332835	0.019531126257911	0.0170382041091788	0.011875159371544	0.013261313506554	0.0105150199381041	0.0191644638063148	0.0143243636420793	0.0186994853924695	0.0414048157321749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1479342	50.310421000000005		16.9077	1.5916236	25.868779999999997						20.41699	36.59642	17.0			20.42018	0.00032060000000000004	0.000546		0.0834692	0.8726763999999999		213.5442													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	22.5	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.05405405405405	0.0	20.513513513513512	6.972972972972973	7.783783783783784	3.054054054054054	1.135135135135135	0.5675675675675675	0.5135135135135135	0.21621621621621623	0.05405405405405406	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171920864407023	0.0	0.0141657577084037	0.0100147140467451	0.0213541364011919	0.0185706231972561	0.0145142141096121	0.0138224114789133	0.0247278267786219	0.0207475251016134	0.00913423682122307	0.0	0.0195347008477892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16118480000000002	50.2828952		21.842499999999998	1.6414221999999998	25.876920000000002						20.38699	36.59702	22.0			20.39112	0.0003162	0.0005164		0.0846032	0.8014471999999999		213.43540000000002													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	27.5	32.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.94624962040693	0.0	21.773458852110537	6.9541451563923475	7.591861524445794	3.097479501973884	1.032493167324628	0.45551169146674764	0.2733070148800486	0.21257212268448222	0.15183723048891587	0.06073489219556635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175657713895876	0.0	0.0150358222334614	0.00998767318484724	0.020770245180067	0.0204780561652575	0.0138760159160209	0.0115844194088528	0.0135634890318709	0.0230912883502084	0.0271118434590246	0.0201669709467373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1792206	50.2820578		26.881100000000004	1.7129777999999998	25.87896						20.382029999999997	36.59796	27.0			20.387140000000002	0.0003162	0.0005152000000000001		0.08282120000000001	1.3364568000000001		213.28029999999998													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	32.5	36.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.45890788747933	0.0	21.649200220628792	6.618863761720905	7.804743519029234	3.1163816878102595	1.323772752344181	0.3309431880860452	0.27578599007170435	0.0827357970215113	0.0827357970215113	0.027578599007170437	0.027578599007170437	0.027578599007170437	0.0	0.0	0.0	0.027578599007170437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0170745525193727	0.0	0.0149500145211166	0.00950613578238736	0.0212256134524983	0.019532073160674	0.0175553503648853	0.00872871098006131	0.0131777689787533	0.00704106558742247	0.016349756898223	0.0132578294303258	0.0199333682120298	0.0328723951624821	0.0	0.0	0.0	0.94870023325711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.186799	50.2818828		31.8348	1.6648710000000002	25.8803						20.37831	36.59836	32.0			20.38434	0.00030460000000000003	0.0004382		0.0797634	1.0436264		213.6093													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	37.5	30.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.65062623599209	0.0	21.35794330916282	7.020435069215557	7.745550428477258	2.5049439683586026	1.4831905075807514	0.4943968358602505	0.2966381015161503	0.3955174686882004	0.13183915622940012	0.06591957811470006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0177048769578869	0.0	0.0147488849176478	0.0100828799960139	0.020757012021463	0.0163426047239484	0.0193464185685753	0.0126073828723765	0.0130552104389567	0.0362833529771067	0.0269469138975483	0.0212470112760972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18525	50.2833464		36.7562	1.691221	25.880820000000007						20.37656	36.59844	37.0			20.38352	0.0003116	0.0004844		0.07712080000000002	1.0082756		213.4698													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	42.5	39.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.8179500254972	0.0	22.02957674655788	6.068332483426823	7.929627740948496	2.6262111167771547	0.9943906170321265	0.6374298827129016	0.33146353901070885	0.22947475777664458	0.3059663437021928	0.10198878123406425	0.025497195308516064	0.0	0.0	0.025497195308516064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171454588492356	0.0	0.0152126863301524	0.00871545247595923	0.0215920230564571	0.0159873199577112	0.01241921225754	0.0163039677784058	0.0163454684795337	0.0245364345697707	0.0608324469079756	0.0386762784117814	0.0217378217803231	0.0	0.0	0.191891855943709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.191292	50.283702		41.806400000000004	1.7535900000000002	25.881999999999998						20.37326	36.59886	42.0			20.38118	0.0003068	0.0004536		0.069885	0.6341905999999999		213.11749999999998													
tara_148_00_d	HDR20120224194742	2012-02-24 19:47:42	47.5	33.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.74774774774775	0.0	22.402402402402405	7.387387387387388	7.027027027027027	2.2822822822822824	0.3603603603603604	0.5105105105105106	0.15015015015015015	0.21021021021021022	0.12012012012012013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173290822655945	0.0	0.0154701438302872	0.0106099037704534	0.019019373260733	0.0140195570784823	0.00452008069332795	0.0131057909751316	0.00739036712617803	0.0218832998951957	0.0212135329458806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1928286	50.286152200000004		46.7038	1.7424702	25.8825						20.37226	36.59912	47.0			20.38116	0.000307	0.0004536		0.0654024	0.831258		212.42469999999997													
