Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	2.5	15.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.53024453024453	0.0	26.31917631917632	10.167310167310168	10.875160875160876	4.697554697554698	1.8018018018018018	0.7722007722007722	0.7722007722007722	0.19305019305019305	0.06435006435006435	0.1287001287001287	0.06435006435006435	0.06435006435006435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0186685405163966	0.0	0.0181749008806611	0.0146024807990561	0.0306557789586885	0.0302642927460976	0.0225884671834236	0.0188702833660733	0.0362237354204061	0.0205460083585847	0.0127946737074711	0.0534248275404652	0.0438649183607746	0.0789510254814694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141667	50.2802865		3.6900000000000004	1.624477	25.87865						20.39145	36.60085	3.5			20.3921	0.00031499999999999996	0.0005075		0.0708175	1.6585705		214.907													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	7.5	54.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.54660783232212	0.0	26.254826254826256	8.27357970215113	8.530979959551388	3.291046148189005	1.3421584850156278	0.42287185144328	0.27578599007170435	0.14708586137157564	0.11031439602868175	0.07354293068578782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0184742845759848	0.0	0.0181304634701949	0.0118826697279842	0.0234860187260369	0.0207522400685231	0.0166553145043112	0.0107716355386734	0.0149399450288262	0.0141057610991729	0.0234996164784355	0.0242147644640359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1400088	50.283602200000004		7.013900000000001	1.6708908	25.87844						20.392379999999996	36.60096	7.0			20.393700000000003	0.00031399999999999993	0.0004998000000000001		0.0711406	1.2720868		214.72899999999998													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	12.5	44.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.18578242107654	0.0	27.254144901203723	9.039291392232569	8.539632069043833	3.6338859868271634	1.4308426073131955	0.8403361344537815	0.1589825119236884	0.11355893708834885	0.1589825119236884	0.04542357483533954	0.04542357483533954	0.04542357483533954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0186005135598038	0.0	0.0188205503150812	0.0129823991616329	0.0231517792967157	0.0230330937995631	0.0192961096238786	0.0210238783284246	0.00737312609628089	0.0106051113643177	0.0278051318647441	0.0179535093821007	0.0331587385894834	0.0806463778598014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1362004	50.28579259999999		11.84	1.6324543999999999	25.87876						20.39136	36.601	12.0			20.393620000000002	0.00031860000000000005	0.0005318		0.0711406	1.7807154		215.05450000000002													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	17.5	43.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.55809655809657	0.0	27.997227997228	8.778008778008779	9.101409101409102	3.5343035343035343	1.0626010626010627	0.5544005544005544	0.462000462000462	0.16170016170016172	0.0231000231000231	0.0231000231000231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0190690159190715	0.0	0.0193336918151249	0.0126071401900322	0.0248560790902716	0.0215264896040444	0.0137962892439951	0.0138443533030015	0.0219097981168918	0.0166457275158131	0.00389708804751617	0.00955242105952888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132556	50.2896976		16.904700000000002	1.6413988	25.87865						20.39188	36.60098	17.0			20.39508	0.000309	0.00046899999999999996		0.0709252	1.613459		214.8862													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	22.5	38.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.26528470217791	0.0	28.417738126475992	8.764103909734978	9.525059039622146	3.3324586722644978	1.941747572815534	0.7609551298871687	0.367357648911047	0.1574389923904487	0.026239832065074783	0.05247966413014957	0.026239832065074783	0.026239832065074783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019603651704734	0.0	0.0196240781792615	0.0125871697584589	0.026207496659753	0.0209942459832758	0.024738622244764	0.0174194589582732	0.0187089515341672	0.0146553857840554	0.00481477692295278	0.0181514018941831	0.0168359001923622	0.0467993351614979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1324592	50.2945158		21.8146	1.6498594	25.878299999999996						20.393369999999997	36.601060000000004	22.0			20.3975	0.000321	0.0005472000000000001		0.0711406	0.9019596		215.03430000000003													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	27.5	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.94594594594595	0.0	27.37837837837838	9.405405405405405	9.756756756756756	3.189189189189189	1.3783783783783783	0.5675675675675675	0.4864864864864865	0.2702702702702703	0.16216216216216217	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0201330487594936	0.0	0.0189063406569341	0.0135082189467724	0.026442134061478	0.0198583289684675	0.0183272814343346	0.0138131599145416	0.0248070251506929	0.027486645876063	0.0335746734531424	0.0100336600671498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1343224	50.2903012		26.853900000000003	1.6650892	25.88044						20.386339999999997	36.60116	27.0			20.39148	0.000315	0.0005074000000000001		0.071356	1.6783568		214.82530000000003													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	32.5	39.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.90790790790791	0.0	29.37937937937938	9.65965965965966	10.185185185185185	4.32932932932933	1.7267267267267268	0.9009009009009009	0.5505505505505506	0.15015015015015015	0.12512512512512514	0.15015015015015015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0213104616499098	0.0	0.0202881466228297	0.0138733836564872	0.0276829858703007	0.0273553391603282	0.0220168917894234	0.0220800284086565	0.0276287741698913	0.0137814829113542	0.0230132741658123	0.051414183610094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14899679999999998	50.216586		31.857100000000003	1.6322130000000001	25.899639999999998						20.31388	36.60080000000001	32.0			20.3199	0.000321	0.0005472000000000001		0.07158919999999999	1.5237631999999999		214.4759													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	37.5	44.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.99454917101976	0.0	30.456506927095162	9.470815353168295	10.447422212128094	4.0426981603452194	2.066772655007949	0.794912559618442	0.3861003861003861	0.4088121735180559	0.27254144901203725	0.20440608675902794	0.02271178741766977	0.02271178741766977	0.04542357483533954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0213275722153043	0.0	0.0210319649771032	0.0136021619356807	0.0286839013724636	0.0253648562441585	0.0267754206015375	0.0200052015531192	0.0182997662697234	0.0358019209807053	0.0529944061818099	0.0846519135690388	0.024751972000257	0.0294830625719921	0.151258410368918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15249	50.1837946		36.685199999999995	1.6887796000000002	25.908800000000003						20.27966	36.60096	37.0			20.2866	0.0003396	0.0006751999999999999		0.06997440000000002	0.7697898000000001		214.5788													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	42.5	34.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.46298472385429	0.0	29.054054054054056	9.136310223266745	9.45945945945946	4.9353701527614575	2.1151586368977675	0.7344300822561692	0.32314923619271446	0.44065804935370156	0.14688601645123384	0.14688601645123384	0.08813160987074031	0.08813160987074031	0.0	0.02937720329024677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0210251074001812	0.0	0.020063490825473	0.0131217394191849	0.0260453346722412	0.0313635370973589	0.0280155893114609	0.0176046795472845	0.0153352940041261	0.0425254284893726	0.0219366922520515	0.0553921197188085	0.0724914723197334	0.118401388576854	0.0	0.161410408987971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1559814	50.163358		41.780899999999995	1.7071516000000002	25.91422						20.257820000000002	36.60036	42.0			20.265719999999998	0.0003162	0.0005152000000000001		0.0652592	2.009704		213.7359													
tara_148_00_e	HDR20120225011934	2012-02-25 01:19:34	47.5	39.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.02502502502502	0.0	28.953953953953953	9.134134134134134	9.10910910910911	3.4034034034034035	1.026026026026026	0.8008008008008007	0.5005005005005005	0.15015015015015015	0.12512512512512514	0.050050050050050046	0.025025025025025023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0197536909124975	0.0	0.0199943659647479	0.0131186140793208	0.0250846044287558	0.0217733351082254	0.013301080188438	0.0209385131571401	0.0249575417164367	0.0128885996134773	0.0265113314362053	0.0160929748805936	0.0180876859701752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.161112	50.1488468		46.675200000000004	1.7245568000000002	25.918259999999997						20.241590000000002	36.599999999999994	47.0			20.25041	0.0003186	0.0005318		0.060334399999999996	2.2708772		214.18449999999999													
