Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	2.5	17.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.52252252252251	0.0	32.82657657657657	12.387387387387387	14.639639639639638	6.70045045045045	3.0405405405405403	1.5202702702702702	0.2815315315315315	0.2815315315315315	0.0563063063063063	0.1126126126126126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192594779799857	0.0	0.0226686340140519	0.0177909971760652	0.0403434620730854	0.0427768683986694	0.039257549015821	0.0378475536735289	0.0129676680581725	0.0267826501210782	0.0116387236208629	0.0324601759759133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14392549999999998	50.154658999999995		3.44475	1.742884	25.915275						20.267675	36.6053	3.5			20.268349999999998	0.00032700000000000003	0.0005875		0.070213	1.223282		214.8085													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	7.5	35.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.96509009009009	0.0	25.056306306306304	9.177927927927927	10.106981981981981	3.519144144144144	1.0979729729729728	0.563063063063063	0.25337837837837834	0.2252252252252252	0.02815315315315315	0.0	0.02815315315315315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171745171709515	0.0	0.0173028167002626	0.0131815115440847	0.0273404495983923	0.0212392339452143	0.0139543201944116	0.0135769676359725	0.0124153551094182	0.0214999105498708	0.00415460087773882	0.0	0.0162525556984142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1453088	50.1570792		6.8833	1.5673868	25.915300000000002						20.26782	36.605360000000005	7.0			20.26914	0.0003306	0.0006124000000000001		0.0695674	0.5371081999999999		214.52579999999998													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	12.5	46.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.85945945945946	0.0	27.264864864864865	9.967567567567567	9.05945945945946	3.3513513513513513	1.1675675675675676	0.43243243243243246	0.3675675675675676	0.23783783783783785	0.12972972972972974	0.043243243243243246	0.021621621621621623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021621621621621623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0177461189065653	0.0	0.0188279530648718	0.0143156067458899	0.0248555515376422	0.0205751042779211	0.0153510856492421	0.0111072411034043	0.0190191958305173	0.024577901481788	0.0238046821948633	0.0182321928309669	0.0133085901632733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94896177658961	0.0	0.0	0.0	0.0	0.0	0.0	0.1470644	50.160078600000006		11.891899999999998	1.6442574	25.915520000000004						20.267339999999997	36.60546000000001	12.0			20.2696	0.0003352	0.0006444		0.06956739999999999	0.631289		214.90109999999999													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	17.5	52.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.65658665658667	0.0	26.138726138726142	8.694008694008694	9.62010962010962	3.60990360990361	1.2096012096012096	0.43470043470043473	0.34020034020034023	0.1512001512001512	0.0945000945000945	0.056700056700056706	0.0189000189000189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171135916028814	0.0	0.0180502896806825	0.0124864977001755	0.0261060591822332	0.0225743100485178	0.0149031633288056	0.0106204879731478	0.0154845926019098	0.0134722181494421	0.0185577906358919	0.0234754740268763	0.0141900416662196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1453088	50.161003		16.9592	1.6408730000000002	25.916000000000004						20.265259999999998	36.605360000000005	17.0			20.26846	0.0003306	0.0006124000000000001		0.0689218	0.628387		214.7642													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	22.5	44.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.44144144144144	0.0	27.725225225225227	9.617117117117118	9.617117117117118	3.626126126126126	1.6441441441441442	0.5630630630630631	0.42792792792792794	0.11261261261261261	0.06756756756756757	0.022522522522522525	0.022522522522522525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0170711031148234	0.0	0.0191458582993467	0.0138122832621452	0.0262183121741639	0.0226052760794813	0.0216562722108972	0.0136896398251369	0.019598630894348	0.0108188481410796	0.0104470222507104	0.00638828366082659	0.0132863291066822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14429779999999998	50.162365		21.8713	1.6887358	25.91639						20.26361	36.605239999999995	22.0			20.267760000000003	0.000328	0.0005946		0.06763060000000001	0.5703486		214.62460000000002													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	27.5	41.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.90250965250966	0.0	28.861003861003862	10.738416988416988	11.824324324324325	4.633204633204634	2.0752895752895753	0.7963320463320464	0.5308880308880309	0.33783783783783783	0.12065637065637067	0.0	0.0	0.0	0.02413127413127413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0179521082688732	0.0	0.0199301785940745	0.0154227150844462	0.0321958065050026	0.029842421495899	0.0270258119813808	0.0201728726206803	0.0228458118074454	0.0329268800655161	0.0202291295693099	0.0	0.0	0.0	0.0627575672083181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1341752	50.141195599999996		26.8493	1.6824507999999998	25.92124						20.241889999999998	36.604040000000005	27.0			20.24696	0.0003162	0.0005148		0.061128400000000006	0.3250038		214.25820000000004													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	32.5	42.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.79468942626838	0.0	29.042200094831674	11.071597913703178	11.545756282598388	5.215742057847321	2.2996680891417736	1.1379800853485065	0.948316737790422	0.2844950213371266	0.21337126600284495	0.07112375533428165	0.02370791844476055	0.02370791844476055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171408651719285	0.0	0.0200553049867029	0.0159012357535358	0.0315444622067032	0.0323086329170584	0.0301794915682963	0.0296331874905548	0.0471373860995868	0.0286394723136423	0.0401310213145064	0.0245302557932248	0.0231358952669082	0.0504921641348114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1343224	50.1092636		31.7594	1.7240285999999998	25.928140000000003						20.21096	36.602180000000004	32.0			20.21698	0.0003138	0.0004992000000000001		0.0551542	0.9238556000000001		213.6745													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	37.5	41.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.7972972972973	0.0	27.7992277992278	10.424710424710426	12.572393822393822	4.802123552123552	2.557915057915058	0.916988416988417	0.6274131274131275	0.41023166023166024	0.26544401544401547	0.0723938223938224	0.1447876447876448	0.02413127413127413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0167464052181631	0.0	0.0191969613213828	0.0149721638572601	0.0350432490758118	0.0300881703303997	0.0334625179792248	0.0229141838687752	0.0288845669625891	0.0362484095234716	0.0482321723712311	0.0228982580105847	0.0916038516164711	0.0304607816691273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132556	50.0954038		36.733999999999995	1.7598048000000002	25.931579999999997						20.19563	36.60132	37.0			20.20256	0.0003082	0.0004606		0.050205599999999996	1.4878848		213.6634													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	42.5	37.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.07519400588708	0.0	26.652394969226656	10.516457051110518	11.506556061011507	5.084292213005084	2.9435375970029436	1.2041744715012042	0.5887075194005887	0.3746320578003747	0.26759432700026764	0.26759432700026764	0.10703773080010705	0.053518865400053524	0.026759432700026762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171962613166826	0.0	0.0184050074714908	0.0151039320760259	0.0309274212653532	0.0324786957641001	0.0388888620409125	0.0305099309873722	0.0279715539774486	0.0409445869641408	0.056582469200778	0.0983227273057995	0.0740283585491127	0.0610318960152161	0.0825932458307216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1370968	50.0981854		41.654	1.6887358	25.93254						20.194359999999996	36.60211	42.0			20.2022	0.0003116	0.00048380000000000005		0.0518838	0.7186104		213.67469999999997													
tara_148_00_f	HDR20120225112818	2012-02-25 11:28:18	47.5	38.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.78507078507079	0.0	26.846846846846844	10.707850707850707	10.913770913770913	5.019305019305019	2.265122265122265	1.1068211068211067	0.7722007722007722	0.4375804375804376	0.2831402831402831	0.10296010296010295	0.07722007722007722	0.02574002574002574	0.02574002574002574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0179289155619689	0.0	0.0185392876464836	0.0153788152212844	0.0299007121801243	0.0308097483818596	0.0288014577684992	0.0292051235341305	0.0357813872572709	0.0419304390944405	0.0604891701176073	0.0435082716170457	0.0735237956535042	0.0381993343099716	0.111220341298027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141872	50.100817799999994		46.732800000000005	1.7245122000000002	25.93315						20.19325	36.60254	47.0			20.20206	0.000307	0.0004528		0.0505626	0.5276107999999999		213.52460000000002													
