Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	7.5	36.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.96249310535025	0.0	25.758411472697187	9.238830667402096	10.231660231660232	3.8885824600110315	1.378929950358522	0.5791505791505792	0.5239933811362383	0.3585217870932157	0.19305019305019305	0.05515719801434087	0.0827357970215113	0.0	0.0	0.027578599007170437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169765168111275	0.0	0.0177876605894559	0.013268981196249	0.0285400700491854	0.0239273109029458	0.017180485854544	0.0142509008641387	0.0238218511868989	0.0330645335117435	0.0388993302313324	0.0266014376658451	0.0716477240396543	0.0	0.0	0.142191284242532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1371614	50.2551438		6.936399999999999	1.6650369999999999	25.88356						20.36775	36.59897	7.0			20.36906	0.00031620000000000004	0.0005158000000000001		0.062582	0.2611614		214.4756													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	12.5	38.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.34095634095635	0.0	24.610187110187113	10.161122661122661	10.992723492723494	4.677754677754678	1.5852390852390854	0.36382536382536385	0.3378378378378379	0.18191268191268192	0.12993762993762994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160638211256054	0.0	0.0169947458065501	0.0145935941870801	0.0302500426116302	0.0297083449345217	0.0209768707656787	0.00954177064593266	0.0155408692241893	0.0180289298564211	0.0249418692878661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1355844	50.2514894		11.989099999999999	1.617658	25.885720000000003						20.36076	36.59925	12.0			20.36304	0.000314	0.0005004		0.06279680000000001	0.34373439999999994		214.58769999999998													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	17.5	40.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.6019656019656	0.0	26.216216216216214	9.09090909090909	9.582309582309582	4.520884520884521	1.7936117936117935	0.6142506142506142	0.41769041769041765	0.17199017199017197	0.0	0.07371007371007371	0.04914004914004914	0.0	0.02457002457002457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169053171401899	0.0	0.0181038010239152	0.0130565334647487	0.026436074766106	0.0279089446488706	0.02363849952148	0.0151988572708653	0.018705732358061	0.0173497687783469	0.0	0.0240033513054598	0.0411658855522735	0.0	0.0778034293626307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132556	50.2443262		16.9	1.6268438	25.88829						20.351059999999997	36.59923	17.0			20.35425	0.000309	0.000468		0.06301160000000001	1.3623104000000001		214.34459999999999													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	22.5	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.83783783783784	0.0	29.2972972972973	9.594594594594595	10.486486486486486	3.972972972972973	1.5405405405405406	0.7027027027027027	0.2972972972972973	0.24324324324324326	0.13513513513513514	0.05405405405405406	0.05405405405405406	0.05405405405405406	0.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165569239798381	0.0	0.0202314642370351	0.0137799359945523	0.0290139379960757	0.0248668728422467	0.0197202388716644	0.0180432740522984	0.0150437171255423	0.0249796538091354	0.0284587416240494	0.0217710288487944	0.0354262524572241	0.0717299250872619	0.0	0.0	0.0	0.592820612881197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1321098	50.2451498		21.9012	1.6708383999999998	25.888980000000004						20.348660000000002	36.59930000000001	22.0			20.35279	0.0003114	0.0004836		0.062582	1.4039928000000002		214.0455													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	27.5	54.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.74601999259534	0.0	26.268048870788597	9.829692706405035	10.773787486116253	4.535357275083302	1.5920029618659755	0.7589781562384301	0.42576823398741204	0.259163272861903	0.11106997408367271	0.055534987041836355	0.09255831173639392	0.055534987041836355	0.0	0.0	0.0	0.0	0.018511662347278784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169337660799065	0.0	0.0181395944449482	0.0141175882946311	0.0298532096536328	0.0276933655442172	0.021525866137935	0.019442302445203	0.0192496623212302	0.0249563554236379	0.019132130596125	0.0236141053456669	0.0760373274023201	0.0861178154723355	0.0	0.0	0.0	0.0	0.931388428028061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1315386	50.23516540000001		26.9369	1.6708386000000002	25.8923						20.33614	36.599360000000004	27.0			20.34122	0.0003138	0.0005001999999999999		0.06141799999999999	0.9238558000000001		214.54339999999996													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	32.5	44.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.51801801801803	0.0	27.65765765765766	10.788288288288289	11.531531531531533	4.81981981981982	1.3288288288288288	0.6306306306306306	0.40540540540540543	0.3153153153153153	0.22522522522522523	0.0900900900900901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168887385427265	0.0	0.0190991990183573	0.0154943411769732	0.0315427876264927	0.0294343857669989	0.01688749660336	0.0164736670723282	0.0196469660448507	0.027853883327063	0.0423882700807216	0.0345743113428643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14721559999999997	50.2282692		31.842000000000002	1.7240189999999997	25.894960000000005						20.32657	36.59942	32.0			20.33261	0.0003138	0.0005002		0.06012920000000001	0.3250038		214.24210000000002													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	37.5	42.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.22833178005591	0.0	29.030754892823857	11.043802423112767	12.488350419384902	4.72972972972973	2.7260018639328982	0.8154706430568499	0.27958993476234856	0.16309412861137	0.11649580615097856	0.0	0.06989748369058714	0.046598322460391424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168315291353319	0.0	0.0200474014182353	0.0158613153506989	0.0338411013476627	0.0289652674174851	0.0355252861593284	0.0216655871749777	0.0136656545342216	0.014494078990528	0.0212823724094934	0.0	0.0603661645883731	0.0626244978762846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.150554	50.2145268		36.7462	1.7037137999999998	25.89927						20.31052	36.59942	37.0			20.31747	0.0003068	0.00045259999999999994		0.0583044	1.6071275999999997		214.0819													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	42.5	45.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.65823888404533	0.0	28.18221447253705	11.094158674803836	12.663469921534437	5.29642545771578	1.6129032258064515	0.8500435919790758	0.34873583260680036	0.06538796861377506	0.1089799476896251	0.043591979075850044	0.021795989537925022	0.0	0.021795989537925022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169164304092998	0.0	0.0194614355868992	0.0159336379400889	0.0351493576782891	0.032743459300444	0.0211653202578596	0.0214521379458553	0.0149649867535578	0.00603699721784324	0.0228562030483928	0.0131762273649913	0.0185823315218891	0.0	0.0869133974938824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1454344	50.2081086		41.695800000000006	1.6771236000000003	25.901959999999995						20.30113	36.59952	42.0			20.309009999999997	0.00030460000000000003	0.0004372		0.05710620000000001	0.06119260000000002		214.1148													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	47.5	39.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.1490275322051	0.0	29.653953018438997	11.846425865117453	13.892397069967162	4.571861581207375	2.172265723667593	0.8588027279616064	0.5304369790351098	0.3788835564536499	0.20207123010861328	0.07577671129072998	0.05051780752715332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178033049778081	0.0	0.0204777554697721	0.0170140581320128	0.0376927932164318	0.0287787296228828	0.0276248726748828	0.0217319853744269	0.0263704363028317	0.0332868238517224	0.0377790022473438	0.029364391626126	0.042817444226408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15070699999999998	50.20667439999999		46.70100000000001	1.7182176000000002	25.903519999999997						20.296290000000003	36.59995	47.0			20.30514	0.000307	0.0004528		0.0561944	1.2657554000000002		213.96529999999998													
tara_148_00_g	HDR20120225133632	2012-02-25 13:36:32	52.5	36.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.75510204081633	0.0	29.426365140650855	10.204081632653061	13.182570325427468	5.598455598455598	2.2338665195808054	0.9100937672366244	0.7722007722007722	0.24820739106453393	0.19305019305019305	0.05515719801434087	0.0827357970215113	0.0827357970215113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173305346464574	0.0	0.0203205929860273	0.0146552926645138	0.036491843322493	0.0339633230045019	0.0305534727053548	0.0222394435253073	0.0365869080787135	0.0240416587898995	0.0396104021898874	0.0203425557916859	0.0671423527212412	0.148236927918053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14721559999999997	50.21134300000001		51.724199999999996	1.6592356000000001	25.905079999999998						20.29554	36.60171999999999	52.0			20.30534	0.0003068	0.00045260000000000005		0.054889	1.4071586		213.5836													
