Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
unk2	HDR20210415083832	2021-04-15 08:38:32	2.5	50.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.78260869565216	0.0	43.873517786561266	32.43083003952569	13.992094861660078	10.849802371541502	8.537549407114625	3.8735177865612647	1.5612648221343872	0.6126482213438735	0.21739130434782608	0.0	0.0	0.019762845849802372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04025528406757101	0.0	0.028843628557364193	0.05291035254687658	0.047403753072275026	0.06803138632875429	0.10822548093498134	0.09819409702314263	0.07553114804591851	0.05900824621136516	0.038517836671154444	0.0	0.0	0.02746483310858528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	7.5	203.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.8108108108108	0.0	35.73955773955774	25.57248157248157	9.272727272727273	5.518427518427519	3.361179361179361	1.0466830466830468	0.3882063882063882	0.20147420147420148	0.03931203931203931	0.009828009828009828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036231126541358606	0.0	0.023496144832955073	0.040781233439313044	0.031036018904278054	0.03360541676487024	0.03996328539227209	0.025897538435355087	0.018706390564221752	0.01828323924125953	0.006744608031862853	0.004131212719993468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	12.5	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.3939393939394	0.0	35.20454545454545	24.28030303030303	9.280303030303031	5.848484848484849	3.196969696969697	0.8257575757575758	0.49242424242424243	0.15151515151515152	0.08333333333333333	0.030303030303030304	0.0	0.007575757575757576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0338094641708823	0.0	0.02314441339218951	0.0387108321526839	0.03110589310789872	0.03551916018796868	0.03804884501708513	0.020600464465245858	0.02380460469093703	0.014542286563093407	0.015037013872140891	0.0119141338199812	0.0	0.010292766463319426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	17.5	187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0855614973262	0.0	34.0	23.754010695187166	9.219251336898395	5.53475935828877	2.7112299465240643	0.8181818181818182	0.44385026737967914	0.12299465240641712	0.08021390374331551	0.0053475935828877	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03162292725184615	0.0	0.02235251286940962	0.037942259069633215	0.030968056305360484	0.03360986975351906	0.03239766545114989	0.0198134469736756	0.021576443899352905	0.011583221765145	0.015252375662715815	0.0021861261932622222	0.0	0.007996032440207183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	22.5	234.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.49423815620997	0.0	32.68459240290226	23.316261203585146	8.642765685019207	5.804524114383269	3.0174989329918906	0.8365343576611182	0.3585147247119078	0.11096884336320956	0.03841229193341869	0.0	0.004268032437046521	0.004268032437046521	0.0	0.0	0.0	0.004268032437046521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030649049684175554	0.0	0.021487728597567084	0.037232873459428426	0.02900023444467558	0.03488808840915577	0.036047434001101865	0.020435750958658388	0.016810210973389732	0.010359077385069432	0.006902189524243182	0.0	0.004105542651123588	0.005710967751939224	0.0	0.0	0.0	0.08152080692670412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	27.5	162.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.37100737100735	0.0	32.45085995085995	22.678132678132677	8.519656019656018	4.975429975429975	2.5859950859950858	0.7248157248157248	0.41769041769041765	0.12899262899262898	0.036855036855036855	0.012285012285012284	0.006142506142506142	0.0	0.006142506142506142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029138122625537395	0.0	0.02133406660808842	0.036094441671714224	0.02832045399876354	0.03013038192698873	0.030045694273412738	0.017927964342064735	0.0201520240034161	0.013128795209870538	0.0073483179242613255	0.004351262878459586	0.004338700483131162	0.0	0.01953099955785238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	32.5	113.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.25242718446603	0.0	33.18623124448367	23.759929390997353	8.737864077669903	5.701676963812886	2.65666372462489	0.8561341571050309	0.3265666372462489	0.088261253309797	0.0264783759929391	0.0	0.017652250661959402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029325082880839102	0.0	0.02181751944057426	0.03767312584622194	0.029071340698771236	0.034295694998932466	0.03148143167514517	0.020826640335440138	0.015037274562465083	0.00928837374299885	0.004868101180765233	0.0	0.011701428137934315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	37.5	81.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.43980343980343	0.0	32.53071253071253	22.186732186732186	8.427518427518427	5.773955773955773	2.628992628992629	0.7493857493857493	0.3071253071253071	0.1597051597051597	0.08599508599508598	0.07371007371007371	0.0	0.0	0.0	0.012285012285012284	0.012285012285012284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02936482774702029	0.0	0.021386563838053426	0.03548238135613856	0.028050230950215683	0.035077689755281694	0.032142500653427726	0.018368351366479976	0.01396894857078526	0.01711962299132027	0.014840150246799398	0.03125643587616263	0.0	0.0	0.0	0.10616399808897901	0.11619604627487683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	42.5	130.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.9159663865546	0.0	36.27196333078686	24.751718869365927	8.7012987012987	5.775401069518717	3.124522536287242	0.8556149732620321	0.5118411000763942	0.09167303284950343	0.06875477463712758	0.045836516424751714	0.03819709702062643	0.007639419404125286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03604131875685038	0.0	0.02384616256324021	0.03932432890259936	0.029160928839539732	0.03492687479374773	0.03688045264590436	0.020718787482816848	0.025527357420616723	0.00845915041873606	0.011816797038033407	0.018541645596118744	0.025542572120387352	0.008776457625813291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
unk2	HDR20210415083832	2021-04-15 08:38:32	47.5	82.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.22424242424242	0.0	37.68484848484849	27.345454545454544	10.012121212121212	6.533333333333333	3.6	0.6787878787878788	0.5696969696969697	0.14545454545454545	0.048484848484848485	0.0	0.0	0.012121212121212121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040136847541569855	0.0	0.024775031198215502	0.0433844637648158	0.0332198453139421	0.039443425499289066	0.04359317326019369	0.016943223204963546	0.026943154865248398	0.015280396768031612	0.008012451223377522	0.0	0.0	0.02120215711920783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
