profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
msm93_030_1	sn203_2020_msm93	30	anya waite(anya.waite@dal.ca)	HDR20200707060638	uvp5	xx	2020-07-07 06:06:38	79.27438	4.43425	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_030_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_030_1.tsv	uvp5_sn203_2020_msm93
msm93_031_1	sn203_2020_msm93	31	anya waite(anya.waite@dal.ca)	HDR20200707072755	uvp5	xx	2020-07-07 07:27:55	79.30035	4.56562	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_031_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_031_1.tsv	uvp5_sn203_2020_msm93
msm93_032_1	sn203_2020_msm93	32	anya waite(anya.waite@dal.ca)	HDR20200707084706	uvp5	xx	2020-07-07 08:47:06	79.32653	4.69832	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_032_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_032_1.tsv	uvp5_sn203_2020_msm93
msm93_033_1	sn203_2020_msm93	33	anya waite(anya.waite@dal.ca)	HDR20200707100613	uvp5	xx	2020-07-07 10:06:13	79.3526	4.8308	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_033_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_033_1.tsv	uvp5_sn203_2020_msm93
msm93_034_1	sn203_2020_msm93	34	anya waite(anya.waite@dal.ca)	HDR20200707113146	uvp5	xx	2020-07-07 11:31:46	79.37862	4.96277	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_034_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_034_1.tsv	uvp5_sn203_2020_msm93
msm93_035_1	sn203_2020_msm93	35	anya waite(anya.waite@dal.ca)	HDR20200707125010	uvp5	xx	2020-07-07 12:50:10	79.4047	5.09478	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_035_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_035_1.tsv	uvp5_sn203_2020_msm93
msm93_036_1	sn203_2020_msm93	36	anya waite(anya.waite@dal.ca)	HDR20200707163025	uvp5	xx	2020-07-07 16:30:25	79.43102	5.22965	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_036_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_036_1.tsv	uvp5_sn203_2020_msm93
msm93_037_1	sn203_2020_msm93	37	anya waite(anya.waite@dal.ca)	HDR20200707174703	uvp5	xx	2020-07-07 17:47:03	79.45715	5.36293	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_037_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_037_1.tsv	uvp5_sn203_2020_msm93
msm93_038_1	sn203_2020_msm93	38	anya waite(anya.waite@dal.ca)	HDR20200707190716	uvp5	xx	2020-07-07 19:07:16	79.48363	5.49468	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_038_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_038_1.tsv	uvp5_sn203_2020_msm93
msm93_052_2	sn203_2020_msm93	52	anya waite(anya.waite@dal.ca)	HDR20200709222401	uvp5	xx	2020-07-09 22:24:01	79.39503	3.50567	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_052_2.tsv	export_detailed_20240422_10_48_ZOO_msm93_052_2.tsv	uvp5_sn203_2020_msm93
msm93_058_3	sn203_2020_msm93	58	anya waite(anya.waite@dal.ca)	HDR20200710154529	uvp5	xx	2020-07-10 15:45:29	79.40962	3.57775	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_058_3.tsv	export_detailed_20240422_10_48_ZOO_msm93_058_3.tsv	uvp5_sn203_2020_msm93
msm93_059_1	sn203_2020_msm93	59	anya waite(anya.waite@dal.ca)	HDR20200710170408	uvp5	xx	2020-07-10 17:04:08	79.43342	3.70017	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_059_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_059_1.tsv	uvp5_sn203_2020_msm93
msm93_070_1	sn203_2020_msm93	70	anya waite(anya.waite@dal.ca)	HDR20200711165748	uvp5	xx	2020-07-11 16:57:48	79.43342	3.69915	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_070_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_070_1.tsv	uvp5_sn203_2020_msm93
msm93_088_3	sn203_2020_msm93	88	anya waite(anya.waite@dal.ca)	HDR20200713154408	uvp5	xx	2020-07-13 15:44:08	79.49982	3.63317	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_088_3.tsv	export_detailed_20240422_10_48_ZOO_msm93_088_3.tsv	uvp5_sn203_2020_msm93
msm93_096_1	sn203_2020_msm93	96	anya waite(anya.waite@dal.ca)	HDR20200714064038	uvp5	xx	2020-07-14 06:40:38	79.52533	3.78827	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_096_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_096_1.tsv	uvp5_sn203_2020_msm93
msm93_099_3	sn203_2020_msm93	99	anya waite(anya.waite@dal.ca)	HDR20200715102406	uvp5	xx	2020-07-15 10:24:06	79.49993	4.10088	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_099_3.tsv	export_detailed_20240422_10_48_ZOO_msm93_099_3.tsv	uvp5_sn203_2020_msm93
msm93_104_1	sn203_2020_msm93	104	anya waite(anya.waite@dal.ca)	HDR20200716052641	uvp5	xx	2020-07-16 05:26:41	79.48402	4.4327	0.0032	1.1641	0.092	export_detailed_20240422_10_48_PAR_msm93_104_1.tsv	export_detailed_20240422_10_48_ZOO_msm93_104_1.tsv	uvp5_sn203_2020_msm93
ps99_041_1	ps99_21_06_3	S3	Andreas Rogge, anya waite(andreas.rogge@awi.de, anya.waite@dal.ca)	HDR20160625040224	uvp5	xx	2016-06-25 04:02:24	78.61033	5.0635	0.0047621	1.1093	0.088	export_detailed_20240422_10_48_PAR_ps99_041_1.tsv	export_detailed_20240422_10_48_ZOO_ps99_041_1.tsv	uvp5_sn202_ps99_21_06_3_filtered
