profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
001	operex2008	1	lars stemmann(lars.stemmann@obs-vlfr.fr)	HDR20080731082538	uvp5	km0814_s1c1	2008-07-31 08:25:38	22.49817	-157.50033	0.016637	1.1241	0.174	export_detailed_20240422_11_14_PAR_001.tsv	export_detailed_20240422_11_14_ZOO_001.tsv	uvp5_sn000_operex2008
002	operex2008	2	lars stemmann(lars.stemmann@obs-vlfr.fr)	HDR20080731101749	uvp5	km0814_s1c2	2008-07-31 10:17:49	22.49817	-157.50033	0.016637	1.1241	0.174	export_detailed_20240422_11_14_PAR_002.tsv	export_detailed_20240422_11_14_ZOO_002.tsv	uvp5_sn000_operex2008
003	operex2008	3	lars stemmann(lars.stemmann@obs-vlfr.fr)	HDR20080731112748	uvp5	km0814_s1c3	2008-07-31 11:27:48	22.49817	-157.50033	0.016637	1.1241	0.174	export_detailed_20240422_11_14_PAR_003.tsv	export_detailed_20240422_11_14_ZOO_003.tsv	uvp5_sn000_operex2008
004	operex2008	4	lars stemmann(lars.stemmann@obs-vlfr.fr)	HDR20080731140149	uvp5	km0814_s1c4	2008-07-31 14:01:49	22.49817	-157.50033	0.016637	1.1241	0.174	export_detailed_20240422_11_14_PAR_004.tsv	export_detailed_20240422_11_14_ZOO_004.tsv	uvp5_sn000_operex2008
s23c1	sn222_hot322	23	angelicque white(aewhite@hawaii.edu)	HDR20200831080706	uvp5	s23c1	2020-08-31 08:07:06	22.98983	-158.48983	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s23c1.tsv	export_detailed_20240422_11_14_ZOO_s23c1.tsv	HOT 322
s2c10	sn222_hot335	2	angel white(aewhite@hawaii.edu)	HDR20220328180835	uvp5	s2c10.hex	2022-03-28 18:08:35	22.77845	-158.06685	0.0042	1.0945	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 335
s2c10	sn222_hot323	2	angelicque white(aewhite@hawaii.edu)	HDR20200928151519	uvp5	s2c10	2020-09-28 15:15:19	22.73422	-158.01042	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 323
s2c10	sn222_hot_326	2	a. white(aewhite@hawaii.edu)	HDR20210113180214	uvp5	s2c10.hex	2021-01-13 18:02:14	22.74767	-157.99183	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 326
s2c10	sn222_hot327	2	a. white(aewhite@hawaii.edu)	HDR20210217180427	uvp5	s2c10.hex	2021-02-17 18:04:27	22.75087	-158.00085	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 327
s2c10	sn222_hot321	Aloha	angel white(aewhite@hawaii.edu)	HDR20200809122055	uvp5	s2c10	2020-08-09 12:20:55	22.75567	-158.0	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 321
s2c10	sn222_hot322	2	angelicque white(aewhite@hawaii.edu)	HDR20200904061659	uvp5	s2c10	2020-09-04 06:16:59	22.74843	-157.91547	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 322
s2c10	sn222_hot325	2	angelicque white(aewhite@hawaii.edu)	HDR20201219181421	uvp5	s2c10.hex	2020-12-19 18:14:21	22.78393	-157.98486	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c10.tsv	export_detailed_20240422_11_14_ZOO_s2c10.tsv	HOT 325
s2c11	sn222_hot325	2	angelicque white(aewhite@hawaii.edu)	HDR20201219210647	uvp5	s2c11.hex	2020-12-19 21:06:47	22.775	-157.96467	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c11.tsv	export_detailed_20240422_11_14_ZOO_s2c11.tsv	HOT 325
s2c11	sn222_hot_326	2	a. white(aewhite@hawaii.edu)	HDR20210113210307	uvp5	s2c11.hex	2021-01-13 21:03:07	22.7425	-157.99133	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c11.tsv	export_detailed_20240422_11_14_ZOO_s2c11.tsv	HOT 326
s2c11	sn222_hot335	2	angel white(aewhite@hawaii.edu)	HDR20220328210929	uvp5	s2c11.hex	2022-03-28 21:09:29	22.77757	-158.06665	0.0042	1.0945	0.093	export_detailed_20240422_11_14_PAR_s2c11.tsv	export_detailed_20240422_11_14_ZOO_s2c11.tsv	HOT 335
s2c11	sn222_hot327	2	a. white(aewhite@hawaii.edu)	HDR20210217210551	uvp5	s2c11.hex	2021-02-17 21:05:51	22.7636	-158.0095	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c11.tsv	export_detailed_20240422_11_14_ZOO_s2c11.tsv	HOT 327
s2c11	sn222_hot322	2	angelicque white(aewhite@hawaii.edu)	HDR20200904090938	uvp5	s2c11	2020-09-04 09:09:38	22.74668	-157.9131	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c11.tsv	export_detailed_20240422_11_14_ZOO_s2c11.tsv	HOT 322
s2c11	sn222_hot321	Aloha	angel white(aewhite@hawaii.edu)	HDR20200809150923	uvp5	s2c11	2020-08-09 15:09:23	22.75	-158.0	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c11.tsv	export_detailed_20240422_11_14_ZOO_s2c11.tsv	HOT 321
s2c12	sn222_hot322	2	angelicque white(aewhite@hawaii.edu)	HDR20200904120903	uvp5	s2c12	2020-09-04 12:09:03	22.78205	-157.94618	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 322
s2c12	sn222_hot335	2	angel white(aewhite@hawaii.edu)	HDR20220329000658	uvp5	s2c12.hex	2022-03-29 00:06:58	22.83057	-158.01798	0.0042	1.0945	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 335
s2c12	sn222_hot327	2	a. white(aewhite@hawaii.edu)	HDR20210218000635	uvp5	s2c12.hex	2021-02-18 00:06:35	22.75783	-157.98167	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 327
s2c12	sn222_hot323	2	angelicque white(aewhite@hawaii.edu)	HDR20200928210810	uvp5	s2c12	2020-09-28 21:08:10	22.73197	-157.94385	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 323
s2c12	sn222_hot321	Aloha	angel white(aewhite@hawaii.edu)	HDR20200809181215	uvp5	s2c12	2020-08-09 18:12:15	22.75	-158.0	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 321
s2c12	sn222_hot325	2	angelicque white(aewhite@hawaii.edu)	HDR20201220005045	uvp5	s2c12.hex	2020-12-20 00:50:45	22.76667	-157.95767	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 325
s2c12	sn222_hot324	2	a. white(aewhite@hawaii.edu)	HDR20201120223452	uvp5	0002a012	2020-11-20 22:34:52	22.80485	-157.9463	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 324
s2c12	sn222_hot_326	2	a. white(aewhite@hawaii.edu)	HDR20210113235821	uvp5	s2c12.hex	2021-01-13 23:58:21	22.74067	-158.0075	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c12.tsv	export_detailed_20240422_11_14_ZOO_s2c12.tsv	HOT 326
s2c13	sn222_hot_326	2	a. white(aewhite@hawaii.edu)	HDR20210114030201	uvp5	s2c13.hex	2021-01-14 03:02:01	22.739	-158.01183	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c13.tsv	export_detailed_20240422_11_14_ZOO_s2c13.tsv	HOT 326
s2c13	sn222_hot335	2	angel white(aewhite@hawaii.edu)	HDR20220329025224	uvp5	s2c13.hex	2022-03-29 02:52:24	22.83163	-158.01665	0.0042	1.0945	0.093	export_detailed_20240422_11_14_PAR_s2c13.tsv	export_detailed_20240422_11_14_ZOO_s2c13.tsv	HOT 335
s2c13	sn222_hot321	Aloha	angel white(aewhite@hawaii.edu)	HDR20200809210219	uvp5	s2c13	2020-08-09 21:02:19	22.78503	-158.0182	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c13.tsv	export_detailed_20240422_11_14_ZOO_s2c13.tsv	HOT 321
s2c13	sn222_hot327	2	a. white(aewhite@hawaii.edu)	HDR20210218030318	uvp5	s2c13.hex	2021-02-18 03:03:18	22.7353	-157.9692	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c13.tsv	export_detailed_20240422_11_14_ZOO_s2c13.tsv	HOT 327
s2c13	sn222_hot323	2	angelicque white(aewhite@hawaii.edu)	HDR20200929000745	uvp5	s2c13	2020-09-29 00:07:45	22.7328	-157.94325	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c13.tsv	export_detailed_20240422_11_14_ZOO_s2c13.tsv	HOT 323
s2c13	sn222_hot322	2	angelicque white(aewhite@hawaii.edu)	HDR20200904153705	uvp5	s2c13	2020-09-04 15:37:05	22.77915	-157.92635	0.0026	1.2284	0.093	export_detailed_20240422_11_14_PAR_s2c13.tsv	export_detailed_20240422_11_14_ZOO_s2c13.tsv	HOT 322
