Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s2c10	HDR20201219181421	2020-12-19 18:14:21	42.5	129.7652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.084703757247706	6.611942184807638	7.066609537842195	2.620116949690672	2.5661733654323347	1.0095156482631709	0.7012665953583858	0.4392549003893186	0.23118678967858872	0.1618307527750121	0.09247471587143549	0.046237357935717746	0.030824905290478495	0.030824905290478495	0.015412452645239248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006110955833723261	0.00499225193038725	0.010513472684104325	0.008068616682979281	0.015060669924144945	0.012429254547446178	0.0172775451368182	0.0221233518826613	0.022503756412714453	0.032693352198271006	0.035965744225683854	0.03491064040644369	0.04751106625179091	0.09148460281581147	0.10161129421442686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	47.5	315.8436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.88493925474507	6.268925506168243	6.7723392210575115	2.646879658159925	2.320768886879456	1.196794869359392	0.8358567341557658	0.40526387110582585	0.25328991944114115	0.11714658774152778	0.0886514718043994	0.05699023187425675	0.025328991944114115	0.018996743958085587	0.006332247986028529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060395029089734585	0.00473326211646734	0.010094690379672202	0.008167499470866795	0.013893963827361395	0.014886615389330676	0.020310555706253747	0.020464319009662092	0.026746235007973122	0.02287483821649788	0.03488424918215481	0.04454522661643934	0.038019333276704925	0.057796862795817534	0.04068255314131965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	52.5	260.7546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28922672888609	6.8225066786933	7.259699349503326	3.00282334424781	2.55412560315331	1.092981677025065	0.7823447793442571	0.42952262395370977	0.19942121826422238	0.14189586684185054	0.05369032799421372	0.011505070284474369	0.019175117140790614	0.003835023428158123	0.003835023428158123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006541796589581533	0.005151235625599688	0.010821938087470994	0.009158400719143266	0.015243525557846239	0.013505181855423968	0.01965664563154628	0.021471917830811735	0.019366739018556012	0.026805783198668966	0.02138170293168794	0.009447817058377304	0.028067320195319868	0.015077213981748688	0.030831128708702357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	57.5	151.8008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.024932674926614	6.758857660829191	7.022360883473604	2.6218570653119087	2.549393679084695	1.3109285326559543	0.6982835400076942	0.46771822019383297	0.27667838377663356	0.13833919188831678	0.07246338622721356	0.05928822509499291	0.01976274169833097	0.013175161132220647	0.013175161132220647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00680494815525934	0.005103178349323217	0.010534475957010044	0.008031646716117237	0.01531811602596811	0.01597212036733421	0.01696443325662043	0.023412103391235957	0.027033885495603673	0.025535262927491954	0.025470264516642107	0.04086577027474207	0.033127161605550286	0.039791745768681004	0.07506726792009845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	62.5	175.0606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.581790534249283	7.003289146729761	7.551670678610721	3.1017830397016803	2.7818938127711204	1.1824476781183202	0.9939415265342402	0.40557384128696006	0.30275230405928005	0.21135538207912002	0.05712307623760001	0.04569846099008001	0.028561538118800005	0.017136922871280002	0.011424615247520002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007004128300981149	0.0052877328301743	0.011308932776355944	0.009598738409324193	0.016628340474093187	0.014594765921472205	0.024441344912972316	0.019784819461928456	0.03083972821250646	0.042354192839898504	0.022570320489132645	0.035990145621810896	0.04504335804690244	0.05370694202842505	0.06888975895656245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	67.5	113.8506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.25461438060054	7.562542489894652	7.764561627255368	3.205955875507024	2.5911150226700608	1.194547942654672	0.8344268717073077	0.5884905305725222	0.2722866633992267	0.13175161132220647	0.08783440754813765	0.05270064452888259	0.043917203774068825	0.026350322264441294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007244787832884596	0.005709989030236896	0.011697214652714796	0.009666112556132643	0.015600343521693434	0.014657408736488457	0.020726599410962138	0.030259081717347796	0.027332335220989785	0.026190326395217033	0.030672744591790525	0.03835429973714906	0.07024948373037274	0.07772103740446656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	72.5	119.9716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.48794548043037	7.818517049034939	8.051905617662847	2.9673689439834097	2.5339330308172934	1.191948761206819	0.7835187661079789	0.41676530112126536	0.2250532626054833	0.1333648963588049	0.10002367226910369	0.050011836134551846	0.025005918067275923	0.03334122408970123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006970561258365176	0.0059032589426590495	0.012053381802081606	0.009125501001169906	0.015242493086735337	0.014953962411608216	0.019299033093410026	0.020522627870519016	0.022719917383400158	0.027404901684188764	0.04361459420473697	0.044264053559286635	0.04205231481003832	0.11435947407025965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	77.5	162.8186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.968120349886316	7.603553893719759	8.144032684226495	2.9972005655373524	2.8006628235349034	1.302062540766227	0.8598526212607159	0.41150089731762834	0.2518139819406382	0.2333885686279086	0.05527623993818888	0.04913443550061233	0.04913443550061233	0.006141804437576542	0.006141804437576542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007499998782243527	0.005740954101344778	0.012098581742293895	0.00923633254437748	0.01688940795534663	0.01625711545999952	0.021459904792461904	0.020477790243182015	0.027105569878497056	0.04616641386589559	0.019115845398733608	0.038569375277457754	0.08676250824366143	0.01489008030756459	0.030314434997392788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	82.5	86.9182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.38698454408858	7.788932582589148	8.076559339701006	2.9452979928254384	3.00282334424781	1.4266287152748216	0.9664259038958469	0.5522433736547696	0.41418253024107726	0.218596335405013	0.1380608434136924	0.08053549199132058	0.0345152108534231	0.023010140568948737	0.011505070284474369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007292134759952909	0.005880921616409761	0.011952424429312719	0.009091318484554058	0.017931377291963736	0.017407316139031227	0.024002351518180764	0.02670355872776424	0.04189610452683852	0.04446648682399871	0.053635587733846135	0.06344810448484277	0.0604100486604395	0.06843738639529351	0.08379746937943403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s2c10	HDR20201219181421	2020-12-19 18:14:21	87.5	162.8186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.80117750674677	7.106067734276059	7.241187431902743	3.0647604143506944	2.561132450469418	1.1976518653274257	0.792292772447374	0.38693367956732216	0.25795578637821476	0.19653774200244933	0.09212706656364814	0.030709022187882712	0.006141804437576542	0.006141804437576542	0.024567217750306167	0.0	0.0	0.006141804437576542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007082599904497111	0.005365334325731753	0.010844186742800516	0.009424746503431508	0.015170236855257138	0.014671101702521996	0.019236476556507214	0.0197494636965516	0.026048126912992763	0.03949850656695143	0.035532512818365634	0.02494218458061661	0.013547231591106866	0.01689128070119826	0.14832053160763362	0.0	0.0	0.24945302143498407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
