Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s50c1b	HDR20220329211608	2022-03-29 21:16:08	42.5	55.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.627638911579446	10.637332316796456	3.830165731815789	3.0859155185245695	2.1419884187405835	0.8713173228775255	0.6716404363847592	0.29043910762584185	0.19967688649276624	0.0	0.054457332679845344	0.054457332679845344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010623908361905935	0.016889424839107173	0.01261819216695069	0.018780199506167747	0.02544203389167125	0.02081752126241092	0.03269593041904799	0.027571714044573422	0.03749847078245221	0.0	0.04571752615389498	0.07934872555679032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	47.5	126.0926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.70201106171179	11.864296556657568	4.266705579867494	3.1484797680434853	2.632985599472134	1.1182258118240087	0.6185930022856219	0.3330885396922579	0.2934351421098462	0.08723747468130565	0.06344543613185864	0.05551475661537632	0.00793067951648233	0.0	0.0	0.0	0.0	0.00793067951648233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010671427009134538	0.018142746910187833	0.014164744820525594	0.019005387700497665	0.032085854472490835	0.027479492362095622	0.02904633234374273	0.03191419540190953	0.05458364020105991	0.032088031995245486	0.05392813450523914	0.08561193781231756	0.02292368994403978	0.0	0.0	0.0	0.0	0.6939751855596535	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	52.5	139.5588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.774291553094468	11.651003018082701	4.019811004393847	3.03814592845453	2.2069550612358375	0.9100106908342578	0.5660696423299714	0.37260280254631023	0.21496315531517898	0.09315070063657756	0.05732350808404773	0.07165438510505967	0.0	0.007165438510505966	0.0	0.007165438510505966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010717609231450438	0.018082607998050833	0.0133006951397661	0.018437363349216043	0.02662369884173992	0.022891052834454265	0.02737604594698968	0.036290987545436366	0.039746994145723635	0.035774245627410765	0.05021709210310839	0.12548646926991253	0.0	0.035635144474685874	0.0	0.21636765779852973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	57.5	132.2136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.964971833457373	12.124320039693343	4.250697356399039	2.9195181131139303	2.480834044304065	1.2101629484410075	0.5975179557927475	0.3252312923935208	0.17396092383839482	0.12101629484410074	0.030254073711025186	0.04538111056653778	0.0075635184277562965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010839440709495546	0.018944718828451775	0.013871617094841485	0.017428796069438385	0.03021558297130882	0.028632081798188238	0.028975155565252122	0.03132835259189909	0.03401101330234969	0.0483070302417614	0.025485051698384005	0.07834684023585185	0.03199772717489053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	62.5	135.8862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.454107922658812	10.177633931922447	4.14317274307472	2.634557445862788	1.891288445773007	0.6991144060250415	0.5224960297660837	0.15454107922658814	0.07359099010789912	0.058872792086319285	0.007359099010789911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009874103428538799	0.015851026467997995	0.013695116101799278	0.015780152344185245	0.022464979803728715	0.01754967567154614	0.02527647293287582	0.01536936332538601	0.014295695735870884	0.020507615088162304	0.006006544393877989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	67.5	121.1958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.495586480719629	11.122497644307806	3.8945243977101516	3.275691071802818	2.335064416423671	0.8416133232339734	0.5363222157863556	0.2310311083387378	0.1155155541693689	0.016502222024195556	0.016502222024195556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009900605351160848	0.017506220719965254	0.012823153156813405	0.020033527726412762	0.02851049101333102	0.020416881284136313	0.02661118039016966	0.023611354144454796	0.021592566896626184	0.004876355505601228	0.015517349825508146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	72.5	121.1958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.686977601534046	9.959090991602018	3.9687843968190317	3.085915518524569	2.335064416423671	0.8086088791855823	0.5280711047742578	0.1155155541693689	0.13201777619356445	0.06600888809678222	0.024753333036293335	0.016502222024195556	0.0	0.0	0.008251111012097778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009383960343485789	0.015725438818913154	0.013061557450132821	0.01899772272400599	0.028231161711502615	0.019587261783647596	0.024900141165655587	0.0118802072965108	0.026816870842454127	0.02489247267854929	0.018386710273262285	0.026803541266714352	0.0	0.0	0.07845197571560633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	77.5	128.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.415633922250489	10.004589975183016	3.710878241183747	3.034051392162812	2.3961226379131952	0.8090803712434165	0.49011599411860807	0.225608949673645	0.09335542745116344	0.04667771372558172	0.007779618954263621	0.007779618954263621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00921059054644964	0.01566682244535013	0.01232718262097354	0.018541225069138717	0.029016297629504216	0.019975434778425966	0.02467540485980958	0.021180077013745736	0.018692548050064397	0.017497301550623495	0.004355831921054265	0.01042525730601041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	82.5	126.0926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.569392652701268	8.98545989217448	3.140549088527003	2.5774708428567576	2.061976674285406	0.7613452335823038	0.4599794119559752	0.11102951323075264	0.07930679516482331	0.05551475661537632	0.01586135903296466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008669901050631148	0.014117282957147008	0.010424644964415189	0.015758057866003913	0.02551232136177282	0.01831659956906564	0.022082152309909495	0.010609717668201903	0.015341359157435982	0.023382892974238748	0.009476599712836238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1b	HDR20220329211608	2022-03-29 21:16:08	87.5	134.662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.730673835231913	9.111701890659576	3.5570539573153526	2.6510819681870164	2.3243379721079442	0.8688419895738961	0.51981999376216	0.20792799750486401	0.059407999287104	0.08911199893065601	0.051981999376216004	0.059407999287104	0.037129999554440005	0.0	0.007425999910888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00877294854359253	0.014270659565935961	0.011593452406481908	0.01600934044971985	0.02821413147613493	0.021752263833634305	0.024879521770100235	0.020125980472352815	0.011727428573190373	0.03409551303590556	0.03794824886659207	0.09471430934085345	0.13246867492581516	0.0	0.08104912595275905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
