Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s50c1c	HDR20220329212532	2022-03-29 21:25:32	47.5	74.6762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.886236846545486	11.556560189190131	3.9503884771855025	3.079963897466663	2.3970153810718813	0.9641626113808685	0.5624281899721733	0.36156097926782566	0.18747606332405775	0.013391147380289839	0.0669557369014492	0.053564589521159355	0.053564589521159355	0.0	0.013391147380289839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010789134512068727	0.017684050986271967	0.01297349544176829	0.018570127864333957	0.028399951233399466	0.022896530666587624	0.02865569441129298	0.03463434832355614	0.03672049913695209	0.0050100033978984215	0.04624840443314909	0.089459529211655	0.16729337289693094	0.0	0.13676647219451749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	52.5	61.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.928769808854762	11.289005064531938	4.770462342754452	3.120405162555138	2.5322659696128085	1.0129063878451234	0.7515111909818657	0.22872079725535044	0.16337199803953603	0.06534879921581441	0.08168599901976802	0.08168599901976802	0.016337199803953602	0.016337199803953602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010177379462415346	0.01777453436888679	0.015752292790565052	0.01912677655095269	0.030604598813711817	0.025129044245642048	0.03582496076306793	0.0221278840507539	0.03315564936175658	0.026695811483987385	0.06328483360127554	0.10304054032464639	0.06385643085211269	0.10302881032085781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	57.5	121.1958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.220068682248066	12.046622077662757	4.744388831956223	2.9869021863793956	2.2525533063026937	1.122151097645298	0.858115545258169	0.3135422184597156	0.17327333125405334	0.14851999821776002	0.1155155541693689	0.024753333036293335	0.008251111012097778	0.016502222024195556	0.0	0.008251111012097778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011002429908345414	0.01874800891393508	0.015664722244099972	0.01791932905912249	0.027638272774918798	0.027914857202468706	0.042004062906563715	0.030342370772183047	0.03519385284788946	0.05700754706882291	0.10122192643618336	0.042833916296921404	0.034771871111242816	0.10036112497575124	0.0	0.20895050483040073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	62.5	119.9716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.94567714359065	11.10262762187051	4.567747700289068	3.1507456764767663	2.16717956583058	0.8085246841752548	0.6918303998613006	0.29173571078488575	0.07501775420182777	0.08335306022425308	0.050011836134551846	0.03334122408970123	0.008335306022425307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010827112740497332	0.017206263614829683	0.014968218341002664	0.018794054950441865	0.02584226338011777	0.0192442043379734	0.034551332745183884	0.028738865698154186	0.014887834190466733	0.0352759324066759	0.0402490720145825	0.051280321473889334	0.026485143406197027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	67.5	142.0072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.090733427600853	10.893813834791475	3.830791678168431	2.887177551560766	2.112568940166414	0.8098180937304587	0.5281422350416035	0.18308930814775587	0.11267034347554207	0.04929327527054966	0.014083792934442759	0.014083792934442759	0.007041896467221379	0.014083792934442759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010280862984800647	0.01719548884298035	0.0127694949542164	0.017327150869983602	0.025533531809974027	0.020434878333381586	0.025803712651420226	0.017216620884808298	0.022513126113016153	0.020686588709899298	0.011366896548394873	0.02313377942847474	0.018219175661835608	0.0825977525727974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	72.5	124.8684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.576398832691059	10.763331635545903	4.164384263752879	3.2674399607907207	2.5707064397397583	0.9289780280679499	0.4244468576517358	0.12012646914671767	0.04805058765868707	0.04004215638223922	0.03203372510579138	0.008008431276447845	0.008008431276447845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009952238840823453	0.016891402077022236	0.013913161108870215	0.019626136997228278	0.03206080980209886	0.022905826023689277	0.0201768782751538	0.010695275780918806	0.0092837760285662	0.015775703255471563	0.024960503527796628	0.014930069906079405	0.02126254108712781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	77.5	101.6086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.919996929393772	10.28456252718766	4.586225969061674	3.2674399607907207	2.293112984530837	0.9054351698576696	0.48224264481549795	0.1574669860622034	0.12794192617554026	0.059050119773326276	0.03936674651555085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009532843537239212	0.015984362589694046	0.015401807647289312	0.019783866104050463	0.028015799310915444	0.02222659663610378	0.02339987966022262	0.01633072196795847	0.024750908612916837	0.023935337905744525	0.03659964696722191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	82.5	146.904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.057452485977237	10.013342046506562	3.764363121494309	3.0836464629962426	2.3688939715732724	0.9325818221423515	0.5922234928933181	0.23825083047432338	0.09530033218972934	0.07487883243478735	0.013614333169961336	0.013614333169961336	0.013614333169961336	0.006807166584980668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009620668107206303	0.015810534237257107	0.012574684991563773	0.018642237231634	0.029266502703659332	0.023024765023859337	0.027760559276111766	0.023320470025396122	0.017932379755808702	0.02913189158105243	0.01027124822710166	0.02138795228791149	0.040928266585387583	0.05086526120671756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	87.5	124.8684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.471235316541256	9.249738124297261	3.6998952497189044	2.474605264422384	2.058166838047096	0.8008431276447845	0.5205480329691099	0.21622764446409182	0.10410960659382199	0.08809274404092629	0.0720758814880306	0.03203372510579138	0.008008431276447845	0.008008431276447845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009246115982194334	0.014384570058854665	0.01235231350898462	0.015006623156049958	0.025009214380522157	0.019779268857742272	0.025067269476519754	0.01974401168496651	0.020955803248832592	0.03743263798148891	0.0527102813734107	0.045498671577748895	0.01839776658696899	0.041089980787282925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1c	HDR20220329212532	2022-03-29 21:25:32	92.5	99.1602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.261368976666041	9.49977914526191	3.7515051401671236	2.5110881180150906	2.248886145852872	0.9076222113307556	0.4941498706134114	0.32271011958426865	0.09076222113307557	0.10084691237008396	0.08067752989606716	0.02016938247401679	0.03025407371102519	0.010084691237008395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008473095278933954	0.014641111948301297	0.012286721144576693	0.015209951810372149	0.027309964675952286	0.02289378013967196	0.02495880894699158	0.03134360033024678	0.018131285447495264	0.038081886029098413	0.059810002762240536	0.03536164514578685	0.08616424783130573	0.048756366849270594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
