Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s50c1d	HDR20220329213452	2022-03-29 21:34:52	47.5	35.5018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.745680500707005	9.267135750863336	3.689953748824003	2.4787475564619257	2.70408824341301	0.9858655054109932	0.4506813739021683	0.36617861629551174	0.19717310108219863	0.11267034347554207	0.1408379293444276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010060398089284134	0.014607653028524096	0.012138322614153986	0.015004620578629488	0.033440913695175954	0.02622810880699129	0.021587243926884058	0.035670952654500106	0.03370569647307161	0.04542162405666612	0.12024655794055432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	52.5	206.8898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.386067365331687	11.179864836255822	3.9827966385969726	2.9484295504176616	2.291074765406511	1.0633680345768617	0.7201901688725109	0.3286773925055754	0.20300662478285542	0.15467171412027078	0.08216934812639386	0.019333964265033848	0.004833491066258462	0.004833491066258462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011108491557065087	0.01759930700069528	0.013190586798694294	0.01777330088580122	0.027840100302621424	0.026342356500448548	0.035792763020549415	0.030995887947986408	0.039488592897778646	0.05566068353302331	0.05971926581525908	0.03291714301471895	0.015287683756474024	0.02847719082784528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	57.5	183.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.522354735065075	11.354353863747754	4.1169743505963075	2.6248434351685455	2.1456189075859067	0.8495343898055874	0.6970538583020204	0.35941839568697925	0.19604639764744322	0.13069759843162881	0.021782933071938137	0.016337199803953602	0.010891466535969068	0.005445733267984534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010556639073151509	0.017769948739661853	0.013643404984661033	0.015700656959378657	0.02565739303571967	0.02059305545630554	0.0341475101809763	0.037370652923039996	0.04057526046871453	0.052445826993450954	0.016351188661553735	0.019832915649207465	0.0319160547162974	0.03423897159004905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	62.5	110.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.229900706130081	10.77347564849607	4.002613951968633	3.094991740637877	2.0421499754942003	0.8531648786509104	0.49011599411860807	0.2995153297391494	0.11799088747299824	0.009076222113307558	0.027228666339922672	0.054457332679845344	0.018152444226615116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009730850562924758	0.01669765462555444	0.013159675442888957	0.01862825352602991	0.02557491000492075	0.020651244515127547	0.023735123386759177	0.02951303721230399	0.02378298151647322	0.003569791501164421	0.022144357494686937	0.09363335417896256	0.05664573328690469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	67.5	128.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.041574283691585	11.334904816362094	4.325468138570573	3.1040679627511847	2.240530258827923	1.0113504640542705	0.5679121836612443	0.21004971176511775	0.07001657058837259	0.054457332679845344	0.02333885686279086	0.031118475817054483	0.015559237908527241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010249453700366519	0.018021356830573713	0.01441476698342144	0.018873610830525356	0.027099134326432312	0.02473908443844851	0.02692152986357539	0.020078473966123847	0.012215286337005967	0.02357211275935886	0.01758419815194698	0.04892256551782562	0.05646161155715273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	72.5	137.1104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.053562676500105	10.480605409947021	3.9238453100567137	2.7787826452260367	2.1953112236562653	0.911674096202768	0.554297850491283	0.1677480337013093	0.08022732046584359	0.051053749387355005	0.014586785539244288	0.007293392769622144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009618182788656261	0.01642903694857466	0.01291671820298529	0.01691224499644192	0.0263815896370666	0.022339389284049094	0.027276443640073453	0.017494159009532165	0.01601690845434277	0.019273146055835876	0.011838103445218146	0.013167109694526802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	77.5	105.2812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.07391633074091	10.581186384653671	3.780352047659031	2.726032757985281	2.4885734585092116	1.0828144056108784	0.6743844105120382	0.2849511593712838	0.06648860385329955	0.05699023187425675	0.028495115937128376	0.018996743958085583	0.009498371979042792	0.009498371979042792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009631187362464613	0.01655522793487087	0.012406515100294613	0.01647232424842118	0.030592092412158618	0.026034293797121508	0.032321929252842004	0.028638233081162985	0.014284457648955381	0.020219534442475446	0.021642233647723604	0.025544099551995283	0.03474854844137897	0.04806688760521406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	82.5	139.5588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.481351229732558	9.659011112162043	3.6830353944000667	2.9020025967549166	1.9991573444311646	0.8956798138132458	0.5517387653089594	0.20063227829416705	0.07165438510505967	0.028661754042023865	0.028661754042023865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009252579349321374	0.015197392853880281	0.012123633347316273	0.017370201560513287	0.024072814237344867	0.022045418025819337	0.026186538187878212	0.020499290625750875	0.014428023690684702	0.013726756622504216	0.020873554307386275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	87.5	128.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.715468216366762	9.086594938579909	3.3530157692876204	2.380563400004668	1.7737531215721054	0.8168599901976802	0.5912510405240351	0.21004971176511775	0.10891466535969069	0.02333885686279086	0.031118475817054483	0.007779618954263621	0.0	0.007779618954263621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876323320744237	0.014309510522750998	0.011079410279277259	0.014349303204346594	0.021769008199515338	0.019926185268510196	0.0290485966195847	0.020803490322873687	0.020914464460745213	0.007763559624818967	0.022064282883666037	0.015532518062494553	0.0	0.03721105302212497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1d	HDR20220329213452	2022-03-29 21:34:52	92.5	101.6086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.26274153959409	8.660684233421188	3.1591814078729556	2.637572016541907	2.0765958786953074	0.856226736713231	0.6101845709910382	0.18699204594886654	0.09841686628887712	0.029525059886663138	0.0	0.03936674651555085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007835041587994761	0.013625736551142789	0.010537296792654074	0.016024897936565672	0.025438939117451615	0.02133282637065619	0.029530951475634407	0.0181130842525593	0.018968476470523105	0.013422135909031966	0.0	0.06437004556963374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
