Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s50c1e	HDR20220329214511	2022-03-29 21:45:11	12.5	18.363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.837009203289224	6.589337254261286	1.8515493111147416	1.579262647715515	1.0891466535969068	0.7079453248379894	0.5990306594782988	0.32674399607907206	0.21782933071938138	0.054457332679845344	0.49011599411860807	0.21782933071938138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006924097480412491	0.010194745209471001	0.006363197993334563	0.009864237204751818	0.012589180856482867	0.019778434744095696	0.029031134438362447	0.0315167912890089	0.03790338094311751	0.01968891711063523	0.3808806889126018	0.44076944374625154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	17.5	215.4592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.097607342828711	7.969026154371686	2.3809612214284654	1.6197962305624451	1.05820498730154	0.38058249543301004	0.35273499576718004	0.12067249855193002	0.14851999821776002	0.06033624927596501	0.11603124860762501	0.023206249721525	0.018564999777220002	0.0	0.004641249944305001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008368462949573456	0.012213297994418311	0.007876721703413378	0.009772935869742747	0.012747413444738483	0.009574452143343286	0.01669310081896367	0.01235218783702914	0.02805943551872707	0.025664761015569852	0.0870078677958717	0.029981296927883067	0.06341255824025925	0.0	0.051095888227987434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	22.5	184.8542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.908258508597587	7.9359841431787865	2.6507377165355184	1.5742136234935427	1.3253688582677592	0.6329312506829707	0.3786768166479312	0.19474807713322176	0.07032569452033008	0.03786768166479312	0.07032569452033008	0.03786768166479312	0.0	0.0	0.01081933761851232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008886412836770202	0.012233258167728661	0.008654696625019503	0.009528352744508844	0.016211499188347196	0.015279911856012851	0.018406563375478212	0.019383646636305284	0.01323033632404764	0.016058474088618005	0.048059835983257936	0.053370282105789854	0.0	0.0	0.1008399514367226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	27.5	184.8542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.821703807649488	8.796121483850516	2.6886053982003113	2.125999842037671	1.4497912408806508	0.5626055561626406	0.405725160694212	0.1731094018961971	0.09196436975735472	0.0811450321388424	0.04327735047404928	0.01622900642776848	0.00540966880925616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008831110384265992	0.013688310630368666	0.009024183149255287	0.01260954346205075	0.016956560357576415	0.0139851214456861	0.020627057046199007	0.016991033103397044	0.01746192171277271	0.0329921825542006	0.036490514737644	0.021736783390310068	0.012707388686099766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	32.5	265.6514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.194155197375206	10.016886792239754	3.696573780525907	2.7253761884936423	2.168255089188312	0.8206243219497431	0.6361720660986541	0.19198091935521513	0.090343962049513	0.09410829380157604	0.0451719810247565	0.030114654016504334	0.0075286635041260834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010346942324781004	0.015572304554817009	0.012232653711804722	0.01642641595276471	0.026526094057621873	0.020426716080095685	0.0297143366985875	0.019850608660472033	0.018879448995421173	0.03808713866658	0.03426379889796474	0.04617326669338598	0.017737035881900797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	37.5	246.0642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.698633120949737	11.220648920078581	3.690093886067132	2.8244661352606353	2.426196090288632	0.9347154116689872	0.7193244689800466	0.35356626441392125	0.12598338157277653	0.06502368081175564	0.01625592020293891	0.024383880304408363	0.004063980050734727	0.004063980050734727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011308199402683718	0.01740863964366565	0.01223140301680756	0.01698211000823649	0.029250167371872037	0.023275457693503553	0.03467257374219539	0.03588273254894242	0.02333411939855069	0.023217668019583335	0.0115076538652809	0.03940670089532355	0.009388550204702733	0.01999916585235307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	42.5	239.9432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.145961210819895	11.30684261941993	4.526071170176942	3.167416288521617	2.6547949681424603	1.2086193732516697	0.7876864191191916	0.3334122408970123	0.22922091561669597	0.14586785539244287	0.09168836624667838	0.0541794891457645	0.012502959033637961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011594011035938361	0.017710380863272195	0.014886003037819093	0.019268328933123125	0.031762179276018064	0.030007382630162234	0.03909561563270912	0.0333224167681326	0.0458294630063162	0.05485193417413012	0.07033817909431007	0.08241395229014296	0.03812700965175918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	47.5	276.6692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.682961457220394	11.511942782210669	4.301165435111678	3.234910138172229	2.580699261067007	1.1204716679702693	0.6903551244591014	0.33614150039108076	0.20240778518172606	0.0831317689139232	0.06867406997237134	0.025300973147715757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01193711695966075	0.01795512582706463	0.014190528294809716	0.019482182700180914	0.03137343413854484	0.027573081098939446	0.033739061840864774	0.034489790321980525	0.0402297328060796	0.03216146106791406	0.0572658903178255	0.039763636130723985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	52.5	153.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.454500898545987	12.507760169906877	4.378369547459565	2.9080215651037413	2.1303708544355495	1.0129063878451232	0.6796275118444698	0.2940695964711648	0.13069759843162881	0.1110929586668845	0.07188367913739585	0.026139519686325764	0.019604639764744324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011791146503327566	0.01941969751611139	0.01444105400331145	0.017840773349690524	0.026481723096338308	0.02535540454452363	0.033323031294234084	0.029274155526217358	0.027462371117392328	0.040819313090883616	0.05368208308439828	0.03764819254688837	0.0617542443186918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1e	HDR20220329214511	2022-03-29 21:45:11	57.5	106.5054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.811202061116152	12.797473179763657	4.826046378869053	3.4082778901351483	2.816758586888552	1.2112061923620774	0.8356383807769372	0.28167585868885525	0.17839471050294164	0.10328114818591358	0.05633517173777104	0.06572436702739955	0.018778390579257016	0.0	0.0	0.0	0.009389195289628508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012657984477274611	0.020124152762145766	0.01619708060585723	0.020709093542189697	0.034345943075769346	0.030225974985977212	0.039523921302763096	0.028613921939934454	0.035391470746245476	0.040372641719167414	0.04489432915269817	0.09646509396499583	0.06335585690091236	0.0	0.0	0.0	0.3830443893413751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
