Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	42.5	83.2456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.046157394504935	8.985459892174482	10.030560173750926	4.504742593001913	4.540780533745928	2.726870849630491	2.2343523261289486	1.4655429235899555	1.0451002815764436	0.6606955803069472	0.43245528892818363	0.360379407440153	0.12012646914671767	0.06006323457335883	0.0720758814880306	0.0360379407440153	0.024025293829343534	0.012012646914671767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007527911524532452	0.00678434236693652	0.015320917983353536	0.01400460973580255	0.027224249873857957	0.03490142806962773	0.05609864502233016	0.07336572670488185	0.10785603154532822	0.12744554259078222	0.1701556259877568	0.2961188892673666	0.1806219191338577	0.14941355237266774	0.42230748593927336	0.4616569426272655	0.6682441823930683	0.523359275611171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	47.5	301.1532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.687922293370946	10.622500441635685	11.74153221682519	5.535388632762328	5.5652737543549256	3.340492480239293	2.3675657439469346	1.4743326652348372	0.8832713715145646	0.5346116196009206	0.3851860116379304	0.2656455252675382	0.13946390076545756	0.06973195038272878	0.053129105053507646	0.019923414395065366	0.006641138131688456	0.006641138131688456	0.003320569065844228	0.003320569065844228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009188204889318702	0.00802036630888024	0.01801126967349461	0.016939181309614987	0.03345021319740059	0.04192080690493511	0.05911783689035544	0.07430165015899726	0.08607280842671611	0.10789502945382963	0.14905674603048663	0.20416430952091666	0.21033050010749685	0.22925922798502646	0.3400904135356186	0.24747564584967413	0.15099074406119145	0.3160732857578495	0.3916096238149724	0.4921878427583283	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	52.5	194.6478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.64964926395264	10.511292704053167	11.436039862767522	5.3224336468226205	5.3275711310377005	2.9386409710256167	2.399205128442243	1.5052828750183667	0.9658470324349929	0.534298358368294	0.4058612529913002	0.24659924232382796	0.12843710537699374	0.09761220008651524	0.030824905290478495	0.025687421075398748	0.010274968430159499	0.015412452645239248	0.0	0.0	0.0051374842150797495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008816829376095086	0.007936400504718194	0.017335562568072095	0.01647864668991955	0.032317754880369344	0.0372690380480618	0.06062493579847715	0.07662221178736402	0.09713739770716258	0.1070844924737047	0.1633886772156165	0.19378870939291903	0.21412581175268372	0.31043204781679035	0.17343396012064327	0.3534071648731679	0.3357208889931502	0.898616077652501	0.0	0.0	2.3547037366689008	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	57.5	170.1638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.423526037852938	10.625056563146803	11.347889504113095	5.0363238244562005	5.300774900419478	3.2556865796367966	2.4623333517469637	1.5984598369335898	1.0871877567379196	0.5289021519265554	0.323217981732895	0.1527939550010049	0.129287192693158	0.07052028692354073	0.05289021519265554	0.023506762307846908	0.0	0.017630071730885183	0.005876690576961727	0.0	0.005876690576961727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008735948310358838	0.00802229627169472	0.017268487378406538	0.015577651769526073	0.032498788882674344	0.040766680903497755	0.061317567102832586	0.08177276753691573	0.10695621834327458	0.10219374383696526	0.12588466598102138	0.1113504057306743	0.20515604675166452	0.23261089284900993	0.35456403759063376	0.2654711901984831	0.0	0.7660321725164989	0.6744384926287412	0.0	1.7257611975271823	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	62.5	130.9894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.460318163149083	12.153655181258943	13.970596094035091	7.046371691144475	6.863150758763687	3.8476395799965495	3.2216347276955237	2.0459670782521338	1.213838677022721	0.6412732633327582	0.44278391992023786	0.2977340151187806	0.13741569928559105	0.06870784964279553	0.06870784964279553	0.0	0.00763420551586617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010179851508103287	0.009176442691727222	0.021388950313280624	0.021906411750743707	0.041830028193985104	0.04802268918469566	0.0797125019102822	0.10190096580313707	0.12357441521715277	0.1263212416753708	0.1772654667617364	0.22649709702255405	0.224211937323638	0.24083965174781077	0.3730099601761888	0.0	0.2092265501652202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	67.5	116.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.164429616763684	9.44118178144266	10.31823145512859	4.823773205272616	4.5142262616187585	2.6827401783334337	2.003456607537468	1.2897789318910737	0.5245100989690367	0.5331086251816438	0.22356168152778613	0.1461749456143217	0.06878820970085726	0.025795578637821476	0.025795578637821476	0.008598526212607158	0.008598526212607158	0.008598526212607158	0.008598526212607158	0.008598526212607158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008285587406886258	0.007128428630522774	0.015520094986792247	0.01488304785636146	0.027501095562232594	0.03362370349237866	0.04976780761077559	0.06503064175070207	0.052801844559684404	0.10377987040187224	0.08813174923705405	0.10981771139257342	0.09846534689196523	0.08682700817594963	0.16544117300967834	0.13898197032002424	0.2569382677105011	0.4432262365136264	1.2163393899301216	1.4330862858889002	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	72.5	130.9894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.253709078749885	9.26792549626153	9.580927922412043	4.0461289234090705	4.038494717893204	2.2215538051170554	1.5497437197208326	0.8397626067452787	0.4809549474995687	0.2595629875394498	0.21375775444425277	0.12214728825385872	0.03053682206346468	0.03817102757933085	0.01526841103173234	0.00763420551586617	0.00763420551586617	0.0	0.00763420551586617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007959835607865097	0.006997613962158825	0.0144476730239307	0.012430442271832627	0.024382920621524373	0.027562901889155608	0.038581719474003726	0.04356837317139822	0.04815577878272708	0.050042437848804376	0.0818430483201279	0.09175605908678411	0.05780708480437814	0.1348339701054004	0.11455664866465018	0.06869231822777583	0.15781717076814009	0.0	0.5680591377689859	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	77.5	105.2812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.61146719452286	7.7601699068779615	9.032951752069696	3.8563390234913735	3.6758699558895604	1.8806776518504729	1.3202737050869482	0.683882782491081	0.5129120868683108	0.2469576714551126	0.1329772077065991	0.04749185989521396	0.009498371979042792	0.018996743958085583	0.018996743958085583	0.018996743958085583	0.009498371979042792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073724290150791695	0.005859204771445177	0.013571063713204646	0.011853877435862347	0.022334661914840966	0.02327358622411282	0.033062008512924436	0.03237528298245111	0.05102678637911271	0.04831991636826796	0.05161266975583598	0.03192841286921218	0.017533957693896634	0.0527240318266007	0.13356581999258643	0.19966297786145268	0.20204425716868352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	82.5	143.2314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.49131684812129	8.489758530601529	8.831862287180046	3.5187814962361603	3.8120132875891737	1.9688420276559468	1.2217991306375557	0.7260977690646045	0.4538111056653778	0.2792683727171556	0.09774393045100445	0.09076222113307557	0.06283538386136	0.02094512795378667	0.01396341863585778	0.01396341863585778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007329452942991582	0.006410070177307542	0.013329725197430899	0.010864026074276284	0.02328295587420139	0.024046002865582422	0.02949213195784871	0.03661216091035942	0.043237361226366275	0.05516332570972733	0.03685814657963449	0.07276478323386006	0.11168952291367214	0.06212749691456857	0.10473973218799083	0.21077653929489204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_5	HDR20200929223732	2020-09-29 22:37:32	87.5	104.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.39266940234679	7.870686258492941	8.754817071412782	3.5941839568697924	2.863815024457749	1.6241098628636228	0.9706218707054787	0.5477766993090325	0.24025293829343533	0.1537618805077986	0.09610117531737412	0.028830352595212237	0.019220235063474825	0.019220235063474825	0.028830352595212237	0.0	0.009610117531737412	0.009610117531737412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072941681529944576	0.005942648554567925	0.013149806705452767	0.011254599868675505	0.017125373757258974	0.020247294352407037	0.02398618067735664	0.02723451031673975	0.021479088914304955	0.03260465405371351	0.037981585934788786	0.01886186326598531	0.04239739828712061	0.06818146854883876	0.17636530616799215	0.0	0.32669279809893326	0.45003760300795614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
