Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	47.5	63.6584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.054830155957422	7.178942606160381	7.901549520566021	2.5605418923504204	2.8118834277958604	1.3666695989845803	0.6597715305442801	0.53410076282156	0.25134153544544	0.18850615158408002	0.10996192175738001	0.047126537896020004	0.12567076772272	0.06283538386136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068156420595092936	0.005420357450506974	0.01165342620418164	0.007926007797018532	0.016725746579707258	0.01720112614609631	0.016026196976679803	0.028284441795388696	0.025049544220698154	0.03809150319595734	0.0417264507159663	0.03919093337866116	0.2230289360137022	0.22275406008345608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	52.5	171.388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.02961700935888	8.827922608350642	8.792914323056456	3.459985529908745	3.1507456764767663	1.4178355544145447	0.9277195602959367	0.5484631362755852	0.32674399607907206	0.20421499754942002	0.10502485588255887	0.10502485588255887	0.04667771372558172	0.017504142647093143	0.01166942843139543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008237366852325553	0.006665396104659062	0.013042604050618902	0.010713812924603107	0.018868062942095105	0.01745675658765081	0.022871757297308958	0.02767811990367689	0.03271422499826233	0.04097374339499231	0.03798629272934764	0.07965615998174859	0.06685577336979587	0.06736121679266883	0.07331780014708202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	57.5	143.2314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.90537270458852	8.30125237901745	8.405978018786383	3.5467083335078757	2.8834459483046313	1.4801223754009245	0.8238416995156089	0.44682939634744895	0.34908546589644446	0.16057931431236447	0.07679880249721778	0.1396341863585778	0.09774393045100445	0.06283538386136	0.03490854658964445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008550612223783024	0.00626774131646272	0.012482740485383979	0.011057649245649222	0.01744457672960582	0.018292101376275346	0.020667081038154362	0.023093137478721312	0.03587246439134782	0.030522092673067578	0.030904885937350152	0.10989400409803893	0.17099086951483916	0.20246554344131645	0.18288374117175774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	62.5	156.6976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.336015356967817	8.162218183303382	8.934406142787127	3.0951335566083973	2.9994077765071068	1.3337792027446496	0.8551503022381964	0.46586546315961447	0.35099452703806566	0.20421499754942005	0.19783327887600066	0.10210749877471002	0.03829031204051626	0.03190859336709688	0.0063817186734193765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007989275394365027	0.006162765544965773	0.013289427665856664	0.00950554515109122	0.017985425055134223	0.01675473302829845	0.02144440188520262	0.023477256122916335	0.03582722090381674	0.03938581288206457	0.07470698021999903	0.08407418245488045	0.0649878256277432	0.11214848967826324	0.031993609793037975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	67.5	117.5232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.06333387790666	7.938858029733703	8.602556771769319	3.488672874802592	3.139805587322333	1.4635408157708436	0.8764226978162609	0.41693895333006586	0.2467597887055492	0.33184937101780754	0.09359854054348418	0.05956270761858084	0.017017916462451668	0.04254479115612917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008607112691529254	0.005994120670787664	0.012812359822385818	0.010741542633614312	0.01884604370605225	0.01809734155870445	0.02188519095861782	0.021218046680616897	0.024450016451007393	0.06740438463143628	0.034440378169157355	0.05179944318122266	0.033446180928412964	0.15346930507800047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	72.5	261.9788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.81482318416605	8.420528684000386	8.756433726698496	3.458295098687375	3.1262071587471967	1.5192068976573678	0.942824381209472	0.5496627971423642	0.30918532339257987	0.20612354892838658	0.09161046619039404	0.05725654136899627	0.049622335853130105	0.05725654136899627	0.00763420551586617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008160538152351578	0.006357799176491914	0.01300644203201597	0.010702783986230613	0.018845901304184322	0.018981522618380056	0.023439118963040868	0.02758545282596221	0.03120712032166372	0.03981683452649654	0.03262393722866612	0.042195160148107855	0.07911292609975662	0.18499484562655738	0.04084894217360002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	77.5	275.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.20770026684093	8.313819455789723	9.134309934832725	3.5869229791791466	3.03871916353537	1.3505418504601645	0.962079544010601	0.482855016427962	0.2396122637913195	0.10165368766904465	0.058087821525168365	0.03993537729855325	0.029043910762584182	0.014521955381292091	0.003630488845323023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007943378909432827	0.00627722990718571	0.013712439575123641	0.011021225964876957	0.01812715951750984	0.01683980225365995	0.023604453904944065	0.024501185442002554	0.023338365714999573	0.020382007549176212	0.02155615760846299	0.030061312947357807	0.04881127448599802	0.04517099614547391	0.02599748167915902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	82.5	238.719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.59311156631856	11.389960581269191	12.269655955328231	4.754544045509574	4.046598720671585	1.6504760827583895	0.8629392716960108	0.4440367126202774	0.22620738190089604	0.09215856299666135	0.050268307089088006	0.04189025590757334	0.025134153544544003	0.004189025590757334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009869664027697218	0.008599826058601585	0.018309319629149112	0.014585554336703463	0.024021292870929453	0.020368249042026606	0.021268477767972152	0.02308662765472463	0.021371372526970352	0.01901083319089275	0.01968278238588637	0.031061657902710604	0.033695716645189326	0.015985933659499418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	87.5	172.6122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.130533067766937	8.927526559536348	9.425753220224294	3.504966624607067	2.7344533005198937	1.0485933207502134	0.7009933249214134	0.3070466629821067	0.12165999854008001	0.05793333263813334	0.02896666631906667	0.0	0.0	0.005793333263813334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007915777298538448	0.006740600636653242	0.01398935791892218	0.010857007080778322	0.016371505079552914	0.013028834230966919	0.017543556757256693	0.014398902444442876	0.012221173837951583	0.011191619366914521	0.011177564407774523	0.0	0.0	0.015818864079714196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo2?	HDR20201220190930	2020-12-20 19:09:30	92.5	237.4948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.729050067622534	10.85076389040939	11.798153054298453	4.113774280531616	3.090593983531429	1.0821289560866174	0.6442246314445622	0.20632030680250685	0.096844225641993	0.06315927759260413	0.021053092530868043	0.008421237012347219	0.004210618506173609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010275973092807556	0.008192713345639837	0.017437482488558052	0.01267939750072223	0.018257262790415424	0.013150751698497061	0.01574238528936186	0.010022071276456598	0.009551193412960693	0.01180420534846927	0.008331656318739061	0.006797295098352704	0.008122246665032048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
