Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	47.5	123.6442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.25407904293125	29.98118795705743	32.10825902064148	16.078392678346418	17.226849298228302	10.554478091168045	7.198073180949855	4.068124505637951	2.4424922479178157	1.3668251321129499	1.0433162251039676	0.6631932593684136	0.38821068841077866	0.1860176215301648	0.04852633605134733	0.04043861337612278	0.04043861337612278	0.01617544535044911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022625085504933792	0.022636865125322845	0.04915818932693055	0.04983491450947891	0.10478286762670816	0.1311964508819015	0.18042656875650745	0.2075525751919406	0.24461965044095194	0.2752509057540656	0.4120902164187253	0.5119157716517074	0.6171312656170233	0.5864648304876402	0.36273016457588825	0.5062896470755561	0.8478098086705574	0.6690126104237375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	52.5	224.0286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.11617534546929	32.74581906060208	35.267818483890004	17.761125142057754	18.636013437570025	11.904730021077665	9.172935955498538	5.436805836397674	3.28083110817101	2.147047296639804	1.1873484010523656	0.7722228322633806	0.4195892845824149	0.17408491594376788	0.11605661062917859	0.05356458952115935	0.013391147380289837	0.008927431586859892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024721874077146846	0.024724260111200352	0.054513416075724005	0.05487852935955401	0.1139695338216207	0.14876398496785967	0.22935649947877818	0.27539289229471187	0.32552339777683426	0.42983432777027764	0.4609360511257136	0.6240070284600566	0.6557317498171203	0.547835192756945	0.7352668913404614	0.662589962690455	0.3139842459298603	0.40370313158169857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	57.5	137.1104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.38611804793801	35.124979578500245	38.02045650804023	18.590858169766847	20.363152612785026	13.201040913016081	10.225336663010246	5.900354750624315	3.646696384811072	2.2974187224309754	1.4659719466940508	0.9700212383597452	0.5470044577216608	0.3719630312507293	0.17504142647093146	0.08022732046584359	0.07293392769622144	0.014586785539244288	0.014586785539244288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026249171924277843	0.02652061107075185	0.058405995500016544	0.05737628549026716	0.1238544237377114	0.16665974622209256	0.2554070148413398	0.2962344704397723	0.36549887501754136	0.4476153317349782	0.5794601299454641	0.7514165467283207	0.8348778460889309	1.1996168604350461	1.0834980234811769	0.9917413447348433	1.8230532881219046	0.8174580213543126	1.108748503278054	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	62.5	122.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.08707727495508	37.55105374938736	38.9070413331155	19.98856396013723	21.074987747100145	13.951968632576376	10.790720470511355	6.322496324130044	3.9617709524587483	2.6956379676523445	1.3396503839241953	1.0537493873550072	0.6126449926482601	0.46561019441267765	0.25322659696128086	0.11436039862767522	0.04084299950988401	0.008168599901976801	0.024505799705930403	0.008168599901976801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02757295246505061	0.028352383509824712	0.05949996371278924	0.061532857096808335	0.12860446065578207	0.17594400774258798	0.27006935887494066	0.32126467789896235	0.4003256609770304	0.5312424209240545	0.5221780980059123	0.8193801773590731	0.9586208396002965	1.3572051646645429	1.576236437766383	1.2950403671985475	0.9104479483078698	0.5648781868155384	2.334136896965255	2.0792900291868457	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	67.5	127.3168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.824802382717756	19.54180438088296	21.364030512862403	10.878375830997951	12.025121586467773	8.45921355233559	6.236411848239981	4.233533987659131	2.7333391979691606	1.6415744033780302	1.0210749877471001	0.7697334523016601	0.4948286479082101	0.30632249632413006	0.15708845965340001	0.09425307579204001	0.10210749877471001	0.06283538386136	0.03141769193068	0.0	0.0	0.00785442298267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014960137661536269	0.014754758574246558	0.03269551218816757	0.03352468392618645	0.07364367099830778	0.10637250996856375	0.15638088644934567	0.2112010467353506	0.2748247655415334	0.3290591147667162	0.400745581041062	0.5769116728403324	0.7934893349953298	0.9920341361937154	1.0626938548192215	1.2060422181753545	2.5710437784986393	3.3984596210871327	3.021776121379917	0.0	0.0	5.9356274133000335	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	72.5	127.3168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.662498586203863	9.150402774810551	10.16362333957498	5.293881090319581	5.309589936284921	3.2910032297387306	2.5762507383157605	1.5473213275859903	1.0996192175738002	0.7932967212496701	0.5183919168562201	0.36130345720282003	0.29846807334146	0.15708845965340001	0.19636057456675002	0.039272114913350004	0.08639865280937001	0.01570884596534	0.03141769193068	0.00785442298267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007748368013242636	0.006908880120175739	0.015631486875256968	0.016494615006796987	0.032438231271505726	0.040530006400312776	0.06359708178660187	0.08043897434419925	0.11091538768500513	0.15938043564610535	0.20624744322359134	0.28122217935480015	0.47611987407586387	0.5146162617042058	1.2118350754169718	0.5344549479229053	2.2210745634722047	0.8207631694905653	2.6992643515211867	1.4701769193790757	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	77.5	111.4022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.29943932884629	7.917258366531361	8.141670451750505	3.734217098046538	4.165088301667292	2.6121566719508236	1.8760850324320346	1.2028487767746059	0.7450481229275544	0.5026830708908802	0.4488241704382858	0.23338856862790863	0.18850615158408005	0.20645911840161146	0.0538589004525943	0.07181186727012573	0.017952966817531432	0.035905933635062864	0.0	0.008976483408765716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006903135285806139	0.005977812155482529	0.012347997953230926	0.011493555700942567	0.02568528525942262	0.03262799444146704	0.04816466493294799	0.06182669807168382	0.07727400328260647	0.10157784102041582	0.17465418164132673	0.18315732840189672	0.30789682388429523	0.6062454330279607	0.3484595037694348	0.8618165834516697	0.48070490485494966	1.7954056488857333	0.0	2.3984662129073904	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	82.5	134.662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.740713787111435	6.475471922294337	6.675973919888313	2.8144539662265524	3.0075299639096404	1.2549939849400722	1.1584559860985282	0.7128959914452481	0.378725995455288	0.24505799705930403	0.17822399786131202	0.118815998574208	0.044555999465328004	0.044555999465328004	0.014851999821776	0.029703999643552	0.014851999821776	0.007425999910888	0.0	0.0	0.007425999910888	0.007425999910888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006345601302321222	0.004889212019808797	0.01009050039223348	0.008645354201163634	0.018322962808488573	0.015722094075181277	0.028946018834469345	0.03617798616999897	0.03689530171181308	0.048498044316365486	0.07015417732569292	0.10478435429019199	0.0660741599749579	0.12601599567487365	0.09899196360536518	0.388943120012343	0.3797678695049131	0.4216828046822796	0.0	0.0	3.119109024164522	4.6856033258370475	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	87.5	117.5232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.73266895387464	6.517862005118989	6.662514295049828	2.773920383379622	2.6462860099112344	1.42950498284594	1.191254152371617	0.6211539508794859	0.5105374938735501	0.2212329140118717	0.16167020639329086	0.15316124816206503	0.07658062408103251	0.05956270761858084	0.04254479115612917	0.034035832924903336	0.0	0.017017916462451668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00634272377975494	0.00492121804268312	0.010045980805228547	0.008450267475422308	0.01589799479779168	0.018150259820715064	0.02980420325120543	0.031067182581423852	0.0507620448258284	0.044025996406239255	0.06403423560432997	0.11926465294942966	0.12486640419743734	0.1657621409635584	0.340172655625536	0.4807755123258702	0.0	0.9954770454077212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s52c1_yoyo4	HDR20200810202905	2020-08-10 20:29:05	92.5	127.3168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.868812285574254	6.7548037650962005	6.880474532818921	2.9768263104319304	3.0632249632413004	1.6887009412740501	1.2409988312618603	0.7540246063363201	0.41628441808151007	0.25134153544544	0.29846807334146	0.09425307579204001	0.10210749877471001	0.07068980684403	0.039272114913350004	0.054980960878690005	0.054980960878690005	0.0	0.0	0.0	0.00785442298267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006391420315492021	0.005100117513606126	0.010276911185778255	0.00926289881599549	0.018296058736260994	0.02156218174397107	0.030944843835347784	0.03755780294780696	0.04196247467117004	0.05388049759457612	0.12013299933583774	0.07296848055147925	0.17107379242004492	0.22816463195846926	0.24236787403253	0.638095842573546	1.3365993025292193	0.0	0.0	0.0	2.404486957871195	0.0	0.0	0.0	0.0	0.0																																					
