Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	2.5	42.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.952877101586552	10.940089983424107	6.36987923277291	4.309732417712527	2.5100639355908125	1.326071513142316	0.663035756571158	0.331517878285579	0.14207909069381958	0.023679848448969927	0.047359696897939854	0.023679848448969927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0672859358625519	0.147124676382218	0.183764729208487	0.224278133057587	0.260703123246093	0.268100277240031	0.265964278503909	0.252403767453483	0.220790524291954	0.0657974055315896	0.246743587057387	0.28745267768007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095184	54.913187		3.901	1.073318	23.0667						26.44725	35.23035	4.0			26.4481	0.000354	0.000793		0.04752	-0.810208		194.028													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	7.5	43.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.095700416088766	8.737864077669903	3.0282015718908926	1.756819232547388	1.664355062413315	0.6241331484049931	0.41608876560332875	0.23116042533518263	0.04623208506703653	0.04623208506703653	0.023116042533518264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0576385138754688	0.115024369054014	0.0846852955356121	0.089280812706168	0.164433495087798	0.123595617262408	0.165291986727071	0.166063683314463	0.0824439858432235	0.131254038533565	0.111310330842983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10080300000000002	54.71768139999999		6.869400000000001	1.3528678	23.124029999999998						26.264519999999997	35.23065	7.0			26.266040000000004	0.00037219999999999994	0.0009202		0.056204	-1.1074028		195.57139999999998													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	12.5	57.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.003467406380027	6.778779472954231	2.3578363384188625	1.7163661581137308	0.8495145631067961	0.3814147018030513	0.27739251040221913	0.08668515950069348	0.06934812760055478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0519647226658524	0.0875852699087264	0.0665367136782772	0.0891769244986858	0.0845024908924283	0.0743302428625424	0.114690870209935	0.0697015735846706	0.0976296211765811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05418540000000001	54.63081359999999		11.9815	1.341159	23.148719999999997						26.181280000000005	35.228120000000004	12.0			26.183999999999997	0.0003444	0.0007306		0.060150800000000004	-1.0817914		195.7168													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	17.5	60.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.153036037518511	7.322692117821293	2.056935988152049	1.908836597005101	1.1683396412703637	0.59239756458779	0.4278426855356261	0.19746585486259666	0.08227743952608195	0.03291097581043278	0.049366463715649164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0527416825059639	0.0952369702500566	0.0561492940479203	0.100127556995742	0.11508733808228	0.122054470630288	0.161726112228589	0.158827697185122	0.120991384996002	0.117191120924579	0.290991281919646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0099468	54.643555000000006		16.9055	1.3406712	23.155760000000004						26.179219999999997	35.23658	17.0			26.18302	0.00036520000000000004	0.0008734000000000001		0.0612186	-0.9367439999999998		195.6151													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	22.5	44.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.17633777376383	6.36712576202303	2.641679837435087	1.557913750282231	1.3547076089410703	0.7225107247685708	0.3386769022352676	0.1806276811921427	0.13547076089410703	0.045156920298035676	0.045156920298035676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0580573984239824	0.0832244375235273	0.0710601379009567	0.0764329981318478	0.131364303179268	0.150032577285757	0.133043375945951	0.137946065698116	0.177765190349378	0.177870994894085	0.233771284296565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015423200000000001	54.642409400000005		21.8705	1.3582345999999998	23.16						26.17162	35.239	22.0			26.176559999999995	0.0003766	0.0009526000000000002		0.061004800000000005	-1.1068958		195.89139999999998													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	27.5	54.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.488917384136288	7.675398424619893	2.4180252793551933	2.069976186114673	1.227331013006045	0.6045063198387983	0.38468583989741706	0.09159186664224216	0.018318373328448434	0.018318373328448434	0.018318373328448434	0.018318373328448434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0492918045548231	0.100410790082487	0.0693213326503984	0.107803659028139	0.127808401924298	0.123896801567167	0.153233808374545	0.0594871483751847	0.0400501751519815	0.0488489513932906	0.115591397562814	0.175608149981825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	54.649210200000006		26.7928	1.2689542	23.16514						26.167939999999998	35.24438	27.0			26.173989999999996	0.0003698	0.0009058		0.06325700000000001	-1.3427246		195.39069999999998													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	32.5	42.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.821690741179257	8.169547714894625	2.8889415107743313	1.965427421264504	1.5155103007340753	0.4972768174283685	0.18943878759175942	0.21311863604072936	0.047359696897939854	0.023679848448969927	0.023679848448969927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0562151237462271	0.106744975976311	0.0784475595529266	0.10315039204392	0.156127596638807	0.105562457462148	0.0722933861649438	0.178915089352684	0.0776225062825025	0.0754225568494992	0.172495340291478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.689716		31.733799999999995	1.42117	23.171120000000002						26.184260000000002	35.25891	32.0			26.19146	0.00038119999999999994	0.0009838000000000002		0.063782	-1.3736608000000001		195.4987													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	37.5	45.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.93027360988526	9.090909090909092	3.353927625772286	2.4271844660194173	1.1253309796999118	0.8605472197705207	0.24271844660194175	0.1323918799646955	0.0441306266548985	0.02206531332744925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0671685181582878	0.117942108705387	0.0917334501531981	0.125900844771284	0.118759314019385	0.175529319673057	0.0952169284357392	0.0928931665361609	0.0539910878624863	0.0716018210144579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231348	54.685867800000004		36.7767	1.3704312	23.18336						26.16637	35.2676	37.0			26.17467	0.0003884	0.0010317999999999998		0.0649044	-0.5931444000000001		196.2808													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	42.5	46.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.71413160733549	11.434735706580366	4.724919093851133	2.6321467098166127	1.6828478964401294	0.7335490830636462	0.32362459546925565	0.2588996763754045	0.08629989212513484	0.04314994606256742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0764350736781911	0.147066164971314	0.130002842316195	0.138964707544906	0.174198408577493	0.142394933215708	0.113793447027406	0.181210404433729	0.150276202635098	0.107982452843313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04271980000000001	54.761038199999994		41.709500000000006	1.3470134	23.206989999999998						26.183820000000004	35.306020000000004	42.0			26.19326	0.0003884	0.001032		0.0673102	-1.0820450000000001		196.3682													
tara_131_00_b	HDR20110930025720	2011-09-30 02:57:20	47.5	58.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.881791858286492	10.645545903593936	4.224152614546074	1.9587804462612843	1.379662749105774	0.5961505706012604	0.23846022824050417	0.18736160790325326	0.0851643672287515	0.017032873445750298	0.034065746891500596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0721113424691995	0.139651974685203	0.117947234780761	0.0996364637358217	0.138195418514139	0.125148077765905	0.0921193816128816	0.146577082969312	0.116947252319152	0.0454209548042877	0.253165906401721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038558	54.9780378		46.678599999999996	1.3816522	23.2308						26.28768	35.38138	47.0			26.298240000000003	0.00038839999999999995	0.0010320000000000001		0.0640318	-0.9207688		194.9347													
