Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	2.5	58.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.763072730369615	15.738375063873276	5.774144098109351	4.275251234883325	2.163174927610288	0.970873786407767	0.35769034236075625	0.1532958610117527	0.11923011412025208	0.06813149378300119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107857333091968	0.207166236354831	0.161515811202498	0.216129184836789	0.212988260425102	0.198345853822669	0.142636532066778	0.108358305746795	0.187466874631608	0.199737068154575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10109950000000001	54.816816		3.5119999999999996	1.28061	23.130000000000003						26.319850000000002	35.2609	3.5			26.3206	0.0003365	0.000676		0.049267	0.3429425		195.11825													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	7.5	63.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.40212965862825	9.207641716254306	3.429376761666145	2.223614155966176	1.7851550266207328	0.8455997494519261	0.4384591293454432	0.2505480739116818	0.03131850923896023	0.03131850923896023	0.015659254619480114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0644249840575805	0.120112955067085	0.0961411603950856	0.113323544298303	0.184987729241887	0.175522661838529	0.169647184504569	0.185160910734217	0.0496474479285823	0.1066778031771	0.102542649015463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0982042	54.8077042		6.9346000000000005	1.3879376	23.13508						26.306959999999997	35.26228	7.0			26.30854	0.00032859999999999996	0.00062		0.0509598	0.1630282		194.9568													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	12.5	56.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.815533980582524	9.955869373345102	3.0538393645189763	2.700794351279788	1.9064430714916152	1.3062665489849956	0.6531332744924978	0.3000882612533098	0.1235657546337158	0.017652250661959402	0.017652250661959402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0665724835261665	0.131266894287859	0.0865915982944669	0.140086364602446	0.197997390255148	0.253329853510008	0.261368119664648	0.23795184431869	0.182807775743965	0.04707262588808	0.124193631703832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1049582	54.80424420000001		11.9332	1.4623352	23.13836						26.29921	35.26341	12.0			26.301920000000003	0.000349	0.0007616		0.0522294	0.40088519999999994		194.78609999999998													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	17.5	46.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.829557713052859	9.838187702265373	3.3872707659115426	2.588996763754045	2.373247033441208	1.2944983818770226	0.6903991370010787	0.45307443365695793	0.1941747572815534	0.15102481121898598	0.04314994606256742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0718400032664524	0.128001736593299	0.0951584718724268	0.138131404379134	0.245122303445438	0.270020029888641	0.272009625351218	0.350165713479586	0.304002603638331	0.45237572494383	0.210979887686464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1014998	54.805739800000005		16.869	1.3581786	23.13977						26.29654	35.26413	17.0			26.30036	0.0003376000000000001	0.0006838		0.0524412	0.5464398		194.66890000000004													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	22.5	40.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.949215832710978	9.50958426686582	3.012198157829226	2.364948966890714	1.4936519790888723	0.8712969878018422	0.4729897933781429	0.24894199651481203	0.12447099825740601	0.024894199651481205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0620722457120433	0.123457699675779	0.0853553678406822	0.118719008751783	0.15758696082128	0.180247250979593	0.171193418940143	0.186219028130584	0.186648148604298	0.102825973549945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1030586	54.807414200000004		21.815199999999997	1.3650087999999998	23.14038						26.29486	35.26428	22.0			26.29982	0.0003424	0.000715		0.0535176	0.2867748		194.0222													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	27.5	48.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.232596570956416	9.398884527990086	3.7388969221235286	2.6027680231357158	1.8178062383805	0.8675893410452387	0.3511671142325966	0.33051022516009093	0.12394133443503409	0.08262755629002273	0.041313778145011366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0739336575588793	0.1235367298324	0.105173924494706	0.1347474933272	0.179900692040572	0.190186532041226	0.140972206296158	0.227893719758323	0.19232391183903	0.306069253480447	0.255222643734888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.102258	54.8090236		26.7782	1.4123302	23.14115						26.292939999999998	35.26446	27.0			26.29901	0.00034020000000000003	0.0006994		0.052864600000000005	0.261417		194.61550000000003													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	32.5	41.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.737864077669903	9.660194174757281	3.519417475728155	2.669902912621359	2.4271844660194173	1.0679611650485437	0.31553398058252424	0.3883495145631068	0.24271844660194172	0.07281553398058252	0.024271844660194174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0713636849920648	0.123120365009186	0.0988966099135677	0.140978042457796	0.249853251322549	0.217081671028858	0.12103768077415	0.282511860310653	0.360785260917011	0.229422539130505	0.120323567499334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0479168	54.8083386		31.810000000000002	1.3820834	23.143449999999998						26.28797	35.26541	32.0			26.295140000000004	0.0003398	0.0006994		0.053844	0.1158624		194.8875													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	37.5	46.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.239482200647249	10.291262135922329	3.559870550161812	2.6321467098166127	2.179072276159655	1.1650485436893203	0.7551240560949298	0.2588996763754045	0.08629989212513484	0.02157497303128371	0.02157497303128371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073969426140185	0.134882374186009	0.0999290210122344	0.140707516983187	0.22276825979729	0.235955747383724	0.292094097326236	0.184599811948455	0.14820873346755	0.0876894511356721	0.100861356365705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	54.8001432		36.7334	1.4118424	23.148600000000002						26.27514	35.26693	37.0			26.28347	0.0003538	0.0007942000000000001		0.0543028	0.7995118000000001		194.8213													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	42.5	45.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.46072374227714	12.842012356575463	4.766107678729038	3.067078552515446	2.4051191526919684	0.8384819064430715	0.6840247131509267	0.3971756398940865	0.088261253309797	0.02206531332744925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0855080453004824	0.16590283515465	0.132892601232274	0.158168660148667	0.248603027965594	0.179166516382209	0.255840140902265	0.345436452529338	0.134610599325359	0.0600708325642659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	54.792093		41.7434	1.429893	23.15094						26.26542	35.26612	42.0			26.274879999999996	0.00034460000000000003	0.0007306		0.0537294	0.3978426		195.6208													
tara_131_00_d	HDR20110930191052	2011-09-30 19:10:52	47.5	43.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8455848358761	14.51687471104947	5.640314378178456	4.53074433656958	2.4965325936199725	1.2251502542764678	0.5547850208044383	0.2542764678687009	0.06934812760055478	0.06934812760055478	0.0	0.023116042533518264	0.023116042533518264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0927019431497124	0.193211728980606	0.155996034884892	0.233814043569672	0.249264084080939	0.251783970711972	0.197715416619455	0.194647979964428	0.116001669206842	0.195741372236216	0.0	0.282990291989971	0.551223973129944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030846400000000003	54.6664438		46.7244	1.3528124	23.172819999999998						26.16209	35.252250000000004	47.0			26.172629999999998	0.0003432	0.0007228		0.0547178	0.1997972		195.96750000000003													
