Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	2.5	49.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.614886731391586	12.216828478964402	5.258899676375405	3.883495145631068	3.2564724919093853	1.7192556634304208	1.2540453074433657	0.7483818770226538	0.505663430420712	0.3033980582524272	0.1011326860841424	0.04045307443365696	0.02022653721682848	0.0	0.04045307443365696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0811142002559983	0.159516075443032	0.147036849203726	0.20555871052052	0.336849413130499	0.357455873135979	0.484022049134547	0.588787405225077	0.777468658429966	0.870634952989988	0.698795112213624	0.563837744803211	0.485062406169382	0.0	4.37071932222266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.192460999999994		3.5895	1.2208299999999999	23.04105						26.6369	35.28085	3.5			26.637749999999997	0.0003595	0.0008320000000000001		0.0551385	0.181286		188.05975													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	7.5	47.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.36006753904601	9.53989024905023	3.482482059940903	2.300548754748839	1.709582102152807	0.8653440270156184	0.73870831574504	0.4010130856901646	0.21105951878429716	0.08442380751371886	0.04221190375685943	0.021105951878429716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0694011562451637	0.126384302062979	0.0975716609563388	0.114986674436721	0.169257730774094	0.16756313976274	0.307247670808837	0.326937132065922	0.317952230192761	0.220160160666909	0.206473177855659	0.324651839037165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.939322600000004		6.965300000000001	1.2364414	23.109869999999997						26.41454	35.274350000000005	7.0			26.41612	0.0003847999999999999	0.0010086		0.0605986	-0.0725466		188.2074													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	12.5	47.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.728999577880963	12.389193752638244	5.382017728999577	3.2503165892781762	2.7859856479527223	1.3718868720979316	0.9286618826509075	0.7809202195018995	0.29548332629801605	0.1266357112705783	0.06331785563528915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0920963210836295	0.161674164492512	0.153449696510224	0.169794904916048	0.286824333530865	0.276811615925059	0.360361436483198	0.627284483121046	0.440503842689606	0.348005477715697	0.380865093313821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.8412002		11.936699999999998	1.3825505999999999	23.13856						26.32192	35.273239999999994	12.0			26.324580000000005	0.00036960000000000004	0.0009046		0.06514240000000002	0.09456160000000002		188.1093													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	17.5	32.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.230582524271844	10.527912621359222	3.7317961165048543	1.9720873786407767	1.9720873786407767	0.8495145631067961	0.8191747572815534	0.45509708737864074	0.24271844660194175	0.06067961165048544	0.06067961165048544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079117866311874	0.133687810884351	0.105504558357507	0.104311570520821	0.192919447924974	0.172902618347706	0.320074516690625	0.352692978960188	0.373846155768708	0.179022512690362	0.370140338243263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	54.8131126		16.938200000000002	1.4176754	23.14454						26.29567	35.2701	17.0			26.29952	0.00036519999999999993	0.0008734000000000001		0.0670898	0.2462024		188.93810000000002													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	22.5	28.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.667128987517337	10.575589459084604	3.9875173370319	2.8432732316227463	1.6990291262135921	1.4563106796116505	0.6241331484049931	0.5894590846047156	0.20804438280166435	0.0	0.03467406380027739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0761909105291353	0.139580814292535	0.11260577194964	0.146616591066778	0.170311437001751	0.293853069112386	0.247373658002049	0.453717513976907	0.346598420935364	0.0	0.241102064249484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015423200000000001	54.81240039999999		21.8662	1.2874208	23.14949						26.28776	35.27337	22.0			26.292740000000002	0.0003882	0.001033		0.06926819999999999	0.6696792		188.47660000000002													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	27.5	40.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.911625591237241	10.480458053273587	3.4602937515558874	2.6387851630570074	1.7674881752551654	1.219815782922579	0.34851879512073686	0.17425939756036843	0.17425939756036843	0.024894199651481205	0.07468259895444361	0.0	0.0	0.0	0.024894199651481205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0774609899614874	0.137767793558556	0.0947402884552917	0.138526884666896	0.183131070721904	0.24582259029434	0.123847800340476	0.138517145193137	0.279496582872948	0.063644138685066	0.468175144381544	0.0	0.0	0.0	3.31036533520076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031458400000000004	54.81899599999999		26.874399999999998	1.2986414	23.15326						26.285500000000003	35.27744	27.0			26.29157	0.0003746	0.000937		0.0694986	0.9055078		188.8039													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	32.5	39.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.898824731732242	9.964230965763925	3.781297904956566	2.9381706693919263	1.5585079202861523	0.5365355135411344	0.689831374552887	0.3832396525293817	0.12774655084312722	0.07664793050587634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0721998226440083	0.131928969187418	0.106640073781579	0.152577153689334	0.157248730711497	0.106491476158083	0.280187600712864	0.290027106007192	0.196467940731321	0.249778381127437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030846400000000003	54.823854		31.831200000000003	1.3820628000000001	23.15597						26.28331	35.28012	32.0			26.290550000000003	0.00038720000000000003	0.0010252		0.0692682	0.3172044		189.38729999999998													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	37.5	28.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.667128987517337	9.98613037447989	3.6754507628294038	2.739251040221914	2.1497919556171983	0.9361997226074896	0.4507628294036061	0.6241331484049931	0.20804438280166435	0.06934812760055478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0761909105291353	0.132623348896591	0.104398328001097	0.139242000837435	0.227925535066475	0.180795645147392	0.177516225856602	0.484171713191845	0.355644995438756	0.217601054010911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0372434	54.830115		36.7188	1.369867	23.157980000000002						26.28293	35.282650000000004	37.0			26.29125	0.0003654	0.0008734000000000001		0.069144	0.3019896		188.96230000000003													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	42.5	31.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.249921703726903	9.80269339179455	3.7582211086752273	2.693391794550579	1.6911994989038521	0.7516442217350454	0.3758221108675227	0.2505480739116818	0.18791105543376135	0.1252740369558409	0.0	0.0	0.06263701847792046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0740236559247452	0.128852701164564	0.104149361642875	0.139658692566809	0.171801516622742	0.148274563115414	0.148222510354578	0.207977823004269	0.277391753792613	0.337382189321651	0.0	0.0	1.58092237484387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526452	54.829538		41.75	1.4567032	23.161229999999996						26.276760000000003	35.28446	42.0			26.286220000000004	0.00036739999999999993	0.0008878		0.0670898	-0.0606288		189.02849999999998													
tara_131_00_f	HDR20111001010301	2011-10-01 01:03:01	47.5	33.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.297734627831714	9.855839952927331	2.912621359223301	2.2359517505148574	1.588702559576346	0.5295675198587819	0.20594292438952633	0.08826125330979699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0638826862119779	0.12789356778981	0.0820179729966453	0.113949187438952	0.16478612094195	0.106270732495034	0.078412087702428	0.0865616210599205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044300400000000004	54.502302799999995		46.71900000000001	1.4235296	23.24989						25.97577	35.27682	47.0			25.986259999999998	0.000379	0.0009694000000000001		0.064382	0.4034211999999999		192.3733													
