Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	2.5	47.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.70789362600253	14.90080202617138	6.66948079358379	5.508653440270156	3.5457999155761923	2.3427606585056986	1.329674968341072	1.0764035457999155	0.5698607007176023	0.29548332629801605	0.1266357112705783	0.08442380751371886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091986682606149	0.197014359375174	0.189057487081775	0.292808049214842	0.363305218861317	0.486667943582702	0.528086332411184	0.780100760109327	0.956287613861575	0.880309616382581	0.685566036098492	1.03655137179777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064278	55.3021205		3.3914999999999997	1.3696145	23.02965						26.728	35.298950000000005	3.5			26.7288	0.000348	0.000754		0.058951	2.7665245		194.3015													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	7.5	42.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.56855316125977	9.495619228036942	3.2204593890599105	2.439024390243903	2.249585602652143	1.326071513142316	0.8287946957139475	0.47359696897939857	0.331517878285579	0.23679848448969928	0.023679848448969927	0.047359696897939854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0704841704739346	0.12480417550687	0.0921247125692026	0.131938410957987	0.235495397888342	0.265504292468335	0.309038429671544	0.359192466704499	0.592338910014304	0.760237411954354	0.131238138658058	0.552927296191962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060077599999999995	55.126491400000006		6.9732	1.4742562	23.07548						26.567320000000002	35.292500000000004	7.0			26.568920000000002	0.0003548	0.0008014000000000001		0.0610908	2.4936734		194.3136													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	12.5	39.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.665304036791007	10.143076136944302	3.4747061829330605	3.193663771078181	2.1205927439959122	1.379662749105774	0.970873786407767	0.4854368932038835	0.3832396525293817	0.07664793050587634	0.05109862033725089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0761814305104058	0.132128021127339	0.0980541043679874	0.165866031603541	0.220186880951971	0.274888083699731	0.39005579049758	0.350635411833797	0.610784780706587	0.279969457219247	0.282049247063155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013494800000000001	54.9141252		11.921399999999998	1.4362048	23.12407						26.382600000000004	35.27906	12.0			26.3853	0.000356	0.0008098		0.06367320000000001	2.8626308000000003		194.90529999999998													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	17.5	38.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.1928627656783	10.338493833639465	3.4374180005247967	2.623983206507478	1.7318289162949356	1.311991603253739	0.734715297822094	0.41983731304119654	0.10495932826029913	0.05247966413014957	0.026239832065074783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0789219245734038	0.133203035176186	0.0947493287335655	0.135863907960355	0.180394112961843	0.262415548578739	0.28016371188291	0.313676123755594	0.14325853449573	0.183400900295011	0.209009087537465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020553599999999998	54.889005600000004		16.8678	1.3708338000000002	23.1334						26.35461	35.27989	17.0			26.35843	0.0003724	0.0009214		0.0663638	2.4198817999999997		194.86759999999998													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	22.5	38.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.79637890317502	10.627131986355288	4.303332458672265	2.3615848858567308	1.7843085804250853	1.1807924429283654	0.8659144581474678	0.5510364733665705	0.10495932826029913	0.0	0.026239832065074783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0820569923889276	0.136679288964925	0.124806078141247	0.123613185960472	0.183898465531952	0.235663446447217	0.322308342794115	0.405072120713348	0.154300328564838	0.0	0.151359424132472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051304	54.8820824		21.880200000000002	1.4240086	23.138219999999997						26.342969999999998	35.281459999999996	22.0			26.34792	0.0003834	0.0010006000000000001		0.06647	3.1354819999999997		193.8781													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	27.5	38.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.009183941222776	10.732091314615587	3.489897664654946	2.8339018630280766	2.072946733140908	1.0233534505379165	0.7871949619522435	0.4985568092364209	0.13119916032537393	0.13119916032537393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0779677734991139	0.140119699028365	0.0976372561002239	0.147181481589039	0.212195964276806	0.218757710016532	0.319226353073645	0.372664162746486	0.193613950232499	0.420519255228856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231348	54.875305000000004		26.8362	1.4059586000000002	23.141569999999998						26.33297	35.28173	27.0			26.339049999999997	0.0003882	0.001033		0.06732039999999999	2.7074406		195.06220000000002													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	32.5	30.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.724919093851133	10.776699029126213	3.6893203883495147	2.1359223300970873	2.0388349514563107	1.1650485436893205	0.3559870550161812	0.3236245954692557	0.25889967637540456	0.06472491909385114	0.03236245954692557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0764911111222367	0.141264365911389	0.104026960406805	0.108223533256481	0.210142066632686	0.229008437694628	0.15118740076142	0.226834573822732	0.36437997823968	0.20915203015024	0.174546582241281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.862245200000004		31.813599999999997	1.3225376	23.14424						26.32004	35.279909999999994	32.0			26.327250000000003	0.000379	0.0009682		0.0664702	2.4875871999999997		194.7922													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	37.5	29.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.960495480415132	8.838299296953466	3.2808838299296954	2.2765316370940742	1.874790759959826	1.4060930699698695	0.7700033478406427	0.4686976899899565	0.2008704385671242	0.03347840642785403	0.06695681285570806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0725201818976265	0.11633965982488	0.0919286470670538	0.116413584616071	0.196879890933805	0.297568355398621	0.304980786022455	0.35821168537405	0.282343133808249	0.0855903934040543	0.457639065840808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015423200000000001	54.8720692		36.7897	1.3347336	23.14581						26.322339999999997	35.28284	37.0			26.33066	0.00042259999999999997	0.0012696		0.0666826	2.943269		195.1366													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	42.5	36.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.87101248266297	9.292649098474342	3.4396671289875176	2.1081830790568654	1.9417475728155342	1.1650485436893205	0.6102635228848822	0.3606102635228849	0.24965325936199725	0.027739251040221916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0668606760955438	0.119694255933122	0.099081870306821	0.10975952706774	0.194961278107008	0.228929387418761	0.237757065257403	0.280717393114079	0.361783396492347	0.0850668818219216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011873400000000001	54.8647972		41.76370000000001	1.4242522	23.14774						26.313620000000004	35.28176	42.0			26.3231	0.00040880000000000007	0.0011748		0.0664704	2.4787120000000002		194.73100000000002													
tara_131_00_h	HDR20111001032751	2011-10-01 03:27:51	47.5	35.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.219874357509992	10.251284980011421	3.36950314106225	2.569960022844089	1.4848657909765848	0.7424328954882924	0.39977155910908047	0.19988577955454023	0.05711022272986864	0.05711022272986864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0790622409078581	0.132836090590604	0.0953208964761252	0.135222935922149	0.147162765023285	0.148994118049341	0.160877429217301	0.133280219520919	0.0822759727786449	0.208720747815923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0330602	54.8403542		46.714099999999995	1.3347336	23.149790000000003						26.29438	35.27644	47.0			26.304949999999998	0.0003836	0.0009994		0.0649828	2.3706876		195.4459													
