Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	2.5	40.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.8974358974359	30.346029375155588	13.666915608663182	10.281304456061736	8.638287279063977	3.8337067463281054	2.6636793627084887	1.5185461787403534	1.0455563853622105	0.6721433905899925	0.14936519790888722	0.024894199651481205	0.04978839930296241	0.04978839930296241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.186475371493264	0.401710867805807	0.384754386793595	0.540526231297827	0.869461321355892	0.767047342979007	1.0039329491831	1.14194953655095	1.80039501164434	2.16208058620915	0.857631586740637	0.284487284744277	1.15740851615581	2.48008055225603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.023399999999995		3.3609999999999998	1.385461	23.126375						26.450775	35.310225	3.5			26.451549999999997	0.00039400000000000004	0.001072		0.1212105	2.2162575		194.57425													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	7.5	48.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.31047304275976	15.781863251394341	7.229911175376989	5.659987605866557	4.090064036356125	1.941747572815534	1.3840115678578806	1.3426977897128693	0.7849617847552159	0.33051022516009093	0.14459822350753979	0.0	0.020656889072505683	0.020656889072505683	0.0	0.020656889072505683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0899222134025266	0.206612583003454	0.201776514696918	0.292309665742542	0.415597809914268	0.392284880743249	0.520014176137738	1.04270359593928	1.22839823557403	1.01222086130041	0.901164944199699	0.0	0.606496382898565	0.746351403733508	0.0	5.90690744364161	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	55.0221352		7.002	1.3966816000000002	23.12769						26.44622	35.31057	7.0			26.4478	0.00036379999999999995	0.0008632000000000001		0.062404	2.9366757999999997		194.83589999999998													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	12.5	46.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.490830636461704	11.067961165048544	4.875943905070119	4.552319309600863	2.9341963322545848	1.6612729234088457	0.9061488673139159	0.6903991370010787	0.34519956850053934	0.17259978425026967	0.02157497303128371	0.04314994606256742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080469769649474	0.146479728920149	0.137462701359904	0.239333614246075	0.303779152067439	0.342241801675706	0.367258842176944	0.555552931642067	0.522248230005941	0.602364687922379	0.103889642120117	0.46122813541935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051304	54.9558044		11.871	1.3708259999999999	23.131510000000002						26.3992	35.29585	12.0			26.4019	0.00036060000000000004	0.0008416000000000002		0.0620766	2.8408232		194.5254													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	17.5	50.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.63186051119477	8.856746582127997	2.615415098078066	2.1200713295026747	1.5256588072122053	0.7727362789776104	0.5349712700614226	0.2972062611452348	0.09906875371507827	0.019813750743015654	0.019813750743015654	0.019813750743015654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0708130313327188	0.114062499851298	0.0737645681542524	0.111575356736628	0.159611606300413	0.154730189549541	0.214646786708669	0.228547314054105	0.163626739448507	0.0506555389534199	0.156110129460737	0.320648043447546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019585	54.80060519999999		16.8684	1.4059506	23.14328						26.289569999999998	35.26596	17.0			26.29336	0.0003492	0.0007618		0.062979	2.6825897999999997		195.46050000000002													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	22.5	41.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.048543689320388	9.95145631067961	3.495145631067961	2.2087378640776696	1.7961165048543688	0.9466019417475727	0.5097087378640777	0.3398058252427184	0.12135922330097086	0.07281553398058252	0.04854368932038835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0781722344436046	0.132511559038208	0.0970290971590529	0.115695070169923	0.187952381853407	0.188147076871672	0.212011244399487	0.258317139459711	0.217753560622745	0.235119215164555	0.263261930684765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015423200000000001	54.7717488		21.8736	1.3937546	23.146319999999996						26.266370000000002	35.26026	22.0			26.27134	0.000354	0.0007941999999999999		0.06188179999999999	2.7693138		195.45879999999997													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	27.5	41.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.20873786407767	11.092233009708737	4.199029126213592	3.058252427184466	1.9174757281553396	1.1893203883495145	1.1407766990291262	0.5097087378640777	0.31553398058252424	0.04854368932038835	0.024271844660194174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0893937326137349	0.145811183825277	0.120339878888737	0.158662376884191	0.19754548173172	0.246617949709896	0.458540724333059	0.411246632962526	0.467939941883315	0.116309956677572	0.134519092124509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015423200000000001	54.8036338		26.8361	1.3825344000000002	23.149700000000003						26.280060000000002	35.2703	27.0			26.286130000000004	0.00037	0.000907		0.0640762	2.9924633999999997		194.84269999999998													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	32.5	33.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.38658428949691	11.35628125919388	4.442483083259782	3.1479847013827595	2.2359517505148574	1.1179758752574287	0.8826125330979699	0.5589879376287143	0.17652250661959398	0.08826125330979699	0.0	0.02942041776993233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0747335731044431	0.147304685856093	0.122626264004538	0.165034375043698	0.232079203670696	0.232179684571444	0.331435010168072	0.432165907905578	0.278541041134546	0.244060242422966	0.0	0.429465447412276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015423200000000001	54.860345800000005		31.832900000000002	1.4420503999999998	23.15473						26.307299999999998	35.28836	32.0			26.31449	0.00037899999999999994	0.0009694000000000001		0.06905379999999998	3.0414038000000003		194.60690000000002													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	37.5	37.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.614886731391586	12.216828478964402	5.366774541531823	3.4789644012944985	3.0474649406688243	1.6720604099244876	1.1057173678532903	1.051779935275081	0.43149946062567424	0.05393743257820928	0.10787486515641856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0811142002559983	0.159342804446341	0.149604784145878	0.178783872758656	0.309238995387461	0.34893328969145	0.442827488420879	0.826056963570951	0.669316965661167	0.189400501601255	0.614947646218769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0350082	54.9177322		36.7756	1.316676	23.157500000000002						26.336900000000004	35.30444	37.0			26.345260000000003	0.0004732	0.0016192000000000001		0.07011700000000001	2.4224178000000003		195.446													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	42.5	30.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.728155339805825	12.20064724919094	4.919093851132686	3.2038834951456314	3.0420711974110035	1.7799352750809063	1.132686084142395	0.7766990291262136	0.29126213592233013	0.22653721682847897	0.03236245954692557	0.03236245954692557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081702593418477	0.158829734994563	0.135676999099219	0.171503098234866	0.320517271926268	0.356240744221581	0.436953185461346	0.57361126248693	0.47716369582799	0.74650677529839	0.155834463180176	0.360142120096464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020553599999999998	55.0475862		41.6536	1.3879006	23.164989999999996						26.40634	35.34285	42.0			26.415820000000004	0.0003934	0.0010656		0.0699042	2.9118253999999997		194.488													
tara_131_00_i	HDR20111001054414	2011-10-01 05:44:14	47.5	27.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.879899316792521	10.427903631787128	4.135203164329378	3.9913700107874868	2.912621359223301	1.9057892844300612	1.3664149586479684	0.35958288385472853	0.3955411722402014	0.10787486515641856	0.03595828838547285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0721015113386651	0.134347970893956	0.114255010448822	0.214795250193428	0.295066486458038	0.394145918792338	0.561494199405211	0.265768616801857	0.585165476478713	0.364485245589281	0.207418470107462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231348	54.9975766		46.6924	1.3703382000000002	23.1687						26.369790000000002	35.33314	47.0			26.380399999999998	0.000377	0.0009526		0.0694788	2.7911216		194.75220000000002													
