profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
ctd001	sn207_2018_exports_np_sr1812	SS1	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814074620	uvp5	sr1812_001	2018-08-14 07:46:20	50.08604	-145.05003	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd001.tsv	export_detailed_20240422_11_10_ZOO_ctd001.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd002	sn207_2018_exports_np_sr1812	SS_2	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814104437	uvp5	sr1812_002	2018-08-14 10:44:37	50.05592	-145.27913	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd002.tsv	export_detailed_20240422_11_10_ZOO_ctd002.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd003	sn207_2018_exports_np_sr1812	SS_3	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814125709	uvp5	sr1812_003	2018-08-14 12:57:09	50.11834	-145.22328	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd003.tsv	export_detailed_20240422_11_10_ZOO_ctd003.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd004	sn207_2018_exports_np_sr1812	SS4	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814155007	uvp5	sr1812_004	2018-08-14 15:50:07	50.1798	-145.16675	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd004.tsv	export_detailed_20240422_11_10_ZOO_ctd004.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd005	sn207_2018_exports_np_sr1812	SS_5	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814175427	uvp5	sr1812_005	2018-08-14 17:54:27	50.24259	-145.1115	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd005.tsv	export_detailed_20240422_11_10_ZOO_ctd005.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd006	sn207_2018_exports_np_sr1812	SS6	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814193501	uvp5	sr1812_006	2018-08-14 19:35:01	50.20546	-145.01505	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd006.tsv	export_detailed_20240422_11_10_ZOO_ctd006.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd007	sn207_2018_exports_np_sr1812	SS_6	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180814222202	uvp5	sr1812_007	2018-08-14 22:22:02	50.20651	-145.01767	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd007.tsv	export_detailed_20240422_11_10_ZOO_ctd007.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd008	sn207_2018_exports_np_sr1812	Lagrangian_float_calibration_cast	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815023223	uvp5	sr1812_008	2018-08-15 02:32:23	50.12865	-145.06254	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd008.tsv	export_detailed_20240422_11_10_ZOO_ctd008.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd009	sn207_2018_exports_np_sr1812	SS_7	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815045658	uvp5	sr1812_009	2018-08-15 04:56:58	50.14445	-145.07055	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd009.tsv	export_detailed_20240422_11_10_ZOO_ctd009.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd010	sn207_2018_exports_np_sr1812	SS13	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815152445	uvp5	sr1812_010	2018-08-15 15:24:45	50.1705	-144.91749	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd010.tsv	export_detailed_20240422_11_10_ZOO_ctd010.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd011	sn207_2018_exports_np_sr1812	SS12	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815171442	uvp5	sr1812_011	2018-08-15 17:14:42	50.10854	-144.97407	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd011.tsv	export_detailed_20240422_11_10_ZOO_ctd011.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd012	sn207_2018_exports_np_sr1812	SS14	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815185631	uvp5	sr1812_012	2018-08-15 18:56:31	50.13472	-144.82046	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd012.tsv	export_detailed_20240422_11_10_ZOO_ctd012.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd013	sn207_2018_exports_np_sr1812	SS_14	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815213146	uvp5	sr1812_013	2018-08-15 21:31:46	50.13254	-144.81754	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd013.tsv	export_detailed_20240422_11_10_ZOO_ctd013.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd014	sn207_2018_exports_np_sr1812	LS_18	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180815233450	uvp5	sr1812_014	2018-08-15 23:34:50	50.16482	-144.64472	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd014.tsv	export_detailed_20240422_11_10_ZOO_ctd014.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd015	sn207_2018_exports_np_sr1812	LS_18	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180816004421	uvp5	sr1812_015	2018-08-16 00:44:21	50.1648	-144.64474	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd015.tsv	export_detailed_20240422_11_10_ZOO_ctd015.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
ctd016	sn207_2018_exports_np_sr1812	SS_15	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20180816151942	uvp5	sr1812_016	2018-08-16 15:19:42	50.07223	-144.87662	0.0017724	1.32	0.097	export_detailed_20240422_11_10_PAR_ctd016.tsv	export_detailed_20240422_11_10_ZOO_ctd016.tsv	uvp5_sn207_2018_exports_np_sr1812_filtered
