Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
export069	HDR20180903170453	2018-09-03 17:04:53	2.5	136.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.473195348497038	0.0	3.7446061581218464	1.9088714985738318	2.318437797118409	1.382286257587947	1.4042273092956923	0.7533094419659183	0.5850947122065385	0.43882103415490387	0.2852336722006875	0.2120968331748702	0.10970525853872597	0.1170189424413077	0.043882103415490384	0.07313683902581732	0.03656841951290866	0.0	0.007313683902581731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108085008085201	0.0	0.00137311328008541	0.00146948594217504	0.00360667877766428	0.00428920125674519	0.00873815348660887	0.00926138651810937	0.0145774105537895	0.0231434554995484	0.0271129006145608	0.0422089315854794	0.0438157806076519	0.0878360419460075	0.0691595550431171	0.23126881825066	0.23262725475362	0.0	0.218830202384705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	7.5	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.58849557522124	0.0	4.022123893805309	2.075221238938053	2.601769911504425	1.2876106194690264	1.2787610619469028	0.8362831858407079	0.7566371681415929	0.5663716814159292	0.3495575221238938	0.27876106194690264	0.13716814159292035	0.11504424778761062	0.09734513274336283	0.05309734513274336	0.035398230088495575	0.008849557522123894	0.004424778761061947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00119595080227627	0.0	0.00147487652893861	0.0015975451672891	0.00411341643216887	0.00404629843834062	0.00770288652242865	0.0103007907944363	0.0191451985314139	0.0281653408129217	0.0346897973226504	0.0547625931014441	0.0521029084343011	0.0974731993429159	0.160687698361817	0.170520818476203	0.226761903820106	0.105535840139049	0.126701073239681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	12.5	201.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.052003579596303	0.0	3.9723575618971863	2.41622750323158	2.580292333697922	1.2280003977329224	1.317490305260018	0.9545590136223526	0.6363726757482351	0.5269961221040071	0.343044645520533	0.27841304563985286	0.2237247688177389	0.16406483046634185	0.04971661529283087	0.019886646117132346	0.03480163070498161	0.0	0.0	0.004971661529283087	0.0	0.004971661529283087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114058399228633	0.0	0.00145662766420928	0.00186005833904915	0.00393325364247897	0.00386389069743529	0.00812946024563615	0.0121600117034747	0.0158953583874553	0.0263504029339222	0.0328507019923445	0.0552792646065899	0.0910941164856114	0.140679022877885	0.0789381385401787	0.0652713199182339	0.223849405769435	0.0	0.0	0.203151097965642	0.0	0.9478213943223	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	17.5	194.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.450092611648487	0.0	2.865816011525005	1.7133154970158468	2.1506482815394112	1.3068532619880633	1.3119983535706934	0.9569870343692117	0.90553611854291	0.5299444330109075	0.28298003704465935	0.23152912121835767	0.16978802222679562	0.09261164848734307	0.07717637373945256	0.05145091582630171	0.020580366330520683	0.01543527474789051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000768861167361958	0.0	0.00105086886511987	0.00131894317624652	0.00342380742720013	0.0041659503257222	0.00810640436426927	0.0118422036032078	0.0223426545526741	0.0271117067740955	0.0280318342375829	0.0486742894294399	0.0675527282262011	0.069488526246913	0.110121100945005	0.17008291414312	0.119478264626176	0.192401951262648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	22.5	198.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.662308930008045	0.0	2.5693885760257444	1.4732502011263073	2.257642799678198	1.181617055510861	1.24195494770716	0.9402654867256638	0.749195494770716	0.5229283990345938	0.33185840707964603	0.18101367658889783	0.1257039420756235	0.1257039420756235	0.06033789219629928	0.04022526146419952	0.01005631536604988	0.01005631536604988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000687560663775232	0.0	0.000942171600019541	0.00113413630067772	0.00351936336671459	0.00370691879305403	0.00769650130743501	0.0121136093155066	0.0195104430542791	0.0258843477606023	0.0321978937708629	0.0357850778365386	0.0479898978520745	0.101043484790664	0.0942841275617176	0.144253870682504	0.0591614456069507	0.0969771076887438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	27.5	202.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.692687991298759	0.0	2.9861076778563307	1.6215948979087358	2.0813763781084686	1.1519256439412666	1.4436149700894843	1.1469817570573986	1.0629356800316407	0.6427052949028526	0.38562317694171155	0.25708211796114105	0.18292381470311958	0.12854105898057053	0.08404607702575764	0.04943886883868097	0.014831660651604291	0.024719434419340484	0.009887773767736193	0.009887773767736193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000793897388589986	0.0	0.00109497873343403	0.00124833489743023	0.00329300626069595	0.00363536464133862	0.00895555306897465	0.0145070753950554	0.0268215972309307	0.03119274457062	0.0373928134563401	0.0509400160248259	0.0718064441362666	0.108218391161822	0.134209023990029	0.147412418928053	0.114551760651604	0.32878332995063	0.27654546971383	0.376820488421347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	32.5	188.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.477929097557098	0.0	4.186317630226273	2.2892268560224682	2.8933283874728417	1.764612368183986	2.00307349901966	1.6374330984049599	1.5685443272746542	0.9962376132690371	0.6094006676911663	0.34974299189232155	0.22256372211329553	0.17487149594616078	0.12717926977902602	0.06888877113030575	0.047692226167134755	0.052991362407927504	0.042393089926342005	0.037093953685549255	0.005299136240792751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118454016948023	0.0	0.00153508489010297	0.00176229080160079	0.00453534659985153	0.00550185400722196	0.0125150213871956	0.0206384714415684	0.0396206415580717	0.0506156979292952	0.0575661551219194	0.0693268720672878	0.0877668526060911	0.141192635095983	0.208986223377307	0.222468551023585	0.314943496445015	0.739904553917813	1.20960977544803	1.92164602601326	0.390450418418639	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	37.5	211.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.773839382897165	0.0	3.8900194027731767	1.940277317684918	2.905683592825706	1.6184752259713218	2.0869812124367044	1.3960531919928068	1.4481094127111827	1.0695187165775402	0.676730869338886	0.3596611613269604	0.25081633618853816	0.15616866215512754	0.09464767403341062	0.061520988121716906	0.014197151105011595	0.033126685911693717	0.03785906961336425	0.023661918508352656	0.014197151105011595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000905473897013473	0.0	0.00142643500442696	0.00149366274491986	0.00455658058279491	0.00510581324915786	0.0127493876143273	0.0177403520021564	0.0360445028458584	0.0535732353828802	0.0661681862638111	0.0702838527414662	0.100660324228493	0.116466101090736	0.154183149846487	0.209039349524183	0.0973714987797199	0.462283308466215	0.883913799835595	1.15933517809818	1.07679302763153	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	42.5	176.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.425686407987293	0.0	3.54549580213297	2.201043793964148	2.915815747674155	1.7755842977081915	2.6945768096210574	2.0308599954617654	1.9117313365100976	1.4352167007034264	1.1629226230996141	0.4368050828227819	0.16451100521896983	0.06807351940095303	0.07941910596777853	0.028363966417063763	0.03403675970047652	0.011345586566825504	0.005672793283412752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000766342409110755	0.0	0.00130010130967622	0.00169440578674805	0.00461863035586453	0.00555925451645217	0.0168407042533954	0.0257143074267217	0.0474520371809681	0.0727499109317469	0.113230831742489	0.0826672962203367	0.0679224384437666	0.0591877019120575	0.123838808917284	0.0991066258151849	0.248651880334595	0.117187680954874	0.13212859585211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
export069	HDR20180903170453	2018-09-03 17:04:53	47.5	221.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.126964059960268	0.0	2.5419902474264044	1.5622178074769733	2.3568719523207515	1.5080368430558064	2.094997290951779	1.3725844320028897	1.4628860393715009	1.1468304135813618	0.6727469748961532	0.4334477153693336	0.12642225031605564	0.04515080368430558	0.09030160736861116	0.04515080368430558	0.04515080368430558	0.018060321473722232	0.004515080368430558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000632312238932484	0.0	0.000932124880214229	0.00120262527279498	0.00375276575666561	0.00476451701039783	0.0128841468945082	0.0177645730412345	0.0383305869056674	0.0576309581665268	0.0648946540285642	0.0817542132351899	0.0481452584087661	0.0344578532463663	0.143014711736999	0.168836276462256	0.289620492508461	0.217787156926721	0.0872523982049139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
