profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
c_m108_002	m108	m108_747	Rainer Kiko(rkiko@geomar.de)	HDR20140712103350	uvp5	me108_747	2014-07-12 10:33:50	48.9998333333333	-16.5	0.010498	1.2084	0.151	export_detailed_20240422_11_01_PAR_c_m108_002.tsv	export_detailed_20240422_11_01_ZOO_c_m108_002.tsv	uvp5_sn010_2014_m108
c_m108_002	sn010_2014_m108	m108_747	rainer kiko(rkiko@geomar.de)	HDR20140712103350	uvp5	me108_747	2014-07-12 10:33:50	48.99983	-16.5	0.025	1.0	0.1508	export_detailed_20240422_11_01_PAR_c_m108_002.tsv	export_detailed_20240422_11_01_ZOO_c_m108_002.tsv	M108_aa_exp_test1
c_m108_003	sn010_2014_m108	m108_756	rainer kiko(rkiko@geomar.de)	HDR20140713151541	uvp5	me108_756	2014-07-13 15:15:41	48.8235	-16.51933	0.0105	1.208	0.1508	export_detailed_20240422_11_01_PAR_c_m108_003.tsv	export_detailed_20240422_11_01_ZOO_c_m108_003.tsv	M108_aa_exp_test1
c_m108_003	m108	m108_756	Rainer Kiko(rkiko@geomar.de)	HDR20140713151541	uvp5	me108_756	2014-07-13 15:15:41	48.8235	-16.5193333333333	0.010498	1.2084	0.151	export_detailed_20240422_11_01_PAR_c_m108_003.tsv	export_detailed_20240422_11_01_ZOO_c_m108_003.tsv	uvp5_sn010_2014_m108
c_m108_008	m108	m108_778	Rainer Kiko(rkiko@geomar.de)	HDR20140716190819	uvp5	me108_778	2014-07-16 19:08:19	48.9755	-16.4575	0.010498	1.2084	0.151	export_detailed_20240422_11_01_PAR_c_m108_008.tsv	export_detailed_20240422_11_01_ZOO_c_m108_008.tsv	uvp5_sn010_2014_m108
c_m108_008	sn010_2014_m108	m108_778	rainer kiko(rkiko@geomar.de)	HDR20140716190819	uvp5	me108_778	2014-07-16 19:08:19	48.9755	-16.4575	0.025	1.0	0.1508	export_detailed_20240422_11_01_PAR_c_m108_008.tsv	export_detailed_20240422_11_01_ZOO_c_m108_008.tsv	M108_aa_exp_test1
c_m108_009	sn010_2014_m108	m108_783	rainer kiko(rkiko@geomar.de)	HDR20140717093415	uvp5	me108_783	2014-07-17 09:34:15	48.88833	-16.42233	0.025	1.0	0.1508	export_detailed_20240422_11_01_PAR_c_m108_009.tsv	export_detailed_20240422_11_01_ZOO_c_m108_009.tsv	M108_aa_exp_test1
c_m108_009	m108	m108_783	Rainer Kiko(rkiko@geomar.de)	HDR20140717093415	uvp5	me108_783	2014-07-17 09:34:15	48.8883333333333	-16.4223333333333	0.010498	1.2084	0.151	export_detailed_20240422_11_01_PAR_c_m108_009.tsv	export_detailed_20240422_11_01_ZOO_c_m108_009.tsv	uvp5_sn010_2014_m108
c_m108_010	sn010_2014_m108	m108_789	rainer kiko(rkiko@geomar.de)	HDR20140717151832	uvp5	me108_789	2014-07-17 15:18:32	48.85617	-16.41817	0.025	1.0	0.1508	export_detailed_20240422_11_01_PAR_c_m108_010.tsv	export_detailed_20240422_11_01_ZOO_c_m108_010.tsv	M108_aa_exp_test1
c_m108_010	m108	m108_789	Rainer Kiko(rkiko@geomar.de)	HDR20140717151832	uvp5	me108_789	2014-07-17 15:18:32	48.8561666666667	-16.4181666666667	0.010498	1.2084	0.151	export_detailed_20240422_11_01_PAR_c_m108_010.tsv	export_detailed_20240422_11_01_ZOO_c_m108_010.tsv	uvp5_sn010_2014_m108
