Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	2.5	17.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.98863636363635	49.54545454545454	20.738636363636363	18.18181818181818	8.636363636363635	5.284090909090908	2.954545454545454	1.8181818181818181	1.0795454545454544	0.3409090909090909	0.056818181818181816	0.056818181818181816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5560182259714742	0.41669915893969306	0.32043200849650955	0.49269500942483274	0.45582894507310867	0.5528299245222951	0.5958219755275028	0.7046331157715044	0.7938830818707181	0.5293011373326993	0.1515254450578748	0.47786600795836387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				3.0257999999999994									35.51732	2.0			16.41428							183.4118													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	7.5	78.32000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.93003064351376	44.71399387129724	19.343718079673135	19.216036772216544	8.605720122574054	4.966802860061287	3.077119509703779	1.6470888661899896	0.9065372829417773	0.42134831460674155	0.08937691521961184	0.012768130745658834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5617910398942915	0.37606444042026727	0.2988791706154915	0.5184565005241507	0.4554489873975923	0.514553871118601	0.6161577298403687	0.651647191577932	0.7201605349074044	0.628358028811147	0.2460078090978682	0.06154882466604937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				8.0686									35.60662	7.0			16.4052							179.5874													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	12.5	62.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.81241997439182	46.81498079385403	20.87067861715749	20.03841229193342	9.138924455825865	5.505761843790013	2.976952624839949	2.000640204865557	1.0403329065300897	0.49615877080665816	0.11203585147247119	0.03201024327784891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5614413198424626	0.39373466852907424	0.3224721891409983	0.543429218641986	0.4801284979165583	0.5700706376104157	0.5989209393399771	0.7655833721806015	0.7874004320325377	0.731849943058572	0.3173877950881907	0.16619378981641497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				13.1116									35.60944	12.0			16.38796							221.439													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	17.5	61.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.45454545454544	46.590909090909086	21.623376623376622	21.33116883116883	10.243506493506493	5.827922077922078	2.75974025974026	1.8344155844155843	1.0551948051948052	0.47077922077922074	0.09740259740259741	0.048701298701298704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5514565449926745	0.3918501265258581	0.33410210200966795	0.5820437110159838	0.5349201935311707	0.6038937740283168	0.5511468793721381	0.7081066404381323	0.8157032459290393	0.7719365587771301	0.266906963252362	0.2514165955020872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				18.1546									35.60644	17.0			16.33422							239.63119999999998													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	22.5	50.160000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.8700159489633	49.80063795853269	18.99920255183413	19.4377990430622	9.350079744816586	5.342902711323764	3.508771929824561	2.332535885167464	1.774322169059011	0.9569377990430621	0.33891547049441784	0.13955342902711323	0.07974481658692184	0.01993620414673046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5110624004968446	0.4188453641684183	0.2935560721914671	0.5231005813810853	0.4962087371764223	0.5394350124489652	0.7317278655542281	0.8909478657827851	1.4052927388461955	1.5129332089527279	1.0280046995791825	1.0252683301965995	1.033105708818886	0.3998698038234543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				23.198									35.58666000000001	22.0			15.741660000000001							241.63760000000002													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	27.5	56.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.25	25.852272727272727	9.108664772727273	9.818892045454545	4.989346590909091	2.272727272727273	1.2251420454545454	1.1896306818181819	0.8700284090909091	0.5149147727272727	0.33735795454545453	0.15980113636363635	0.07102272727272728	0.03551136363636364	0.01775568181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3902771504084186	0.21742903362105542	0.14073768866327863	0.2627918489484986	0.2624482237796752	0.2299990450926794	0.25244622178968035	0.46276352062075776	0.6623125796247105	0.7782445953652283	1.0745666025098646	1.054264704238765	0.8694671489378342	1.013550784888512	0.8992866603086181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				28.2414									35.60206	27.0			14.20728							249.04479999999998													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	32.5	57.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.90909090909091	11.818181818181818	4.230769230769231	5.874125874125874	2.867132867132867	1.6783216783216783	0.6818181818181818	0.6993006993006993	0.5769230769230769	0.4195804195804196	0.1923076923076923	0.12237762237762237	0.03496503496503496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1811156299730843	0.09939612965533962	0.06536948034238595	0.16172446763699377	0.1477742358948163	0.17953917891454843	0.13744787034853911	0.2850906791263779	0.4694996369541684	0.6765148781487125	0.5873432722462957	0.7868022327216734	0.3747620113360329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				33.284800000000004									35.59474	32.0			13.272079999999999							250.84399999999997													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	37.5	62.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.539692701664535	6.290012804097311	2.672855313700384	3.2490396927016647	1.32842509603073	0.7682458386683739	0.44814340588988477	0.32010243277848915	0.32010243277848915	0.17605633802816903	0.09603072983354674	0.016005121638924456	0.016005121638924456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1086522449097518	0.052901786233137155	0.041298202136922334	0.08773292573358711	0.06960637445419018	0.078689065036878	0.09232696570094852	0.121673526164257	0.27692365286929105	0.2659383268100816	0.2905992805678848	0.1396894424668974	0.1949363097460987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				38.32860000000001									35.587360000000004	37.0			12.82192							247.50320000000002													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	42.5	66.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.593899521531103	5.622009569377991	2.482057416267943	2.960526315789474	1.5699760765550241	0.986842105263158	0.41866028708133973	0.2691387559808613	0.11961722488038279	0.16447368421052633	0.11961722488038279	0.044856459330143546	0.0	0.029904306220095697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09394573009945185	0.047283583945353876	0.03835018991378559	0.08145519450439213	0.08270813486622187	0.10637331780693476	0.08143889245698739	0.1038364970167114	0.09628514265368836	0.29263915057596523	0.38858575913659843	0.30362154963185173	0.0	0.6249508836888542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				43.37239999999999									35.582040000000006	42.0			12.606079999999999							245.43280000000004													
c_m108_008	HDR20140716190819	2014-07-16 19:08:19	47.5	74.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.70053475935829	6.002673796791444	2.7540106951871657	2.807486631016043	1.4037433155080214	0.5614973262032086	0.2807486631016043	0.2807486631016043	0.13368983957219252	0.17379679144385027	0.053475935828877004	0.0	0.013368983957219251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08236865349083203	0.05048513825254241	0.0425521313458701	0.07765826490529655	0.07299373353927506	0.05738601498724473	0.057294064826033025	0.10357205117357426	0.10747904049036747	0.272755168529815	0.16438011124377847	0.0	0.12795491003928322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				48.416199999999996									35.57958	47.0			12.457920000000001							243.61640000000003													
