Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	2.5	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.64285714285714	176.89285714285714	70.39285714285714	46.607142857142854	28.25	14.0	7.25	3.607142857142857	1.6785714285714286	0.7857142857142857	0.10714285714285714	0.10714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15324796306097	0.2965882316980641	0.24473733184570864	0.2955619219361446	0.33728380986033407	0.3363974060638162	0.3486272414284837	0.3310861575399815	0.3297933809370486	0.2985866656204173	0.0699663918803623	0.16546641336293919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	7.5	210.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.2509498480243	176.0258358662614	70.90615501519757	46.3620820668693	28.633168693009118	14.423442249240122	7.323328267477204	3.6046732522796354	1.8332066869300911	0.7741261398176291	0.303951367781155	0.0902355623100304	0.018996960486322188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14672479398661958	0.294891291820097	0.2470996336199655	0.29192403517482385	0.341959913966109	0.34112104037420476	0.3504818310452253	0.35390966867749185	0.359372540308303	0.29905776772191356	0.23259352602749972	0.14033704450507317	0.04899001309139398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	12.5	89.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.4575892857143	162.90178571428572	70.15625	47.377232142857146	30.111607142857146	16.294642857142858	8.359375	4.609375	2.544642857142857	1.0714285714285714	0.4799107142857143	0.13392857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1392282425814423	0.274708881393578	0.24490689807253616	0.2999736609586711	0.36207191634797664	0.3900765617177246	0.4036317050068255	0.4457091488793535	0.4946400566800974	0.4175011570846045	0.37547987085564205	0.20012129999689607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	17.5	123.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.3457792207792	178.33603896103895	76.95616883116882	51.2012987012987	31.655844155844154	17.4512987012987	8.555194805194805	5.10551948051948	2.5892857142857144	1.0551948051948052	0.5032467532467533	0.21915584415584416	0.040584415584415584	0.016233766233766232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14401244946851283	0.3001103306646248	0.26781453833238905	0.3217958326476934	0.37828201089540003	0.4172829857837387	0.4073212326359973	0.4948199805239917	0.5174628509495122	0.41403670473765064	0.379699061309108	0.3278403178405871	0.12138866310225424	0.09468309213852809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	22.5	67.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.14583333333331	175.46130952380952	76.57738095238095	54.464285714285715	33.30357142857143	17.69345238095238	10.0	5.56547619047619	2.9761904761904763	1.2648809523809523	0.6398809523809523	0.28273809523809523	0.05952380952380952	0.01488095238095238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14317902451464992	0.29553114694561783	0.2673528655772575	0.3422104106465995	0.3944932380030693	0.4246421081016519	0.48213187078593955	0.5486116350627175	0.579805946686497	0.489631146620283	0.5079151172523848	0.454374084111806	0.15271818234825627	0.09658865196024943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	27.5	71.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198.47935267857142	179.78515624999997	76.68805803571428	53.45982142857142	34.72377232142857	19.642857142857142	10.895647321428571	6.012834821428571	3.1110491071428568	1.450892857142857	0.6556919642857142	0.2511160714285714	0.055803571428571425	0.013950892857142856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13785425416222505	0.3032734473917219	0.26746214837070564	0.3387230112586294	0.4137397523147547	0.47103215067870635	0.5306804032828988	0.5755636515805022	0.6093286015950281	0.5651956518768486	0.49951774014341005	0.351266544280358	0.15190026860480943	0.12197695050758478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	32.5	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	185.79761904761904	79.18452380952381	51.81547619047619	33.73809523809524	17.952380952380953	9.714285714285714	5.363095238095238	2.386904761904762	1.2321428571428572	0.5297619047619048	0.13690476190476192	0.023809523809523808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15210691315795857	0.3123512650307048	0.2767980783734946	0.32591876110875645	0.4029334933718727	0.42867521824985805	0.47035927623710644	0.5158335172943144	0.4613001873906595	0.4716616229154016	0.41205497515069456	0.21480675404121963	0.0715598675808236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	37.5	57.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.76330532212887	176.15546218487395	78.79901960784314	55.82983193277311	34.76890756302521	21.323529411764707	11.484593837535014	6.687675070028011	3.3788515406162465	1.8382352941176472	0.9278711484593838	0.36764705882352944	0.12254901960784315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13596781772670308	0.29628213574866563	0.2743969567565927	0.3530132372109713	0.4154618918465123	0.5119047786277812	0.5498481228446263	0.6615896611122479	0.6811009096031326	0.7130238272717963	0.7318906132416995	0.5708554274752867	0.328791177443181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	42.5	66.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.35956416464893	181.613196125908	81.67372881355932	55.2360774818402	35.98668280871671	20.838377723970943	11.062348668280872	7.400121065375303	3.5714285714285716	1.8311138014527846	0.6809927360774819	0.3026634382566586	0.09079903147699758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14124381537092487	0.3050418798073597	0.2843364981776781	0.34994030021396466	0.43133225166161954	0.5006501851980402	0.5370058546707278	0.714210211459186	0.6963123161555116	0.708982594473709	0.5142099140044722	0.45104261734613693	0.2628815436250018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
sg2105_007	HDR20210511124300	2021-05-11 12:43:00	47.5	61.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.7012987012987	175.3409090909091	77.27272727272727	54.090909090909086	35.50324675324675	21.314935064935064	11.25	6.0227272727272725	3.814935064935065	1.8506493506493507	0.7467532467532467	0.3246753246753247	0.06493506493506493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13453564666731613	0.295494331433034	0.2699103552134914	0.3414720952791439	0.42504010164962874	0.5134566585029855	0.535794330994415	0.5854413813880901	0.7489832850196985	0.7197082322439251	0.5867841799902558	0.4859037931089184	0.19863750753099635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
