Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
station_001	HDR20150624003813	2015-06-24 00:38:13	2.5	135.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.50177304964539	0.0	26.677009456264773	35.66784869976359	22.835401891252953	18.107269503546096	6.870567375886524	2.105496453900709	0.7018321513002364	0.37677304964539005	0.16252955082742315	0.08126477541371158	0.04432624113475177	0.0	0.014775413711583923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0348674443269171	0.0	0.0609823127921199	0.224958278261455	0.322864461514694	0.490758581856268	0.34719256579221	0.201791758067093	0.138380210281751	0.150083834835553	0.125956272627675	0.134123318065712	0.125073375333654	0.0	0.197451493797117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5610499999999998	4.38740175		2.4770000000000003						0.0		15.3735	35.531925	2.5	0E-20		15.373925			84.879025																	
station_001	HDR20150624003813	2015-06-24 00:38:13	7.5	162.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.92793014389374	0.0	27.653425162956584	36.04107735825852	22.426515803714178	17.81453695732382	6.8626245234288525	1.881687369327266	0.46734718976755624	0.08609027179928667	0.04304513589964334	0.02459722051408191	0.012298610257040954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036448586270261	0.0	0.0632143503875721	0.228914288591476	0.314945719057204	0.484156026949974	0.344781837562944	0.177694766500043	0.0892161165991534	0.0350663180913561	0.0281374782897025	0.0358403877414977	0.051625512093475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57546	4.3879136		6.9396						0.0		15.37568	35.5321	7.0	0E-20		15.376740000000002			84.91884																	
station_001	HDR20150624003813	2015-06-24 00:38:13	12.5	149.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.51933627726482	0.0	24.22721798474508	27.953967616753644	15.114411882778	10.651679379098086	4.683527365181319	1.5656362906463266	0.5218787635487756	0.12712431419777867	0.053526027030643644	0.013381506757660911	0.0	0.0	0.0066907533788304555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0348788903935858	0.0	0.0553822116999565	0.174657931256552	0.211062640505764	0.287986344451345	0.239481101659003	0.149903054299297	0.0958092207860605	0.0479106448948292	0.0401918186411038	0.0237104224444354	0.0	0.0	0.104198496229341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.564	4.385410599999999		11.897599999999999						0.0		15.34844	35.53184	12.0	0E-20		15.3503			85.42554																	
station_001	HDR20150624003813	2015-06-24 00:38:13	17.5	142.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.60778275475924	0.0	23.41825307950728	24.587066069428893	11.91909294512878	8.335666293393057	4.206326987681971	2.3376259798432253	0.8678611422172453	0.251959686450168	0.055991041433370664	0.0	0.0	0.006998880179171333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0375433568553859	0.0	0.0535329582830794	0.154199414994053	0.166684070481777	0.226334002997387	0.218068232174333	0.228381799255408	0.164580003297156	0.0910190584308252	0.0384200407709347	0.0	0.0	0.0392314390472163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4949400000000002	4.368474399999999		16.855200000000004						0.0		15.180419999999998	35.52954	17.0	0E-20		15.18304			87.42007999999998																	
station_001	HDR20150624003813	2015-06-24 00:38:13	22.5	130.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.83698147864687	0.0	21.559773457829483	20.893923159344865	9.97244757385581	8.127965712536355	4.729833154752794	3.015459972447574	1.4082351140364304	0.6046226848308587	0.1224552273075157	0.007653451706719731	0.007653451706719731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357376081160656	0.0	0.0492845665811257	0.129539260206238	0.140078332167497	0.22236759788435	0.248303725313665	0.297158693559421	0.27387464201893	0.217672367087346	0.0870616602515355	0.0136007587218406	0.0182745909988032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6534600000000002	4.327218		21.8122						0.0		14.77486	35.52284	22.0	0E-20		14.778139999999999			88.01746																	
station_001	HDR20150624003813	2015-06-24 00:38:13	27.5	105.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.68465045592705	0.0	15.719984802431611	14.238221884498481	7.950227963525836	6.297492401215806	4.454787234042553	2.935030395136778	1.5957446808510638	0.712386018237082	0.17097264437689969	0.056990881458966566	0.018996960486322188	0.009498480243161094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025862738027789	0.0	0.0359351010419997	0.0880075348309978	0.112746779455192	0.17237791604187	0.234155026875513	0.294745850872973	0.308991448925012	0.267635691221596	0.122224441270983	0.0806051215100417	0.0590791745805275	0.049424463174734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18932	4.2392508		26.7686						0.0		13.89134	35.52482	27.0	0E-20		13.895259999999999			92.44964																	
station_001	HDR20150624003813	2015-06-24 00:38:13	32.5	109.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.312784142571378	0.0	7.355882887797781	8.537915984724496	4.509910892889616	3.737043098745226	2.582287688670667	1.745771958537916	1.054737224949991	0.30914711765775593	0.07274049827241316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0132379700679936	0.0	0.0168151813216283	0.0540447638583887	0.0633882145988983	0.103096716658092	0.137060429006072	0.175265446252871	0.206580573100678	0.118771237932106	0.0489906847992206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69032	4.189642999999999		31.7266						0.0		13.370320000000001	35.53357999999999	32.0	0E-20		13.374799999999999			95.61999999999999																	
station_001	HDR20150624003813	2015-06-24 00:38:13	37.5	109.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.461482024944974	0.0	6.786500366837857	6.3462949376375635	3.4391049156272926	2.9255319148936167	1.999266324284666	1.2380777696258254	0.6786500366837858	0.38517975055025677	0.10088041085840058	0.02751283932501834	0.0	0.0	0.009170946441672781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0113797584204411	0.0	0.0155136012832635	0.0393030119840664	0.0490137173538146	0.0785210649353987	0.106942332340418	0.123558902763335	0.134951602858926	0.14209638545756	0.0747099628214633	0.0401308924027001	0.0	0.0	0.108415792198263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.483	4.1691253999999995		36.682						0.0		13.157720000000001	35.5303	37.0	0E-20		13.16282			96.73344																	
station_001	HDR20150624003813	2015-06-24 00:38:13	42.5	105.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.470364741641337	0.0	5.860562310030395	6.069528875379939	3.3054711246200608	2.5930851063829787	1.9376899696048633	1.4437689969604863	0.8548632218844985	0.41793313069908816	0.06648936170212766	0.009498480243161094	0.009498480243161094	0.009498480243161094	0.0	0.0	0.009498480243161094	0.009498480243161094	0.0	0.009498480243161094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107338410100972	0.0	0.0133969530772893	0.0379378634641988	0.0463457400680042	0.070626855660982	0.100952890153498	0.144999284909263	0.167825824839813	0.158832301834907	0.0480677892942987	0.0139126322428674	0.0226800727574433	0.0500519909095627	0.0	0.0	0.373506106643551	0.779310389723618	0.0	2.97971508534109	0.0	0.0	0.0	0.0	0.0	0.3528	4.1473858		41.6386						0.0		12.936879999999999	35.526219999999995	42.0	0E-20		12.94264			97.41368																	
station_001	HDR20150624003813	2015-06-24 00:38:13	47.5	104.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.77534981790301	0.0	5.673758865248227	5.568334291738547	2.6547824420164843	2.443933294997125	1.590952654782442	1.466359976998275	0.795476327391221	0.4025301897642323	0.1820969906076289	0.009584052137243627	0.019168104274487254	0.02875215641173088	0.019168104274487254	0.009584052137243627	0.0	0.009584052137243627	0.0	0.0	0.009584052137243627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102808953827189	0.0	0.0129699297215032	0.0346960500791442	0.03809578130976	0.0679657061230352	0.0853682147922574	0.150302794683612	0.151231790144123	0.153509394697514	0.1426041486227	0.0162589526723314	0.0737226715266173	0.193551605084423	0.203103406366817	0.182753177041126	0.0	0.743464467133109	0.0	0.0	5.72576823341626	0.0	0.0	0.0	0.0	0.24935999999999997	4.1350952		46.596599999999995						0.0		12.812360000000002	35.52118	47.0	0E-20		12.81878			98.11594																	
