profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
p16n_029	sn009_2015_p16n	029	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150419050514	uvp5	029	2015-04-19 05:05:14	-3.89967	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_029.tsv	export_detailed_20240510_08_40_ZOO_p16n_029.tsv	uvp5_sn009_2015_p16n
p16n_030	sn009_2015_p16n	030	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150419105009	uvp5	030	2015-04-19 10:50:09	-3.59917	-151.00033	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_030.tsv	export_detailed_20240510_08_40_ZOO_p16n_030.tsv	uvp5_sn009_2015_p16n
p16n_031	sn009_2015_p16n	031	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150419163739	uvp5	031	2015-04-19 16:37:39	-3.29917	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_031.tsv	export_detailed_20240510_08_40_ZOO_p16n_031.tsv	uvp5_sn009_2015_p16n
p16n_032	sn009_2015_p16n	032	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150419221602	uvp5	032	2015-04-19 22:16:02	-3.04017	-151.0	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_032.tsv	export_detailed_20240510_08_40_ZOO_p16n_032.tsv	uvp5_sn009_2015_p16n
p16n_033	sn009_2015_p16n	033	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150420042804	uvp5	033	2015-04-20 04:28:04	-2.88	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_033.tsv	export_detailed_20240510_08_40_ZOO_p16n_033.tsv	uvp5_sn009_2015_p16n
p16n_034	sn009_2015_p16n	034	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150420102420	uvp5	034	2015-04-20 10:24:20	-2.71017	-151.00067	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_034.tsv	export_detailed_20240510_08_40_ZOO_p16n_034.tsv	uvp5_sn009_2015_p16n
p16n_035	sn009_2015_p16n	035	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150420160956	uvp5	035	2015-04-20 16:09:56	-2.55017	-151.0	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_035.tsv	export_detailed_20240510_08_40_ZOO_p16n_035.tsv	uvp5_sn009_2015_p16n
p16n_036	sn009_2015_p16n	036	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150420211955	uvp5	036	2015-04-20 21:19:55	-2.38033	-150.99983	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_036.tsv	export_detailed_20240510_08_40_ZOO_p16n_036.tsv	uvp5_sn009_2015_p16n
p16n_037	sn009_2015_p16n	037	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150421030930	uvp5	037	2015-04-21 03:09:30	-2.21983	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_037.tsv	export_detailed_20240510_08_40_ZOO_p16n_037.tsv	uvp5_sn009_2015_p16n
p16n_038	sn009_2015_p16n	038	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150421092407	uvp5	038	2015-04-21 09:24:07	-2.05017	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_038.tsv	export_detailed_20240510_08_40_ZOO_p16n_038.tsv	uvp5_sn009_2015_p16n
p16n_040	sn009_2015_p16n	040	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150421202850	uvp5	040	2015-04-21 20:28:50	-1.73	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_040.tsv	export_detailed_20240510_08_40_ZOO_p16n_040.tsv	uvp5_sn009_2015_p16n
p16n_041	sn009_2015_p16n	041	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150422090047	uvp5	041-4	2015-04-22 09:00:47	-1.55983	-151.0005	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_041.tsv	export_detailed_20240510_08_40_ZOO_p16n_041.tsv	uvp5_sn009_2015_p16n
p16n_042	sn009_2015_p16n	042	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20150422140143	uvp5	042	2015-04-22 14:01:43	-1.39983	-151.00017	0.0091463	1.2184	0.1469	export_detailed_20240510_08_40_PAR_p16n_042.tsv	export_detailed_20240510_08_40_ZOO_p16n_042.tsv	uvp5_sn009_2015_p16n
