Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
p16n_029	HDR20150419050514	2015-04-19 05:05:14	2.5	412.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.320397768615086	0.0	3.878243997089498	2.7043414989085615	0.9143827310211011	0.41232112539413046	0.32015522677661895	0.1479505214649527	0.08488964346349745	0.019403347077370847	0.01697792869269949	0.01212709192335678	0.0	0.002425418384671356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087649442348069	0.0	0.00905794152263014	0.0170914774403824	0.0132621163580871	0.0105871774519307	0.0145100303187963	0.0133324690414711	0.0154674197372038	0.00715021776848502	0.0121940788051722	0.0164264667093989	0.0	0.0111668404018736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07415							198.3					35.2202	3.5			28.65375				4.6332																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	7.5	106.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.125939849624059	0.0	3.919172932330827	2.7725563909774436	1.0432330827067668	0.44172932330827064	0.3101503759398496	0.22556390977443608	0.06578947368421052	0.02819548872180451	0.03759398496240601	0.018796992481203006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00929499833240072	0.0	0.00915353424507816	0.0177278936098449	0.0147172238776265	0.0112013837699356	0.014302722842753	0.021624026206162	0.0123627863760868	0.0112156311933571	0.0294699585901549	0.0272720679392227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07268							198.01999999999998					35.221680000000006	7.0			28.64772				4.63322																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	12.5	87.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.09382151029748	0.0	4.508009153318078	3.4096109839816933	1.2356979405034325	0.5263157894736842	0.5034324942791761	0.17162471395881007	0.14874141876430205	0.10297482837528603	0.04576659038901602	0.02288329519450801	0.011441647597254004	0.011441647597254004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0112478917596976	0.0	0.0105288071933794	0.021439706509218	0.0177143622548638	0.0131539848728923	0.0215969075146298	0.0167586783122413	0.0291210443581917	0.0432225550096851	0.0421421751217457	0.0381246236870421	0.0432434004310055	0.0758177239065196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07327999999999998							198.64					35.22772	12.0			28.610720000000004				4.63076																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	17.5	79.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.17293233082707	0.0	6.666666666666667	4.335839598997494	1.0651629072681705	0.4385964912280702	0.3884711779448622	0.1879699248120301	0.06265664160401002	0.03759398496240601	0.012531328320802006	0.025062656641604012	0.0	0.025062656641604012	0.012531328320802006	0.012531328320802006	0.0	0.012531328320802006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012615965800464	0.0	0.015570520282595	0.0274061121151255	0.0153766018462344	0.0113088200396397	0.0169152144037752	0.0166161699937642	0.0121806282701694	0.0142672917612261	0.0108889079389798	0.0316180140371693	0.0	0.135076190876626	0.207743972898294	0.391313522301814	0.0	0.997360539145971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07352							199.82					35.24102	17.0			28.482259999999997				4.62832																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	22.5	94.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05369484316853	0.0	6.1988304093567255	3.902179691653376	1.2121212121212122	0.5847953216374269	0.4359383306751728	0.28708133971291866	0.07442849548112707	0.02126528442317916	0.02126528442317916	0.01063264221158958	0.02126528442317916	0.0	0.02126528442317916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125375064369991	0.0	0.0144778521925883	0.0246001237050501	0.0178334872120896	0.0147009626188289	0.019717930243245	0.0264121094648947	0.012236351588255	0.00812307171318056	0.0175307550398663	0.0139909654502433	0.0621673328434339	0.0	0.28305966390712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07358							199.94					35.24192000000001	22.0			28.45708				4.6254																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	27.5	95.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.052110474205314	0.0	6.889004689942678	4.168837936425222	1.0213652944241793	0.583637311099531	0.5523710265763419	0.1563314226159458	0.06253256904637831	0.010422094841063054	0.010422094841063054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0131944731043021	0.0	0.0160898080877467	0.0261162914941989	0.0145799602321614	0.014982160065498	0.0245585668320504	0.0147555911452392	0.0122616996981002	0.00322749490575244	0.00905612145420103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07556							199.06					35.24304	27.0			28.440019999999997				4.625579999999999																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	32.5	91.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.662280701754383	0.0	8.146929824561404	5.4605263157894735	1.8311403508771928	0.9649122807017544	0.6140350877192983	0.17543859649122806	0.043859649122807015	0.010964912280701754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0155699983155073	0.0	0.0190277904111317	0.0346377457631746	0.0273097195419457	0.0248993661309938	0.0281234950990616	0.0165759816945592	0.00870432876547646	0.00339559359876038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07576							199.33999999999997					35.25148	32.0			28.3867				4.6223																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	37.5	89.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.444568868980962	0.0	7.446808510638298	4.994400895856663	1.5453527435610304	0.7838745800671892	0.5151175811870101	0.25755879059350506	0.0671892497200448	0.04479283314669653	0.0	0.011198208286674132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0141107235340192	0.0	0.0173926024433242	0.0307371679085756	0.0217455919865838	0.019926093402238	0.023469787745078	0.0240144717104786	0.0126044059822123	0.015940413239043	0.0	0.0126995882733707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07636000000000001							199.51999999999998					35.2587	37.0			28.346960000000003				4.62068																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	42.5	88.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.66723259762309	0.0	7.8324844368986986	5.002829654782117	1.8902093944538767	0.9734012450481042	0.7696661007357103	0.24900962082625921	0.15846066779852858	0.04527447651386531	0.011318619128466328	0.011318619128466328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0155732567085298	0.0	0.0182933786681761	0.0312678634024929	0.0274654267557334	0.0241710153443423	0.0342503891465348	0.0216445238239265	0.029987776440996	0.0142634322591087	0.0120520880519976	0.0132365448316012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07926000000000001							200.17999999999998					35.2632	42.0			28.155540000000002				4.61924																
p16n_029	HDR20150419050514	2015-04-19 05:05:14	47.5	86.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.982070561017927	0.0	6.466165413533834	5.07807981492192	1.8623481781376519	0.7865818392134182	0.6940427993059571	0.18507807981492191	0.057836899942163095	0.04626951995373048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0124903770006404	0.0	0.0151022339583064	0.0328437157121509	0.0274320422474161	0.0201233709773944	0.0312445049200232	0.0163759457413246	0.0126938443689923	0.0143351012833921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07895999999999999							200.83999999999997					35.267	47.0			28.08562				4.623299999999999																
